,POLR2G (5436)
ACH-000004,-0.7616971115248616
ACH-000005,-0.7148175649435426
ACH-000007,-0.7964499122578591
ACH-000009,-0.9892016774922824
ACH-000011,-0.7943707169386185
ACH-000012,-0.9699228704357896
ACH-000013,-0.861588201971833
ACH-000014,-0.8334846771571573
ACH-000015,-0.7071909373732421
ACH-000017,-0.9336866072460136
ACH-000018,-0.845860201130345
ACH-000019,-1.0415298911179722
ACH-000021,-0.7956895589601616
ACH-000022,-0.9714890753080968
ACH-000025,-0.8762339665710325
ACH-000028,-0.8557127563393153
ACH-000030,-0.8070694003852914
ACH-000035,-0.8990786115682878
ACH-000036,-1.1093762360370247
ACH-000037,-0.9550364452700156
ACH-000039,-0.5881173830916503
ACH-000040,-0.7516345128158705
ACH-000041,-0.7630598049969499
ACH-000042,-1.027158583276618
ACH-000045,-0.8728473252824591
ACH-000047,-0.8292506173568682
ACH-000052,-0.8239170440072431
ACH-000053,-1.003122523361643
ACH-000054,-1.027202174432592
ACH-000055,-0.8658757160103998
ACH-000060,-1.047421824233912
ACH-000067,-1.1219114127468521
ACH-000070,-0.7419232654984584
ACH-000075,-0.8797329330408217
ACH-000078,-0.7840829673573989
ACH-000082,-0.9964673968917136
ACH-000085,-0.7750719643966348
ACH-000086,-1.117102546663782
ACH-000087,-0.9148236691365028
ACH-000092,-0.987604393601392
ACH-000095,-0.9820635482714004
ACH-000097,-1.1668060604900397
ACH-000098,-1.0048521267672679
ACH-000099,-0.7008445442662273
ACH-000108,-0.8983386455561289
ACH-000113,-0.7128252454522926
ACH-000116,-1.0055173396565646
ACH-000118,-0.903097880144718
ACH-000120,-0.9993406399797466
ACH-000123,-0.7749234036016379
ACH-000127,-1.0705374735307696
ACH-000128,-0.9061710546310954
ACH-000132,-0.8669106964292984
ACH-000133,-0.8709890486757974
ACH-000137,-1.0703626292050064
ACH-000138,-0.9101533205087388
ACH-000142,-0.9442957854319496
ACH-000143,-0.9665178460459042
ACH-000146,-0.9837092741045924
ACH-000148,-0.7530521434250191
ACH-000150,-0.7185376211649971
ACH-000152,-1.0277601819893714
ACH-000153,-0.6317654846793452
ACH-000159,-0.8190855852365154
ACH-000160,-0.6794009237428748
ACH-000163,-0.8279478603726789
ACH-000167,-0.6788264650687839
ACH-000168,-0.9953367106489508
ACH-000169,-0.943559758845012
ACH-000178,-0.6918978750529673
ACH-000183,-1.1750059061226377
ACH-000188,-0.9831129484559172
ACH-000189,-1.0941538482030433
ACH-000190,-0.6009187703639206
ACH-000198,-0.9186587657129504
ACH-000203,-0.6456894002166426
ACH-000204,-0.9527700721489568
ACH-000206,-0.9002863358950498
ACH-000207,-1.0169277530399436
ACH-000208,-1.0428925219814698
ACH-000210,-0.8581066675522173
ACH-000211,-1.0638076607983726
ACH-000215,-0.9417413748671118
ACH-000221,-1.0347341090215263
ACH-000222,-0.7796870133802949
ACH-000223,-1.0805413781789226
ACH-000226,-0.8531262112609852
ACH-000227,-0.8420359317584672
ACH-000228,-1.0188009025097788
ACH-000231,-0.973198154601978
ACH-000232,-0.9157467948930622
ACH-000233,-1.0620883396488794
ACH-000234,-0.95658412671248
ACH-000235,-0.9918319323639369
