,ATP5J2 (9551)
ACH-000004,-0.6291476761483203
ACH-000005,-0.6457327440311804
ACH-000007,-0.4664569089531926
ACH-000009,-0.6078855408980502
ACH-000011,-0.5379275829427613
ACH-000012,-0.5660411438167302
ACH-000013,-0.7644923811983331
ACH-000014,-0.6177689558693861
ACH-000015,-0.7256067200748231
ACH-000017,-0.5381790300488979
ACH-000018,-0.7032325499359474
ACH-000019,-0.8674207719154652
ACH-000021,-0.6413343716279178
ACH-000022,-0.5672219304839461
ACH-000025,-0.4918142178409366
ACH-000028,-0.6047939107031781
ACH-000030,-0.5703886429636877
ACH-000035,-0.8905059981779713
ACH-000036,-0.4434799679869663
ACH-000037,-0.3596073837159831
ACH-000039,-0.6019027477367727
ACH-000040,-0.5915145845937824
ACH-000041,-0.6180498211966463
ACH-000042,-0.5955633101249941
ACH-000045,-0.4557456093820679
ACH-000047,-0.4926622347961805
ACH-000052,-0.5605127020030091
ACH-000053,-0.5763312955983376
ACH-000054,-0.6439977691334133
ACH-000055,-0.4122998886060231
ACH-000060,-0.617536156684541
ACH-000067,-0.4257263398486259
ACH-000070,-0.6432118728139794
ACH-000075,-0.5901914276127753
ACH-000078,-0.4563952849328446
ACH-000082,-0.6233902793818255
ACH-000085,-0.6176664779877995
ACH-000086,-0.6226472877459678
ACH-000087,-0.6507409639996924
ACH-000092,-0.4971967188780126
ACH-000095,-0.5480475826203397
ACH-000097,-0.6935614748210307
ACH-000098,-0.5257415835038883
ACH-000099,-0.4068900182796417
ACH-000108,-0.6664803531866526
ACH-000113,-0.7300010424963626
ACH-000116,-0.9792713960308876
ACH-000118,-0.6693081321612694
ACH-000120,-0.4348887393620589
ACH-000123,-0.6085273785998915
ACH-000127,-0.860764084053271
ACH-000128,-0.7521438909636939
ACH-000132,-0.6727668161198915
ACH-000133,-0.6620096828799107
ACH-000137,-0.4968922121784416
ACH-000138,-0.5659882916719434
ACH-000142,-0.5432654200101187
ACH-000143,-0.6838383338887142
ACH-000146,-0.3554110507564363
