,LCE1C (353133)
ACH-000004,-0.4949674499120783
ACH-000005,-0.7138770008442575
ACH-000007,-0.3359314700980767
ACH-000009,-0.5053887399519823
ACH-000011,-0.3811159232537651
ACH-000012,-0.5328354943922633
ACH-000013,-0.3376202704542143
ACH-000014,-0.4676646755668154
ACH-000015,-0.5078614742599886
ACH-000017,-0.4895955231641557
ACH-000018,-0.3927598187340524
ACH-000019,-0.6041552104958609
ACH-000021,-0.5189469079213674
ACH-000022,-0.3605190281600612
ACH-000025,-0.5142711802546729
ACH-000028,-0.4662557609535405
ACH-000030,-0.4967238174963928
ACH-000035,-0.4132320292129128
ACH-000036,-0.502887039658688
ACH-000037,-0.526108858312008
ACH-000039,-0.527330868025521
ACH-000040,-0.4980938382750588
ACH-000041,-0.4507507457456013
ACH-000042,-0.5038702701232322
ACH-000045,-0.5797301392656158
ACH-000047,-0.4855993131927564
ACH-000052,-0.4169915841072535
ACH-000053,-0.43403398141575017
ACH-000054,-0.5174222460853871
ACH-000055,-0.5018948271832614
ACH-000060,-0.4913387379166994
ACH-000067,-0.572117977232052
ACH-000070,-0.4488105552621324
ACH-000075,-0.5908836097132532
ACH-000078,-0.4924046226799101
ACH-000082,-0.3890730831128938
ACH-000085,-0.5326575130565062
ACH-000086,-0.6139774888116677
ACH-000087,-0.5413316000907338
ACH-000092,-0.5262764434410944
ACH-000095,-0.6229647813904708
ACH-000097,-0.628251233794654
ACH-000098,-0.4355927338105696
ACH-000099,-0.49549389776585
ACH-000108,-0.4586206492900313
ACH-000113,-0.4297819971388476
ACH-000116,-0.5317602992482228
ACH-000118,-0.5025725641033735
ACH-000120,-0.372110351832592
ACH-000123,-0.42917198147749297
ACH-000127,-0.4393872975140309
ACH-000128,-0.4802709449225535
ACH-000132,-0.4253828505875574
ACH-000133,-0.5372140800246021
ACH-000137,-0.5628338357369945
ACH-000138,-0.4249626792605669
ACH-000142,-0.5459701868577902
ACH-000143,-0.5593785445547645
ACH-000146,-0.4969706081678316
ACH-000148,-0.4785072783409697
ACH-000150,-0.5602692427804997
ACH-000152,-0.5215061232293838
ACH-000153,-0.5534280645531269
ACH-000159,-0.6092074589334389
ACH-000160,-0.397593904159973
ACH-000163,-0.5119089809353875
ACH-000167,-0.6796393956615641
ACH-000168,-0.4899944129310624
ACH-000169,-0.43721859366888666
ACH-000178,-0.39643580395721584
ACH-000183,-0.383949072011794
ACH-000188,-0.4386666099004177
ACH-000189,-0.6116692831719998
ACH-000190,-0.4694788390556351
ACH-000198,-0.5429101212720603
ACH-000203,-0.5819031723522546
ACH-000204,-0.2870548721210828
ACH-000206,-0.528265111202343
ACH-000207,-0.414627084936378
ACH-000208,-0.4567725921308598
ACH-000210,-0.39564827828976096
ACH-000211,-0.5544491572120411
ACH-000215,-0.4577526038987746
ACH-000221,-0.5288290507359734
ACH-000222,-0.4031354786200936
ACH-000223,-0.5741182727903662
ACH-000226,-0.4430301057720799
ACH-000227,-0.34503620776117905
ACH-000228,-0.3522602830367668
ACH-000231,-0.42184205591042
ACH-000232,-0.6153405855108148
ACH-000233,-0.3944135819415829
ACH-000234,-0.4072646833202552
ACH-000235,-0.601134515158934
ACH-000237,-0.5822667444471542
ACH-000238,-0.4714718813947682
ACH-000242,-0.6389251473074042
ACH-000243,-0.4956910601153327
ACH-000244,-0.3253541734735927
ACH-000246,-0.4278686818873671
ACH-000248,-0.6084888009598826
ACH-000250,-0.4748344486739921
ACH-000251,-0.5152951569469767
ACH-000252,-0.6171590499200006
ACH-000253,-0.5077395491283905
ACH-000255,-0.4876585300030309
ACH-000256,-0.4731692615336925
ACH-000257,-0.5290187451592708
ACH-000258,-0.4781926290310504
ACH-000259,-0.5219308145908436
ACH-000260,-0.5315479097304588
ACH-000261,-0.4175668619147208
ACH-000262,-0.5440797918829406
ACH-000263,-0.6741054229942179
ACH-000264,-0.4797105469136042
ACH-000265,-0.4353265664139787
ACH-000266,-0.5589810860458805
ACH-000272,-0.5639999457217584
ACH-000274,-0.465910547527404
ACH-000277,-0.5846171065660796
ACH-000278,-0.465795302975934
ACH-000279,-0.4244037640675882
ACH-000280,-0.5434930699799911
ACH-000281,-0.352777733489035
ACH-000288,-0.5645945876685965
ACH-000291,-0.5079829860516175
ACH-000293,-0.6167426890351436
ACH-000294,-0.4590893258561176
