,H2AFY (9555)
ACH-000004,-0.3699422699317252
ACH-000005,-0.15712974526565246
ACH-000007,-0.26300002947165924
ACH-000009,-0.045748587388806425
ACH-000011,-0.12366387890105095
ACH-000012,-0.08262201510269934
ACH-000013,-0.14055889073929884
ACH-000014,-0.31253607995066884
ACH-000015,-0.2684757756288982
ACH-000017,-0.020680438891947518
ACH-000018,-0.2462569425897675
ACH-000019,-0.2251089306328838
ACH-000021,-0.11761174865131932
ACH-000022,-0.043477241770574056
ACH-000025,-0.07198740576575663
ACH-000028,0.04902894891535
ACH-000030,-0.16554698211742438
ACH-000035,-0.06429295109196607
ACH-000036,-0.3066942764510515
ACH-000037,-0.22358917340255835
ACH-000039,-0.11539084896147128
ACH-000040,-0.05406845652275048
ACH-000041,0.022308952907901032
ACH-000042,-0.15451281357655625
ACH-000045,-0.3705623858706381
ACH-000047,-0.020111871508788168
ACH-000052,-0.4132096286626169
ACH-000053,-0.22644200545884774
ACH-000054,-0.24277251450341586
ACH-000055,-0.40949640609290383
ACH-000060,-0.08423457594394586
ACH-000067,-0.05985249021704413
ACH-000070,-0.16523741559611682
ACH-000075,-0.21428967245906694
ACH-000078,-0.0011751630021552414
ACH-000082,-0.21532833321306416
ACH-000085,-0.4463501078476216
ACH-000086,-0.28291967765365583
ACH-000087,0.059058825488945664
ACH-000092,-0.16086153235977926
ACH-000095,-0.2386942883879903
ACH-000097,-0.041138475330476564
ACH-000098,-0.1645345876005069
ACH-000099,-0.15657098735707595
ACH-000108,-0.1474397130026224
ACH-000113,-0.13547984379708602
ACH-000116,-0.1357364546845386
ACH-000118,-0.06134327609301558
ACH-000120,-0.07623370146157886
ACH-000123,-0.17796283622482467
ACH-000127,-0.2840814303129977
ACH-000128,-0.15741460182332648
ACH-000132,-0.025456719174824415
ACH-000133,-0.12447911547808603
ACH-000137,-0.2700244263733456
ACH-000138,-0.2758070183616398
ACH-000142,-0.06949148571984883
ACH-000143,-0.23602829801355998
ACH-000146,-0.11768724492489464
ACH-000148,-0.15914176857850074
ACH-000150,-0.0365287789325241
ACH-000152,-0.12512663897088525
ACH-000153,-0.1413478078105977
ACH-000159,-0.22421226808932446
ACH-000160,0.19119948934700198
ACH-000163,-0.2260336390942619
ACH-000167,0.6509726044840578
ACH-000168,-0.17713550858182886
ACH-000169,-0.24208900740054864
ACH-000178,-0.2816505825600928
ACH-000183,-0.19936398748464612
