,POU5F1B (5462)
ACH-000004,-0.6808801250192793
ACH-000005,-0.6563925319689957
ACH-000007,-0.3477287725682888
ACH-000009,-0.6652769122380826
ACH-000011,-0.5274034038332064
ACH-000012,-0.6679002671420408
ACH-000013,-0.5233755142663049
ACH-000014,-0.5230169255894844
ACH-000015,-0.5528192326277928
ACH-000017,-0.4950367145473038
ACH-000018,-0.5104528361537229
ACH-000019,-0.3199967729335185
ACH-000021,-0.6543790001176866
ACH-000022,-0.5515458430721235
ACH-000025,-0.5048718158647799
ACH-000028,-0.4167335498911298
ACH-000030,-0.5697360558914801
ACH-000035,-0.7703618324050233
ACH-000036,-0.3978654584435094
ACH-000037,-0.4202556849914361
ACH-000039,-0.5254601007470787
ACH-000040,-0.6149932976205346
ACH-000041,-0.6601271587926157
ACH-000042,-0.5700760546521761
ACH-000045,-0.456111709924779
ACH-000047,-0.3908665557296723
ACH-000052,-0.5157660574760121
ACH-000053,-0.5234530579103032
ACH-000054,-0.6721091070799847
ACH-000055,-0.8819967449793965
ACH-000060,-0.5430870049176993
ACH-000067,-0.4930227414586669
ACH-000070,-0.5533027864478812
ACH-000075,-0.6696991485937879
ACH-000078,-0.3729867493428167
ACH-000082,-0.4712050858839543
ACH-000085,-0.7818043359482494
ACH-000086,-0.6178708189855604
ACH-000087,-0.38652141824165936
ACH-000092,-0.5295027042982222
ACH-000095,-0.5636332750612792
ACH-000097,-0.7114006848027714
ACH-000098,-0.4293443763000376
ACH-000099,-0.5729971549034321
ACH-000108,-0.6175994378363181
ACH-000113,-0.4369283490931249
ACH-000116,-0.5242941454144004
ACH-000118,-0.477095307125909
ACH-000120,-0.8154083734243276
ACH-000123,-0.5495654320451436
ACH-000127,-0.6543189672184073
ACH-000128,-0.6660452163128125
ACH-000132,-0.487881508085901
ACH-000133,-0.6067975292836567
ACH-000137,-0.6711017787365411
ACH-000138,-0.5226818953771906
ACH-000142,-0.5356330535206784
ACH-000143,-0.660843529832121
ACH-000146,-0.4934168962472428
ACH-000148,-0.4964220164862094
ACH-000150,-0.6136966590478511
ACH-000152,-0.44186332286200003
ACH-000153,-0.5180382159469188
ACH-000159,-0.5405490378838004
ACH-000160,-1.160087786292918
ACH-000163,-0.4662825540861455
ACH-000167,-1.1431294638029097
ACH-000168,-0.4684144344724953
ACH-000169,-0.6238232958929372
ACH-000178,-0.6691773825112223
ACH-000183,-0.7373568974624854
ACH-000188,-0.3767101443754504
ACH-000189,-0.6483437106445993
ACH-000190,-0.5656553976785452
ACH-000198,-0.6358610991001158
ACH-000203,-0.325204789897303
ACH-000204,-0.5889754633257042
ACH-000206,-0.4881542729039097
ACH-000207,-0.7834099868325128
ACH-000208,-0.5488766866623589
ACH-000210,-0.822876787260778
ACH-000211,-0.5684619249248591
ACH-000215,-0.5473095337717439
ACH-000221,-0.7286357979705329
ACH-000222,-0.7563660164219003
ACH-000223,-0.5899383959501945
ACH-000226,-0.4610743526438745
ACH-000227,-0.7486622098025957
ACH-000228,-0.6025889550591544
ACH-000231,-0.4594158563703258
ACH-000232,-0.6213945793390089
ACH-000233,-0.5671262412761371
ACH-000234,-0.5383932325248287
ACH-000235,-0.669023389068777
ACH-000237,-0.5396843814574798
ACH-000238,-0.5381053275832305
ACH-000242,-0.5737032843830365
ACH-000243,-0.6182932162432941
ACH-000244,-0.401674950611176
ACH-000246,-0.5602799375185378
ACH-000248,-0.5951378473775182
ACH-000250,-0.5101312029031303
ACH-000251,-0.5216720133624717
ACH-000252,-0.8582718895704045
ACH-000253,-0.5015505842665136
ACH-000255,-0.5368257754470026
ACH-000256,-0.6536989118390749
ACH-000257,-0.3072479588930004
ACH-000258,-0.479167850395596
ACH-000259,-0.5956879181229238
ACH-000260,-0.4812156492551092
ACH-000261,-0.4708762267342704
ACH-000262,-0.3705094139774807
ACH-000263,-0.4241561555735914
