,FAHD2B (151313)
ACH-000004,0.14873019485823902
ACH-000005,-0.2469593546634788
ACH-000007,-0.23323631279485385
ACH-000009,-0.1641043886047329
ACH-000011,-0.15289652660895672
ACH-000012,-0.0022616133980464673
ACH-000013,-0.23691032418302044
ACH-000014,-0.10023023986585464
ACH-000015,-0.24689323450268824
ACH-000017,-0.10680141295381544
ACH-000018,-0.15640289321782408
ACH-000019,-0.3133646509530065
ACH-000021,-0.1597593493134581
ACH-000022,0.042764057364358635
ACH-000025,-0.2515743804954432
ACH-000028,-0.20197246327208612
ACH-000030,-0.21764229534557986
ACH-000035,-0.100534376177264
ACH-000036,-0.2445755703299345
ACH-000037,-0.1923522770749069
ACH-000039,-0.033144777274509214
ACH-000040,-0.29744324154415563
ACH-000041,-0.05965348654081405
ACH-000042,-0.21111907673154454
ACH-000045,-0.3094372010101629
ACH-000047,-0.014724600840111372
ACH-000052,-0.07689696356016139
ACH-000053,-0.1907575583266679
ACH-000054,-0.2874113907439697
ACH-000055,0.032886284951828534
ACH-000060,-0.12853798321964566
ACH-000067,0.02827692760842392
ACH-000070,0.14909571950427872
ACH-000075,-0.17892182733522624
ACH-000078,-0.04804760550219918
ACH-000082,-0.1970845302940487
ACH-000085,-0.3102678211280894
ACH-000086,-0.1173316084534922
ACH-000087,-0.4044990365989193
ACH-000092,-0.2901721539355422
ACH-000095,-0.11043688163636554
ACH-000097,-0.03583187751854317
ACH-000098,-0.1330669490851826
ACH-000099,-0.14872987184623818
ACH-000108,-0.08157129012999324
ACH-000113,-0.06292145875360804
ACH-000116,-0.05760655875542028
ACH-000118,-0.13931011158381296
ACH-000120,-0.133210852252182
ACH-000123,-0.0926002047275495
ACH-000127,-0.09824017640106468
ACH-000128,-0.21677426947787826
ACH-000132,-0.0022240995626066533
ACH-000133,-0.2053427267924566
ACH-000137,-0.2495520931992784
ACH-000138,-0.05673494111215496
ACH-000142,-0.1508085436036103
ACH-000143,0.016422139687644957
ACH-000146,-0.011466646857002877
ACH-000148,-0.31319037489306945
ACH-000150,-0.3499584260039805
ACH-000152,-0.29765101313796183
ACH-000153,-0.3819168690956011
ACH-000159,-0.1122575508124768
ACH-000160,-0.1797260732813813
ACH-000163,-0.3437055592855988
ACH-000167,-0.6361604897208261
ACH-000168,0.034190113068855894
ACH-000169,-0.2594335744555837
ACH-000178,-0.16834911571512884
ACH-000183,-0.08193114940562399
ACH-000188,-0.161310608880236
ACH-000189,-0.42712459383098794
ACH-000190,-0.343772906873125
ACH-000198,-0.3350262585063989
ACH-000203,0.3229153041005986
ACH-000204,-0.08790536288983962
