,EEF1E1 (9521)
ACH-000004,-0.4222376299770839
ACH-000005,-0.4834750832771546
ACH-000007,-0.3120964041342785
ACH-000009,-0.4308091404138341
ACH-000011,-0.3845765685624997
ACH-000012,-0.3757497126732137
ACH-000013,-0.17427025650190198
ACH-000014,-0.38113620306686224
ACH-000015,-0.174102215510245
ACH-000017,-0.292646150840227
ACH-000018,-0.5371484157492282
ACH-000019,-0.3123134500569519
ACH-000021,-0.18925815947141447
ACH-000022,-0.21894199809339715
ACH-000025,-0.2767920070746056
ACH-000028,-0.2420034155175877
ACH-000030,-0.35880286621788804
ACH-000035,-0.3497748415960124
ACH-000036,-0.3508853016504332
ACH-000037,-0.2203048622218711
ACH-000039,-0.4275812586757223
ACH-000040,-0.3454710502049121
ACH-000041,-0.13911046127390886
ACH-000042,-0.3277092104488369
ACH-000045,0.03059475790540051
ACH-000047,-0.3894780249229469
ACH-000052,-0.3942368202438129
ACH-000053,-0.20801451487707234
ACH-000054,-0.3133649392388594
ACH-000055,-0.14687639296265778
ACH-000060,-0.18859225164880394
ACH-000067,-0.4066034425025136
ACH-000070,-0.34848279382436936
ACH-000075,-0.1482188133587049
ACH-000078,-0.4271938088620285
ACH-000082,-0.2370653255073979
ACH-000085,-0.07036881673220471
ACH-000086,-0.24830450146990096
ACH-000087,-0.38227703299326216
ACH-000092,-0.40505071465347176
ACH-000095,-0.16623173567591518
ACH-000097,-0.3917515121795157
ACH-000098,-0.3801461718691317
ACH-000099,-0.2503694080942026
ACH-000108,-0.25923459148446903
ACH-000113,-0.5849148830593599
ACH-000116,-0.28173215478933905
ACH-000118,-0.21919807821818416
ACH-000120,-0.38512312831441264
ACH-000123,-0.3406677987663569
ACH-000127,-0.2904534128874866
ACH-000128,-0.2102590172160188
ACH-000132,-0.3773576374747936
ACH-000133,-0.25296541213853363
ACH-000137,-0.38064440049313103
ACH-000138,-0.3668867498809385
ACH-000142,-0.32823232386672985
ACH-000143,-0.20786616186406573
ACH-000146,-0.5643257891600625
ACH-000148,-0.1685088041944276
ACH-000150,-0.014840583342278862
ACH-000152,-0.24744993672283366
ACH-000153,-0.4666859651987185
ACH-000159,-0.24942037402570835
ACH-000160,-0.3095519484838437
ACH-000163,-0.320464195874655
ACH-000167,-0.7055465443258649
ACH-000168,-0.32655698143331857
ACH-000169,-0.24199935517678725
ACH-000178,-0.3274813281649521
ACH-000183,-0.13536130899799462
ACH-000188,-0.19292655864736846
ACH-000189,-0.3942940437211994
ACH-000190,-0.6724808711820389
ACH-000198,-0.27659166670155344
ACH-000203,-0.4598156269062832
ACH-000204,-0.4730046349683387
