,YWHAG (7532)
ACH-000004,-0.019247933505108592
ACH-000005,-0.3094324896936256
ACH-000007,-0.2486439227537735
ACH-000009,-0.06622482083588728
ACH-000011,-0.2534052292457001
ACH-000012,-0.17807276308012948
ACH-000013,-0.13098702416602787
ACH-000014,-0.05178547186650583
ACH-000015,0.13480124872694196
ACH-000017,-0.4490997265867844
ACH-000018,-0.15396729893291886
ACH-000019,-0.31939930703061514
ACH-000021,-0.4444037837476597
ACH-000022,-0.1050129890639104
ACH-000025,-0.26041420140457283
ACH-000028,-0.2456631195236301
ACH-000030,-0.038685401832669684
ACH-000035,-0.20281048557577835
ACH-000036,-0.1495734174894205
ACH-000037,-0.29768299199917825
ACH-000039,-0.0861219271850995
ACH-000040,-0.28020973640843666
ACH-000041,-0.09910185611499504
ACH-000042,-0.03182616720651895
ACH-000045,-0.07552038042424973
ACH-000047,-0.34056196044613496
ACH-000052,-0.028894515994840823
ACH-000053,-0.1985472786427677
ACH-000054,-0.13178355852634172
ACH-000055,-0.12295533191250925
ACH-000060,-0.21922796691306604
ACH-000067,-0.1212688747606752
ACH-000070,-0.15366626760646726
ACH-000075,-0.40275996978861545
ACH-000078,0.008761648134096236
ACH-000082,-0.1647177913573791
ACH-000085,-0.14049297932076366
ACH-000086,-0.03185197580586112
ACH-000087,-0.2132955017641044
ACH-000092,-0.12949512403131927
ACH-000095,-0.21105866672028176
ACH-000097,-0.2414010990651025
ACH-000098,-0.2803990962267148
ACH-000099,0.06417038761581212
ACH-000108,-0.08463972515818255
ACH-000113,0.042759827486875214
ACH-000116,-0.13337791965770374
ACH-000118,-0.16314101132768427
ACH-000120,0.04148855839248123
ACH-000123,-0.19479511938769284
ACH-000127,-0.17856938735593414
ACH-000128,-0.1533519658121852
ACH-000132,-0.1081857563556027
ACH-000133,-0.01730944180893665
ACH-000137,-0.14070885562765292
ACH-000138,-0.18109298813822666
ACH-000142,-0.08218665952331465
ACH-000143,-0.21715548578350474
ACH-000146,-0.20873370382496528
ACH-000148,-0.14183683834171235
ACH-000150,-0.08836789625341439
ACH-000152,-0.23651822038028786
ACH-000153,-0.18227073499900015
ACH-000159,-0.26332824339144545
ACH-000160,-0.08956223096362473
ACH-000163,-0.1438256843696405
ACH-000167,0.10845240777419246
ACH-000168,-0.11749456324295553
ACH-000169,-0.20785059784318716
ACH-000178,-0.12001994701762912
ACH-000183,-0.3145945725652463
ACH-000188,-0.11940061371273722
ACH-000189,-0.1781226218048911
ACH-000190,0.03127904149831617
ACH-000198,-0.20338991282029426
ACH-000203,0.05090807323185148
ACH-000204,-0.29709252951810744
ACH-000206,-0.13409618224219166
ACH-000207,-0.012211552021793257
ACH-000208,-0.11879078631271912
ACH-000210,-0.11483637925490875
ACH-000211,-0.10973637843954273
ACH-000215,-0.057450789227522774
ACH-000221,0.004038463061131562
ACH-000222,-0.09490598247063492
ACH-000223,-0.16301482209848028
ACH-000226,-0.22334780671967824
ACH-000227,-0.2199808030812004
ACH-000228,-0.2413213650409589
ACH-000231,-0.1265376796520365
ACH-000232,-0.13292536698884513
ACH-000233,-0.3336984519440284
ACH-000234,-0.20907138794787006
ACH-000235,-0.06629167670900807
ACH-000237,-0.17468936773913193
ACH-000238,-0.19665448132767988
ACH-000242,0.2612413197205841
ACH-000243,-0.2241179978070046
ACH-000244,-0.1022636405952156
ACH-000246,-0.2517954971240568
ACH-000248,-0.35956709435887896
ACH-000250,-0.1502449241180869
ACH-000251,0.09276518881745917
ACH-000252,-0.30401232702827696
ACH-000253,-0.19816465787556464
ACH-000255,-0.15156334976677127
ACH-000256,-0.2604972564008921
ACH-000257,-0.15499786620795653
ACH-000258,0.009146848194122306
ACH-000259,-0.21733095888751536
ACH-000260,-0.1058348931337586
ACH-000261,-0.2530494326024616
ACH-000262,-0.25862048381696195
ACH-000263,0.2269230869501536
ACH-000264,-0.3109496085559827
ACH-000265,-0.12397975255059525
ACH-000266,-0.15650327604353995
ACH-000272,-0.2680867043699935
ACH-000274,-0.20546845659030885
ACH-000277,-0.1924272634092989
ACH-000278,-0.2460523225850598
ACH-000279,-0.16134454634651427
ACH-000280,-0.09164431227368196
ACH-000281,-0.2088293688033564
ACH-000288,-0.16656632070818064
ACH-000291,-0.054537283287298524
ACH-000293,-0.3793493137272486
ACH-000294,0.1321665691053117
ACH-000295,-0.03803392930184543
ACH-000296,-0.2084869503436132
ACH-000302,-0.13269659919845125
ACH-000304,-0.269264372040756
ACH-000307,-0.13105210618751936
ACH-000308,-0.24468535539945144
ACH-000310,-0.14427218227719266
ACH-000311,-0.3149371042639464
ACH-000312,-0.018668304732788733
ACH-000315,-0.31681900464068297
ACH-000316,-0.11573126255439944
ACH-000317,-0.17372740779308746
ACH-000318,-0.14302616418803615
