,RD3L (647286)
ACH-000004,0.3976316540424101
ACH-000005,0.2270777380932273
ACH-000007,0.0989791028192117
ACH-000009,0.17520770992841295
ACH-000011,0.1275032121413685
ACH-000012,0.30534472501644266
ACH-000013,0.17398504306816034
ACH-000014,0.19543489944226586
ACH-000015,0.3076053564753444
ACH-000017,0.2637842779345078
ACH-000018,0.28910709602725154
ACH-000019,0.09369272669171888
ACH-000021,0.22684319705999875
ACH-000022,0.18012668424729078
ACH-000025,0.22003521128903086
ACH-000028,0.3076056057485935
ACH-000030,0.263316579104111
ACH-000035,0.19559077701078306
ACH-000036,0.10315249634949132
ACH-000037,0.2684033898824558
ACH-000039,0.30254923292430885
ACH-000040,0.12329624679000856
ACH-000041,0.28462492644186915
ACH-000042,0.20571634533236746
ACH-000045,0.22278097388450988
ACH-000047,0.14082119106594093
ACH-000052,0.07592253736011208
ACH-000053,0.20136282597444533
ACH-000054,0.21303019328122455
ACH-000055,0.1684184264392721
ACH-000060,0.115424934064891
ACH-000067,0.2027620064900041
ACH-000070,0.3554057725140488
ACH-000075,0.207405289169904
ACH-000078,0.2564921198581938
ACH-000082,0.1714781744625295
ACH-000085,0.2849311021821169
ACH-000086,0.13212895382396175
ACH-000087,0.1810522917222894
ACH-000092,0.14832607749651744
ACH-000095,0.2612932054214057
ACH-000097,0.12130710965695166
ACH-000098,0.2339823854327713
ACH-000099,0.23736902100148674
ACH-000108,0.13537440381440255
ACH-000113,0.2709353776378273
ACH-000116,0.2206128723490668
ACH-000118,0.1958620193271063
ACH-000120,0.27906046812174057
ACH-000123,0.1804454648458811
ACH-000127,0.2410737667824555
ACH-000128,0.2494265870430928
ACH-000132,0.16998743649459486
ACH-000133,0.143726538631296
ACH-000137,0.2086287583907862
ACH-000138,0.2650917413478893
ACH-000142,0.19232473418520385
ACH-000143,0.2404874411235449
ACH-000146,0.1927255783157089
ACH-000148,0.2556623246173064
ACH-000150,0.18064519629739906
ACH-000152,0.15070772188294493
ACH-000153,0.3488563490949361
ACH-000159,0.1900740659614502
ACH-000160,0.04773997970614475
ACH-000163,0.1900650915544492
ACH-000167,-0.014710853941315424
ACH-000168,0.11376412729323132
ACH-000169,0.2853090960358625
ACH-000178,0.20835382670518432
ACH-000183,0.2914899468298638
ACH-000188,0.14813873321182186
ACH-000189,0.23502165656917226
ACH-000190,0.1863586823665986
ACH-000198,0.2348544817353353
