,TELO2 (9894)
ACH-000004,-0.4938628871263838
ACH-000005,-1.2035103021661102
ACH-000007,-0.7227768737265765
ACH-000009,-0.4598134521138598
ACH-000011,-0.5892810244712448
ACH-000012,-0.6231596214229972
ACH-000013,-1.0827287375050525
ACH-000014,-0.5913330683618048
ACH-000015,-0.8122499975089502
ACH-000017,-0.7753754519696059
ACH-000018,-0.9516573463228472
ACH-000019,-0.7017442652709849
ACH-000021,-0.7104551486631301
ACH-000022,-0.8781638788176258
ACH-000025,-0.941229069816384
ACH-000028,-0.5560913219777629
ACH-000030,-0.4775035216096458
ACH-000035,-0.6638663395815197
ACH-000036,-0.5382408726655024
ACH-000037,-0.485588544630565
ACH-000039,-0.5105969622276733
ACH-000040,-0.5614732593822742
ACH-000041,-0.8759492465555396
ACH-000042,-0.6870911529067198
ACH-000045,-0.5685160353154617
ACH-000047,-0.5772807892262102
ACH-000052,-0.9003572623031013
ACH-000053,-0.5872380747099415
ACH-000054,-0.6088363115434349
ACH-000055,-0.9679127174822291
ACH-000060,-0.9464454650793528
ACH-000067,-0.7017027295592595
ACH-000070,-0.3663422235647237
ACH-000075,-0.7336860744767373
ACH-000078,-0.6218809320453101
ACH-000082,-0.31207517202264823
ACH-000085,-0.9055723205358924
ACH-000086,-0.6099114177529372
ACH-000087,-0.6461039354847901
ACH-000092,-0.4514190833738061
ACH-000095,-0.5357573297393311
ACH-000097,-0.5984230925066717
ACH-000098,-0.7224399734851275
ACH-000099,-0.5297581690531226
ACH-000108,-0.6672098141044448
ACH-000113,-0.7177122457454286
ACH-000116,-0.7666149659567374
ACH-000118,-0.5606072828266278
ACH-000120,-0.5449446375386644
ACH-000123,-0.6525233120258224
ACH-000127,-0.6819363565295998
ACH-000128,-0.8882434245727253
ACH-000132,-0.7178608696388323
ACH-000133,-0.6646153470846763
ACH-000137,-0.7965687061049318
ACH-000138,-0.8741328753412962
ACH-000142,-0.6780556808297071
ACH-000143,-0.5640055096776265
ACH-000146,-0.4388087421475951
ACH-000148,-0.9993882690206768
ACH-000150,-0.7433507550555497
ACH-000152,-0.5933089178482815
ACH-000153,-0.6447490760988894
ACH-000159,-0.3950097808294628
ACH-000160,-0.5630803298927451
ACH-000163,-1.0476504270344724
ACH-000167,-1.1845687653681736
ACH-000168,-0.5672604101509929
ACH-000169,-0.7484800924397987
ACH-000178,-0.6413637965838302
ACH-000183,-0.7305740292771508
ACH-000188,-0.5887888870573886
ACH-000189,-0.4431571230676299
ACH-000190,-0.6582299587992765
ACH-000198,-0.369536723857576
ACH-000203,-0.6105308990686298
ACH-000204,-0.4648865752734084
ACH-000206,-0.4759717515377186
ACH-000207,-0.5403805574249977
ACH-000208,-1.0059963216008474
ACH-000210,-0.4026976859112227
ACH-000211,-0.7371418828029159
ACH-000215,-0.5130367154151398
ACH-000221,-0.8436125697861956
ACH-000222,-0.7183080183469829
ACH-000223,-0.7024296854557607
ACH-000226,-0.24004055125368834
ACH-000227,-0.3630066754601574
ACH-000228,-0.6265472523740562
ACH-000231,-0.5454386251852958
ACH-000232,-0.5753688529292053
ACH-000233,-0.7772953872349575
ACH-000234,-0.44084822064696016
ACH-000235,-0.6618561741280159
ACH-000237,-0.639592145906235
ACH-000238,-0.3255534519905953
ACH-000242,-0.3168210460975935
ACH-000243,-1.0286797266339467
ACH-000244,-0.5884542501228082
ACH-000246,-0.5452621404424418
ACH-000248,-0.5668873188627116
ACH-000250,-0.3721082325544243
ACH-000251,-1.0382340122734954
ACH-000252,-0.8361701480329672
ACH-000253,-0.7094156063911519
