,FGFR1OP (11116)
ACH-000004,-0.5328393108317072
ACH-000005,-0.4581701446413114
ACH-000007,-0.34569139189703224
ACH-000009,-0.946698644455934
ACH-000011,-0.8365958327387532
ACH-000012,-0.5827302461191917
ACH-000013,-1.0483191537488197
ACH-000014,-0.3809785072857641
ACH-000015,-0.5343789718591269
ACH-000017,-0.8861488689830439
ACH-000018,-0.6560838932835309
ACH-000019,-0.8590634288023974
ACH-000021,-1.1226864757524222
ACH-000022,-0.33301370884012044
ACH-000025,-0.2248345820427042
ACH-000028,-0.9635647630403325
ACH-000030,-0.9017003622377252
ACH-000035,-0.6290087540929464
ACH-000036,-0.6160415030179167
ACH-000037,-0.5143861056223129
ACH-000039,-0.5436150087547053
ACH-000040,-0.4507272805538225
ACH-000041,-0.5453995653878352
ACH-000042,-0.4133633199278339
ACH-000045,-0.3821917560098541
ACH-000047,-0.5161246599979024
ACH-000052,-0.2649054129804014
ACH-000053,-0.658625131397906
ACH-000054,-0.34951505584143466
ACH-000055,-0.7210839104700587
ACH-000060,-0.570428943098047
ACH-000067,-0.2192932606762933
ACH-000070,-0.6630377956105815
ACH-000075,-0.6358074001801751
ACH-000078,-0.7392374431522268
ACH-000082,-0.42556647827914
ACH-000085,-0.8481994521932114
ACH-000086,-0.6197505469757619
ACH-000087,-0.6655407911669915
ACH-000092,-0.6617017584055702
ACH-000095,-0.8546532108369671
ACH-000097,-1.0108883355669391
ACH-000098,-0.554788024252709
ACH-000099,-0.6537487987234517
ACH-000108,-0.7485213002762134
ACH-000113,-0.8743219416061381
ACH-000116,-0.27744254622785275
ACH-000118,-0.6723447504774085
ACH-000120,-0.9355479862763902
ACH-000123,-0.8449630452120879
ACH-000127,-0.4347300846366868
ACH-000128,-0.6870944437922654
ACH-000132,-1.0667558771684928
ACH-000133,-0.4757443367966828
ACH-000137,-0.16641994106545266
ACH-000138,-0.9523902773777017
ACH-000142,-0.7288770430356298
ACH-000143,-0.3534850772014877
ACH-000146,-0.35611677731204816
ACH-000148,-0.5879430269002593
ACH-000150,-0.1849711948962801
ACH-000152,-0.7094326048495951
ACH-000153,-0.9764756641794252
ACH-000159,-0.6524430210793842
ACH-000160,-0.5171935961087466
ACH-000163,-0.5988266475431969
ACH-000167,-0.9199495812396666
ACH-000168,-0.6566944884630538
ACH-000169,-0.7588640806056102
ACH-000178,-0.3443222516440145
ACH-000183,-0.9799501939526812
ACH-000188,-0.6523041182487993
ACH-000189,-0.8900305922670028
ACH-000190,-0.412554143076302
ACH-000198,-0.4551763282634288
ACH-000203,-1.1493186758145268
ACH-000204,-0.768728395198473
ACH-000206,-0.502291545088495
ACH-000207,-0.622525694853028
ACH-000208,-0.4765611174407378
ACH-000210,-0.3756355894851252
ACH-000211,-0.561439820694507
ACH-000215,-0.4805425873318016
ACH-000221,-0.6462913386893859
ACH-000222,-0.7419295323281474
ACH-000223,-0.5761807270868653
ACH-000226,-0.5764960536421999
ACH-000227,-0.6063358026102901
ACH-000228,-0.5136927916259437
ACH-000231,-0.6942400678683108
ACH-000232,-0.5456478448952322
ACH-000233,-0.6588618487273995
ACH-000234,-1.0937766656846808
ACH-000235,-0.6009397448710204
ACH-000237,-0.6446061838792735
ACH-000238,-0.6532392182703844
ACH-000242,-0.5878236264335697
ACH-000243,-0.7917013260384812
ACH-000244,-0.8515028169713919
ACH-000246,-0.9169203972618508
ACH-000248,-0.9568620750228922
ACH-000250,-0.5163972416374786
ACH-000251,-0.8174440431191389
ACH-000252,-0.6753902505455852
ACH-000253,-0.9801434596564318
ACH-000255,-0.5269700553007363
ACH-000256,-0.8627767499138285
ACH-000257,-0.4060874944757942
ACH-000258,-0.6446626179408377
ACH-000259,-1.0703540424597708
ACH-000260,-0.8327606502091273
ACH-000261,-0.6685811609166039
ACH-000262,-0.4605409742726922
ACH-000263,-0.6705438620490374
ACH-000264,-0.3632101434182745
ACH-000265,-0.19912900849875392
ACH-000266,-0.6967980395159193
ACH-000272,-0.7791759096290761
ACH-000274,-0.7010151897039013
ACH-000277,-0.6630064814856398
ACH-000278,-0.3579974713699401
ACH-000279,-0.4329182979686505
ACH-000280,-0.8943491050851906
ACH-000281,-0.9084247873778436
ACH-000288,-0.447209606118254
ACH-000291,-0.8371002465653565
ACH-000293,-0.5002152848369925
