,LHB (3972)
ACH-000004,0.01589600901067944
ACH-000005,0.06320727996103838
ACH-000007,0.20392660854380293
ACH-000009,0.10567429078918557
ACH-000011,0.08716955574873812
ACH-000012,0.04507075687173763
ACH-000013,0.10550911097392822
ACH-000014,0.06515182741774372
ACH-000015,0.06505172667657969
ACH-000017,0.03391571935794793
ACH-000018,0.15174288041870418
ACH-000019,0.07732089788985741
ACH-000021,0.11920221619635198
ACH-000022,-0.005174655021041624
ACH-000025,0.1114713128285044
ACH-000028,-0.006476839316376559
ACH-000030,0.09646245914073734
ACH-000035,0.12522816896526606
ACH-000036,-0.014796656212273591
ACH-000037,0.09820494202982002
ACH-000039,0.2685244960996454
ACH-000040,0.18888262572939776
ACH-000041,0.15568593524162105
ACH-000042,0.14852925367514108
ACH-000045,0.23279695106443465
ACH-000047,0.03007398976347688
ACH-000052,0.14031466521423636
ACH-000053,-0.03599519153216887
ACH-000054,0.01843905859469318
ACH-000055,0.10597235408094306
ACH-000060,0.2285767338541608
ACH-000067,0.2549378417269679
ACH-000070,0.3631836339859649
ACH-000075,0.01812630742711933
ACH-000078,0.2550752479696521
ACH-000082,0.07307103274893617
ACH-000085,0.24758559183705803
ACH-000086,0.03381058752822602
ACH-000087,0.15260782079774182
ACH-000092,0.06525990135204213
ACH-000095,0.0007789676683766858
ACH-000097,0.05015034010677684
ACH-000098,0.07140705825962967
ACH-000099,0.2353814759765283
ACH-000108,0.14648008128283674
ACH-000113,0.06221795158859924
ACH-000116,0.1756236183017937
ACH-000118,0.08610673712530895
ACH-000120,0.17942612972775096
ACH-000123,0.28214196048523044
ACH-000127,0.11861052372503195
ACH-000128,0.07027098632778041
ACH-000132,0.2398458438686225
ACH-000133,0.11073754124728197
ACH-000137,0.025469088326142225
ACH-000138,0.11521449824029364
ACH-000142,0.0890079787909146
ACH-000143,0.26223148388551903
ACH-000146,0.1407917187055185
ACH-000148,0.29604748084721816
ACH-000150,0.15238904893264174
ACH-000152,0.0945588031187896
ACH-000153,0.0910549869176482
ACH-000159,0.08218062615334082
ACH-000160,0.05785020793040401
ACH-000163,0.15666340732805112
ACH-000167,-0.07639335941265814
ACH-000168,0.3358701689618989
ACH-000169,0.13931619888551508
ACH-000178,-0.015444331418925272
ACH-000183,0.20226195884165574
ACH-000188,0.1357058635176052
ACH-000189,0.2692523509883185
ACH-000190,0.14991178369898514
ACH-000198,0.2811707097387083
ACH-000203,0.1921989766246392
ACH-000204,-0.006706778384441682
ACH-000206,0.4430174648354239
ACH-000207,0.016564204929141617
