,PAK1IP1 (55003)
ACH-000004,-0.9859042113728804
ACH-000005,-1.0399496262043284
ACH-000007,-1.080428025432398
ACH-000009,-1.0592830250479035
ACH-000011,-1.1977116181210572
ACH-000012,-1.1069661490160114
ACH-000013,-1.1945516194217158
ACH-000014,-0.9785719516669932
ACH-000015,-0.9989550015648836
ACH-000017,-0.7380219479003952
ACH-000018,-1.0344584125172314
ACH-000019,-1.0160508107784865
ACH-000021,-0.9110743120672872
ACH-000022,-1.0240841661439923
ACH-000025,-0.8931915799871757
ACH-000028,-1.0377451006495273
ACH-000030,-1.0628190108504771
ACH-000035,-1.0058893806772335
ACH-000036,-0.9311182720894008
ACH-000037,-1.2248672625184036
ACH-000039,-1.0435189599971657
ACH-000040,-1.0992764249620364
ACH-000041,-1.2680293281132418
ACH-000042,-1.0597507691863557
ACH-000045,-1.0340315238883504
ACH-000047,-1.0358179034305806
ACH-000052,-1.3026797253797209
ACH-000053,-1.0114458051158235
ACH-000054,-0.9570857114918632
ACH-000055,-0.912414959432201
ACH-000060,-0.9091738317745643
ACH-000067,-1.1625744353185696
ACH-000070,-0.7669067446196031
ACH-000075,-1.1967590274554751
ACH-000078,-1.1019063783154597
ACH-000082,-1.0861902915913155
ACH-000085,-1.09307597604543
ACH-000086,-0.9948610827462254
ACH-000087,-1.062690099661482
ACH-000092,-0.9441910513441806
ACH-000095,-0.9537895626253768
ACH-000097,-0.9768982818801556
ACH-000098,-1.1072079926677407
ACH-000099,-0.9407026661884564
ACH-000108,-1.0251245266438476
ACH-000113,-0.7686087265726806
ACH-000116,-0.8907224125166014
ACH-000118,-1.0765167436986878
ACH-000120,-1.1147233020702445
ACH-000123,-0.9951597347624688
ACH-000127,-1.139213748276662
ACH-000128,-0.9910906066849094
ACH-000132,-0.9770015394831236
ACH-000133,-1.1622506951411262
ACH-000137,-1.0733578505781218
ACH-000138,-1.0147581699006716
ACH-000142,-1.0084764811888962
ACH-000143,-1.0605936491260195
ACH-000146,-1.1910795940963694
ACH-000148,-1.1284821040094872
ACH-000150,-1.0158675706395894
ACH-000152,-1.0171010875577668
ACH-000153,-1.1778086744122258
ACH-000159,-1.1197371011711434
ACH-000160,-1.1572536234872894
ACH-000163,-1.114029519208786
ACH-000167,-1.4059873515038794
ACH-000168,-1.0514585647361234
ACH-000169,-1.3368644657743427
ACH-000178,-1.0203873476341256
ACH-000183,-1.0285847510316457
ACH-000188,-1.1896744100850354
ACH-000189,-1.0963036523337564
ACH-000190,-1.0103483604866743
ACH-000198,-0.983337718194544
ACH-000203,-1.042941439090623
ACH-000204,-1.135144624035973
ACH-000206,-1.092587490741295
ACH-000207,-0.8639381334733243
ACH-000208,-1.2550911006603995
ACH-000210,-1.5550340736511588
ACH-000211,-0.9050109792769452
ACH-000215,-0.9662101515313538
ACH-000221,-1.0483296245410276
ACH-000222,-0.8295328834418421
ACH-000223,-0.8933780735130163
ACH-000226,-0.9995496395011398
ACH-000227,-0.7062019021713544
ACH-000228,-1.099541432853539
ACH-000231,-1.1238672540170809
ACH-000232,-0.9894132859590576
ACH-000233,-0.8912111078745475
ACH-000234,-0.9770868509850076
ACH-000235,-1.0385296325594005
ACH-000237,-1.0770232098162291
ACH-000238,-1.0053965416411146
ACH-000242,-1.0470654748823784
ACH-000243,-1.040984796907226
ACH-000244,-1.0977893775016925
ACH-000246,-1.0029262565482473
ACH-000248,-0.8836127086504664
ACH-000250,-0.8480120122465109
ACH-000251,-1.179770724630814
ACH-000252,-1.197747365782579
ACH-000253,-1.0053011041757376
ACH-000255,-0.9076631154663128
ACH-000256,-0.9828142926774864
ACH-000257,-0.988793032791184
ACH-000258,-0.9923861256581766
ACH-000259,-1.0167483637715096
ACH-000260,-1.059839239174592
ACH-000261,-0.9408577308450168
ACH-000262,-0.9399273284009404
ACH-000263,-0.7422539886292561
ACH-000264,-0.5706212423563752
ACH-000265,-0.9071888101415718
ACH-000266,-0.8103763659899427
ACH-000272,-0.9212299975578444
ACH-000274,-0.9458210935235756
ACH-000277,-0.9276767692704804
ACH-000278,-0.987992553325352
ACH-000279,-0.9873199190341896
ACH-000280,-1.2051137431195271
ACH-000281,-1.3209344693474907
ACH-000288,-1.1436723926691823
ACH-000291,-1.152667351639385
ACH-000293,-0.8101838565229905
ACH-000294,-0.8431994408037201
ACH-000295,-0.8504638262474821
ACH-000296,-1.0198611513789964
ACH-000302,-0.9918425530500358
