,SACM1L (22908)
ACH-000004,-0.7375325778603039
ACH-000005,-0.9806862246174812
ACH-000007,-0.9763993151683212
ACH-000009,-0.9112188458365486
ACH-000011,-0.5855315452784211
ACH-000012,-0.8308319315855238
ACH-000013,-0.8390445987440359
ACH-000014,-0.7845588173245343
ACH-000015,-0.9180489666359996
ACH-000017,-0.8358376864107319
ACH-000018,-0.9863641540425422
ACH-000019,-0.9143145283181888
ACH-000021,-0.8447523800364933
ACH-000022,-0.8499777304893192
ACH-000025,-0.6200650473276127
ACH-000028,-0.9531258674988616
ACH-000030,-0.6895073948173217
ACH-000035,-0.9337212261643068
ACH-000036,-0.6542873484452322
ACH-000037,-0.7929332256787791
ACH-000039,-0.9316721771135698
ACH-000040,-0.82874528573328
ACH-000041,-0.8734393633626442
ACH-000042,-0.9785040572584164
ACH-000045,-0.7484090732507929
ACH-000047,-0.8686176217803383
ACH-000052,-0.800778558037531
ACH-000053,-0.9094714594823294
ACH-000054,-0.8151338817181093
ACH-000055,-1.04766760037246
ACH-000060,-0.9946754420079044
ACH-000067,-0.8642014076569859
ACH-000070,-0.7102493356066036
ACH-000075,-1.05487964533839
ACH-000078,-0.8615464849017435
ACH-000082,-0.6678494811513656
ACH-000085,-0.9414943016318064
ACH-000086,-0.7437768943870876
ACH-000087,-1.2465680640704533
ACH-000092,-0.8039791342056527
ACH-000095,-0.6141822138806331
ACH-000097,-0.9387990203053596
ACH-000098,-0.8993003038145557
ACH-000099,-0.6719680403377721
ACH-000108,-0.8277997888905635
ACH-000113,-0.6929743246028317
ACH-000116,-0.6827328951413554
ACH-000118,-0.8475565237041126
ACH-000120,-0.7931261952769684
ACH-000123,-0.8739715449061277
ACH-000127,-0.9236732236357622
ACH-000128,-1.1049017298766741
ACH-000132,-0.8037596083827029
ACH-000133,-0.6681769198011319
ACH-000137,-0.818101299917098
ACH-000138,-0.9056298167927994
ACH-000142,-0.7410411145321498
ACH-000143,-0.9851331276059524
ACH-000146,-0.7311301022085835
ACH-000148,-0.7256908555840683
ACH-000150,-0.6702397557108235
ACH-000152,-0.7990151190788916
ACH-000153,-0.5936756071495651
ACH-000159,-0.6525240308875002
ACH-000160,-1.0513920162750443
ACH-000163,-0.6159276128732019
ACH-000167,-1.1030450574491015
ACH-000168,-0.7703357116932507
ACH-000169,-0.8545161399380268
ACH-000178,-0.6708701095311194
ACH-000183,-0.7650500017566434
ACH-000188,-0.7646162924850854
ACH-000189,-0.8560795438869504
ACH-000190,-0.8562477933474663
ACH-000198,-0.8360149644273386
ACH-000203,-0.6436805015135435
ACH-000204,-1.0332467001475965
ACH-000206,-0.8219650695961078
ACH-000207,-0.8233066492860975
ACH-000208,-0.7618526007254242
ACH-000210,-0.9171603484168508
ACH-000211,-0.7745757645500887
ACH-000215,-0.7326981563191305
ACH-000221,-1.0216092182324317
ACH-000222,-0.757293542779365
ACH-000223,-0.8290939189711571
ACH-000226,-0.6540934718344829
ACH-000227,-0.4833796798060386
ACH-000228,-1.1790421251328222
ACH-000231,-0.8828280827555467
ACH-000232,-1.0420158678072695
ACH-000233,-0.7854179320964695
ACH-000234,-0.8827770735381861
ACH-000235,-0.9003716968295673
ACH-000237,-0.9219948285902744
ACH-000238,-0.9309327700486171
ACH-000242,-0.7832625639084985
ACH-000243,-0.8776222534266492
ACH-000244,-0.8687123088904509
ACH-000246,-0.9636754754264142
ACH-000248,-0.7694997185240748
ACH-000250,-0.9502783265356256
ACH-000251,-0.7856180374253344
ACH-000252,-0.8614102624705873
ACH-000253,-0.946967262271276
ACH-000255,-0.7594665514600943
ACH-000256,-0.9559270680085212
ACH-000257,-0.8946512200869693
ACH-000258,-0.5793992181989817
ACH-000259,-0.6916495386333138
ACH-000260,-0.81989064992836
ACH-000261,-0.7269709672974386
ACH-000262,-0.8558520043449833
ACH-000263,-0.3606329480111046
ACH-000264,-0.7684591979697623
ACH-000265,-0.8347497218261835
ACH-000266,-0.9308642712555468
ACH-000272,-0.8386688854706881
ACH-000274,-0.6713641364914543
ACH-000277,-0.9202156871878736
ACH-000278,-0.7497788288073133
ACH-000279,-0.8467218945569371
ACH-000280,-0.856557052325065
ACH-000281,-0.7942374047295316
ACH-000288,-0.6269947793096302
ACH-000291,-1.1084377918374828
ACH-000293,-0.90988514647079
ACH-000294,-0.7852366758194728
ACH-000295,-0.8136369678073181
ACH-000296,-0.6920772617907168
ACH-000302,-0.8106624249280716
ACH-000304,-0.8055978435383517
ACH-000307,-0.7630393998200016
ACH-000308,-0.978751779789756
ACH-000310,-0.4739144509634489
ACH-000311,-0.7595798188089716
ACH-000312,-0.9599313531839044
ACH-000315,-0.757322710066995
ACH-000316,-0.7414593195174083
ACH-000317,-1.068864386700883
ACH-000318,-0.8153584883271622
ACH-000319,-0.8869140631807918
ACH-000320,-0.8462840402805214
ACH-000322,-0.9719765507685636
ACH-000323,-0.8670076668919542
ACH-000324,-0.7530286231703756
ACH-000329,-0.9988375234796624
ACH-000330,-0.9782244814682156
ACH-000331,-0.8500913852335935
ACH-000332,-0.9070974686241368
ACH-000334,-0.7958482811162247
ACH-000335,-0.7396692536947768
ACH-000336,-0.7098704005392734
ACH-000337,-1.0095725518514052
ACH-000338,-0.9089008601822268
ACH-000339,-0.8339529041652982
ACH-000341,-0.749195350316666
ACH-000348,-0.8194307729103374
ACH-000350,-0.8515375384754521
ACH-000352,-0.8912559660358874
ACH-000356,-0.9278893966320488
ACH-000361,-1.0412501931735314
ACH-000362,-0.5290894773810324
ACH-000363,-0.4348682472951176
ACH-000364,-0.7447469673310958
ACH-000365,-0.7846977992640769
ACH-000366,-0.7768183843499732
ACH-000368,-0.813834949800067
ACH-000374,-0.9490304327821688
ACH-000375,-0.7855410548539088
ACH-000376,-0.931289034336418
ACH-000381,-0.8139208067481022
ACH-000383,-1.0312717543173473
ACH-000387,-1.0149084940122353
ACH-000389,-0.7923099677226059
ACH-000390,-1.0002208941655821
ACH-000393,-1.036811707139118
ACH-000395,-1.0678637141555511
ACH-000396,-1.1589785266069204
ACH-000397,-0.8758912404350129
ACH-000401,-0.7605585662863175
ACH-000402,-0.8112203625893643
ACH-000403,-1.1291649495676437
ACH-000404,-1.09986451600653
ACH-000406,-0.8031461086233107
ACH-000407,-0.7966898091106543
ACH-000408,-1.0218319876669208
ACH-000410,-0.874185739536502
ACH-000411,-0.9911927513483888
ACH-000414,-0.7743890468393939
ACH-000415,-1.000576240925488
ACH-000416,-0.9004502368432737
ACH-000420,-0.9721698326184232
ACH-000421,-0.8687327014161809
ACH-000424,-0.8273009499189734
ACH-000425,-0.923030686362132
ACH-000426,-0.4419946900959961
ACH-000427,-0.961095282867584
ACH-000433,-0.8492224221711869
ACH-000435,-1.1974409422216918
ACH-000436,-0.8003636705092009
ACH-000444,-0.6372302190362148
ACH-000445,-1.041759661910363
ACH-000448,-0.9394876917256618
ACH-000450,-1.0130528536896422
ACH-000452,-1.1093758629752726
ACH-000454,-0.9065295031867447
ACH-000458,-0.7696182647358178
ACH-000459,-0.4745402357611647
ACH-000460,-0.9088380020023537
ACH-000461,-0.8114406974997934
ACH-000463,-0.7908872375711289
ACH-000464,-0.94302122166503
ACH-000466,-0.72326366858308
ACH-000467,-0.7376537451738344
ACH-000468,-0.8425651250349022
ACH-000469,-0.9102852597454264
ACH-000470,-0.9562887909472066
ACH-000471,-0.9004148778526403
ACH-000472,-0.8619949334799979
ACH-000473,-0.8445806788683032
ACH-000475,-0.6521087041989273
ACH-000476,-0.8805255760453922
ACH-000477,-0.7641446554734668
ACH-000479,-1.1024187962823369
ACH-000480,-0.5324493772695084
ACH-000481,-0.6591648434714855
ACH-000483,-0.5121374052878805
ACH-000484,-0.7108659418023718
ACH-000485,-0.5724446793747829
ACH-000486,-0.7675864047120217
ACH-000487,-0.981082283922606
ACH-000488,-0.8184205543638003
ACH-000490,-0.8620362414067995
ACH-000491,-0.7739705338341675
ACH-000495,-0.9785707436470978
ACH-000496,-0.8575496963265717
ACH-000499,-1.1130923115546865
ACH-000500,-1.0432083484255494
ACH-000502,-0.9808749597807136
ACH-000503,-0.674044392317964
ACH-000505,-0.7332895458888036
ACH-000507,-0.8898437835600544
ACH-000510,-0.8525305166638214
ACH-000511,-0.7880849599769354
ACH-000512,-0.9120661050034592
ACH-000516,-0.7340738386620935
ACH-000517,-1.0172092775739745
ACH-000518,-0.9515422870280379
ACH-000520,-0.9000033084567242
ACH-000521,-0.8126087021064937
