,MOGS (7841)
ACH-000004,-0.2931585600286102
ACH-000005,-0.1036803347893949
ACH-000007,-0.3830496391490524
ACH-000009,-0.18117944080155746
ACH-000011,-0.26290037333851
ACH-000012,-0.3181576805750435
ACH-000013,-0.1970214059422864
ACH-000014,-0.14790771801818756
ACH-000015,-0.15786236371916115
ACH-000017,-0.3401385728305961
ACH-000018,-0.03916144993301426
ACH-000019,-0.28782796066489225
ACH-000021,-0.1906633757446291
ACH-000022,-0.30476242088412914
ACH-000025,-0.3735148963770218
ACH-000028,-0.26259872001094137
ACH-000030,-0.18158265239315685
ACH-000035,-0.16169612651407267
ACH-000036,-0.3030363252533614
ACH-000037,-0.4301950002991179
ACH-000039,-0.3567233453406423
ACH-000040,-0.32574956816704764
ACH-000041,-0.3443747099347408
ACH-000042,-0.3567248022682573
ACH-000045,-0.12711283908084353
ACH-000047,-0.29740020218503377
ACH-000052,-0.30856830067032265
ACH-000053,-0.1971367731003877
ACH-000054,-0.3671782616313581
ACH-000055,-0.26299934976994416
ACH-000060,-0.33987471289708965
ACH-000067,-0.20881071540499774
ACH-000070,-0.29210647052070965
ACH-000075,-0.07204580922817087
ACH-000078,-0.2527826744258685
ACH-000082,-0.3451092105853514
ACH-000085,-0.16469400813769358
ACH-000086,-0.2698652070242592
ACH-000087,-0.2231204512258863
ACH-000092,-0.4436394473292851
ACH-000095,-0.11383843091907847
ACH-000097,-0.3060656633162627
ACH-000098,-0.2748941305066692
ACH-000099,-0.27086848065941155
ACH-000108,-0.20142731426571314
ACH-000113,-0.3217017345353391
ACH-000116,-0.13149257497202682
ACH-000118,-0.4118425085390364
ACH-000120,-0.2616540404828912
ACH-000123,-0.4153434184612163
ACH-000127,-0.3359740629520886
ACH-000128,-0.27046300048014577
ACH-000132,-0.24701149047006574
ACH-000133,-0.3172026627366931
ACH-000137,-0.3318023157644639
ACH-000138,-0.258943234397006
ACH-000142,-0.1903488088106114
ACH-000143,-0.37994921480396665
ACH-000146,-0.16769145066347632
ACH-000148,-0.2390547622241706
ACH-000150,-0.27441633101121965
ACH-000152,-0.4479582387504932
ACH-000153,-0.1080211157419706
ACH-000159,-0.2357853638138277
ACH-000160,-0.22422923985014948
ACH-000163,-0.3567681457847146
ACH-000167,-0.1318438531731312
ACH-000168,-0.21729925470377395
ACH-000169,-0.1261978168605171
