,UBE2M (9040)
ACH-000004,-1.0286593356054023
ACH-000005,-1.3954492184879894
ACH-000007,-0.7597933619272735
ACH-000009,-1.015743056495274
ACH-000011,-1.1321954429086918
ACH-000012,-1.162433444445362
ACH-000013,-1.123870594185067
ACH-000014,-0.8130413132220349
ACH-000015,-1.0938560484486848
ACH-000017,-1.1321335706030824
ACH-000018,-0.9244530512543075
ACH-000019,-0.8745542356510001
ACH-000021,-1.2124281708220956
ACH-000022,-0.6401566479045424
ACH-000025,-0.9192028254399736
ACH-000028,-1.0003516447199894
ACH-000030,-0.4010850125227751
ACH-000035,-0.8943195165163212
ACH-000036,-0.13906264114724895
ACH-000037,-0.7774322917712593
ACH-000039,-1.2909540086839209
ACH-000040,-1.142032229140591
ACH-000041,-1.2173480281697937
ACH-000042,-1.1661013323920957
ACH-000045,-1.1134000318162742
ACH-000047,-0.9242156274106416
ACH-000052,-0.9059595012284396
ACH-000053,-0.9859950669175112
ACH-000054,-0.8338630635248133
ACH-000055,-1.2159196287523912
ACH-000060,-1.061960636490845
ACH-000067,-1.048042627150864
ACH-000070,-1.0650929031502308
ACH-000075,-0.762554524005625
ACH-000078,-0.8442462459682215
ACH-000082,-0.918207809319752
ACH-000085,-1.3925981420638842
ACH-000086,-0.8892753679133444
ACH-000087,-1.24332063302061
ACH-000092,-0.4673467163249848
ACH-000095,-1.0515076641740335
ACH-000097,-0.959084184568643
ACH-000098,-0.38709954650684986
ACH-000099,-0.8624338228650034
ACH-000108,-1.0686391173252554
ACH-000113,-0.7599079525483358
ACH-000116,-1.1895612703638223
ACH-000118,-1.0175782404912554
ACH-000120,-0.8582986835424181
ACH-000123,-1.020249112255849
ACH-000127,-0.8182844773118514
ACH-000128,-0.8848907507095943
ACH-000132,-1.1511831182757215
ACH-000133,-1.1519311681050046
ACH-000137,-0.9284589430724096
ACH-000138,-1.118254064577591
ACH-000142,-0.9427070607296528
ACH-000143,-1.1873257810349778
ACH-000146,-1.3196688491421558
ACH-000148,-1.0120482734124523
ACH-000150,-1.2674384558872522
ACH-000152,-0.969070456194116
ACH-000153,-0.683676708754728
ACH-000159,-1.0955254195239132
ACH-000160,-1.0812938776600645
ACH-000163,-0.9220921381759789
ACH-000167,-1.0773970139986395
ACH-000168,-1.1181935043081914
ACH-000169,-1.1240267700847997
ACH-000178,-1.0457436742330155
ACH-000183,-1.1776374773279394
ACH-000188,-1.2061590135706086
ACH-000189,-1.2032441985525255
ACH-000190,-1.1116289154342485
ACH-000198,-0.8175711452928125
