,RPRD1B (58490)
ACH-000004,-0.4676014765239188
ACH-000005,-0.5753029146417717
ACH-000007,-0.5237640687235222
ACH-000009,-0.3824128081418958
ACH-000011,-0.5956299291733038
ACH-000012,-0.5698417428989739
ACH-000013,-0.3375190877564924
ACH-000014,-0.6848141351750552
ACH-000015,-0.40039495698440464
ACH-000017,-0.22341676860533347
ACH-000018,-0.3892501329231208
ACH-000019,-0.4288056180284252
ACH-000021,-0.3746704757755981
ACH-000022,-0.4042772526321659
ACH-000025,-0.5933956825768073
ACH-000028,-0.5175834156501106
ACH-000030,-1.113126837639702
ACH-000035,-0.4512693330161138
ACH-000036,-0.4777320372155582
ACH-000037,-0.7064893866234255
ACH-000039,-0.2724077933304594
ACH-000040,-0.53555559127526
ACH-000041,-0.2834032354699418
ACH-000042,-0.2915590745160171
ACH-000045,-0.04256104523992369
ACH-000047,-0.8117594461330451
ACH-000052,-0.271784616611742
ACH-000053,0.14280842760526327
ACH-000054,-0.3537147708895789
ACH-000055,-0.4955922961120037
ACH-000060,-0.5327163419243717
ACH-000067,-0.15314103753510852
ACH-000070,-0.6053543367263321
ACH-000075,-0.6075888890918328
ACH-000078,-0.3245091874797406
ACH-000082,-0.18203777543965785
ACH-000085,-0.4587899341204181
ACH-000086,-0.2410488512604331
ACH-000087,-0.653384691401698
ACH-000092,-0.5750911548601964
ACH-000095,0.18562647546716424
ACH-000097,-0.18014133326365478
ACH-000098,-0.29229432984642595
ACH-000099,-0.2762519810736544
ACH-000108,-0.6907254658355025
ACH-000113,-0.4191059649679485
ACH-000116,-0.3784472357768005
ACH-000118,-0.39373438802241056
ACH-000120,-0.7537137289325956
ACH-000123,-0.4404885541679206
ACH-000127,-0.005467472366487506
ACH-000128,-0.4693456866691699
ACH-000132,-0.4061276725463683
ACH-000133,-0.22097141444341548
ACH-000137,-0.7490655175368524
ACH-000138,-0.5365134708924546
ACH-000142,-0.4391468492973401
ACH-000143,-0.4732037135305709
ACH-000146,-0.13916329603658525
ACH-000148,-0.049422844203022884
ACH-000150,-0.3342602207993757
ACH-000152,-0.6124476454353261
ACH-000153,-0.5646578713041961
ACH-000159,-0.423218209963965
ACH-000160,-0.24314680430090696
ACH-000163,-0.8685049803941527
ACH-000167,-0.17427365048480126
ACH-000168,-0.2420208576216526
ACH-000169,-0.2130295481537143
ACH-000178,-0.5084315863795054
ACH-000183,-0.8242176295241955
ACH-000188,-0.8046116095498467
ACH-000189,-0.06940627205682001
ACH-000190,-0.5625761690502156
ACH-000198,-0.7410077166417766
ACH-000203,0.063643158676213
ACH-000204,-0.6651812474519023
ACH-000206,-0.4649870215219419
ACH-000207,-0.3096476191680707
ACH-000208,-0.6690811434575977
ACH-000210,-0.5809528952345293
ACH-000211,-0.8235741558587689
ACH-000215,-0.8230416845772753
