,INPP5J (27124)
ACH-000004,0.3029072597762726
ACH-000005,0.25015363906699584
ACH-000007,0.11515107093791252
ACH-000009,0.11257085306288704
ACH-000011,0.08065127181404426
ACH-000012,0.10641214672445323
ACH-000013,0.10488704505757493
ACH-000014,0.14204573500125914
ACH-000015,0.017145965457956203
ACH-000017,0.13725900051678286
ACH-000018,0.03912216094949213
ACH-000019,0.06569993922584544
ACH-000021,0.1612386009168204
ACH-000022,0.2175101979771832
ACH-000025,0.08847738496234828
ACH-000028,0.11803491950025034
ACH-000030,0.02911836747163975
ACH-000035,0.09335792516929213
ACH-000036,0.09576668826246272
ACH-000037,0.2542059037557665
ACH-000039,0.11557337845874865
ACH-000040,0.2772804581419461
ACH-000041,0.2134189541124215
ACH-000042,0.041957230675437135
ACH-000045,0.17596860808816292
ACH-000047,0.11220673130423058
ACH-000052,0.3356818088582966
ACH-000053,0.1931636124655161
ACH-000054,0.10122254413148317
ACH-000055,-0.0197606088926373
ACH-000060,0.06908249631584087
ACH-000067,0.034788530500924245
ACH-000070,0.09516297158904548
ACH-000075,0.389231044976883
ACH-000078,0.16703988233535993
ACH-000082,0.17810439846148945
ACH-000085,0.2246749581301309
ACH-000086,0.17095124140654086
ACH-000087,0.3580468395047588
ACH-000092,0.07808201968378843
ACH-000095,0.15259487634000599
ACH-000097,0.13466924720235576
ACH-000098,0.1907368420747525
ACH-000099,0.17078384482834102
ACH-000108,0.1680881406036408
ACH-000113,0.20039948350967912
ACH-000116,0.11060653956054244
ACH-000118,0.18735296644768595
ACH-000120,0.23200183814673936
ACH-000123,0.0779649974190892
ACH-000127,0.17790436610140906
ACH-000128,0.12605181646177746
ACH-000132,0.0937868683753366
ACH-000133,0.03715833430906144
ACH-000137,0.2120801632294648
ACH-000138,0.2405906605372703
ACH-000142,0.10271029254743202
ACH-000143,0.045674721252458333
ACH-000146,0.13435039843755625
ACH-000148,0.20387722177468975
ACH-000150,0.152716854744025
ACH-000152,0.28479069033292564
ACH-000153,0.2267723010922399
