,MTSS1L (92154)
ACH-000004,-0.07751229409951597
ACH-000005,-0.1922067885178802
ACH-000007,0.07502789175781366
ACH-000009,-0.04703960191458486
ACH-000011,0.08206046737750282
ACH-000012,-0.07112408771828163
ACH-000013,-0.14181200496542964
ACH-000014,-0.12147753930543155
ACH-000015,0.011494751069778741
ACH-000017,0.04071518893474115
ACH-000018,0.06634708679710079
ACH-000019,0.14540311800796776
ACH-000021,-0.11049813086939174
ACH-000022,0.020050287226576573
ACH-000025,-0.06114047677205218
ACH-000028,0.14786481538987528
ACH-000030,0.04972905058772227
ACH-000035,-0.1063592383154452
ACH-000036,0.020593886838519447
ACH-000037,-0.13484619175758694
ACH-000039,0.060602376377197176
ACH-000040,0.03571270680853472
ACH-000041,-0.08086007505514002
ACH-000042,-0.08365017896989749
ACH-000045,-0.037723073942126144
ACH-000047,-0.1231350616618012
ACH-000052,-0.24113185281575836
ACH-000053,-0.06545885172515824
ACH-000054,-0.060049965349374276
ACH-000055,-0.04345849617434687
ACH-000060,0.04142793269207781
ACH-000067,0.0029485077804963142
ACH-000070,-0.0966231048413528
ACH-000075,-0.04364135257681003
ACH-000078,-0.10192804416358056
ACH-000082,0.003163452252607128
ACH-000085,-0.01960267316476141
ACH-000086,0.01087530663000003
ACH-000087,-0.054862915249432466
ACH-000092,-0.0407128135762047
ACH-000095,-0.0711254220975103
ACH-000097,-0.02247177281085855
ACH-000098,-0.13860011328106947
ACH-000099,-0.04643644857607532
ACH-000108,-0.19378714519920415
ACH-000113,0.010721125114719971
ACH-000116,0.052635172575763715
ACH-000118,0.06312023726231207
ACH-000120,-0.1919696461948912
ACH-000123,0.05960623705005145
ACH-000127,-0.23659407115847375
ACH-000128,-0.06493012411767496
ACH-000132,-0.21335927158357354
ACH-000133,-0.05734547778797064
ACH-000137,0.01703341114283484
ACH-000138,0.034463649538720664
ACH-000142,-0.08467047317128522
ACH-000143,0.08121521063795148
ACH-000146,-0.1583862648404302
ACH-000148,0.05049885246830304
ACH-000150,0.03785885457532123
ACH-000152,0.1140500373854548
ACH-000153,-0.19068018833102954
ACH-000159,0.02375047939363601
ACH-000160,0.025040327849824524
ACH-000163,-0.022068433067046637
ACH-000167,-0.36963784130380906
ACH-000168,-0.0742059338959027
ACH-000169,-0.003205376731070007
ACH-000178,-0.17915781083180982
ACH-000183,-0.04939111209485204
ACH-000188,0.0948296539666648
ACH-000189,0.13778557786548554
ACH-000190,-0.06780262928849451
ACH-000198,0.03295767355307983
ACH-000203,0.06547634183254315
ACH-000204,0.06697399667448227
ACH-000206,-0.07265487421652346
ACH-000207,0.1287391038567845
ACH-000208,-0.2325854661729583
ACH-000210,0.3116070836772866
ACH-000211,-0.03574177187915961
ACH-000215,-0.0631430735450237
ACH-000221,-0.0751002765172676
ACH-000222,0.0272492446805877
ACH-000223,-0.06211342357825893
ACH-000226,0.07798703025457482
ACH-000227,-0.23409664003342695
ACH-000228,-0.09846424715839706
ACH-000231,0.020991377872408644
ACH-000232,-0.2697177698748728
ACH-000233,-0.06154395310071108
ACH-000234,-0.042014131230390966
ACH-000235,-0.09533776281893576
ACH-000237,-0.046414581584068665
ACH-000238,0.031101303056838624
ACH-000242,0.12929221979598188
ACH-000243,-0.038700594065603874
ACH-000244,-0.031603860518715214
ACH-000246,0.015094886307018046
ACH-000248,0.19801661158467815
ACH-000250,-0.08998239588000413
ACH-000251,0.16800634441157694
ACH-000252,-0.07800819362372137
ACH-000253,-0.07214231901985417
ACH-000255,0.05052372466969921
ACH-000256,-0.032264034494624116
ACH-000257,-0.02361389333805376
ACH-000258,-0.11632119383018195
ACH-000259,-0.06448512957559414
ACH-000260,0.0745176050945574
ACH-000261,-0.10601419490741644
ACH-000262,0.10562517188020533
ACH-000263,-0.21619847470047265
ACH-000264,-0.0226679268782378
ACH-000265,0.12311362070945465
ACH-000266,-0.040600966059481935
ACH-000272,0.03183968981096252
ACH-000274,0.0011614044307465907
ACH-000277,-0.08380043466565654
ACH-000278,-0.1151870369827874
ACH-000279,-0.17299578015902378
ACH-000280,-0.002668876403676502
ACH-000281,-0.1454602291410639
ACH-000288,-0.0476701152174233
ACH-000291,-0.1186600976565408
ACH-000293,-0.06831510329166561
ACH-000294,-0.16920580779202002
ACH-000295,-0.021142866364910574
ACH-000296,0.03626301331564813
ACH-000302,-0.04247039542217086
ACH-000304,0.12731576864579647
ACH-000307,0.0910212577006005
ACH-000308,-0.010620970327330658
ACH-000310,0.021305846506176188
ACH-000311,-0.17836186162251638
ACH-000312,-0.08257684363319938
ACH-000315,-0.12958954847342252
ACH-000316,0.11172038462925532
