,GRIN3B (116444)
ACH-000004,-0.11168560733445494
ACH-000005,-0.04332563020452985
ACH-000007,-0.07875136975036154
ACH-000009,-0.06918182042624467
ACH-000011,-0.2362913165404585
ACH-000012,-0.1508171965482445
ACH-000013,-0.011151908459963536
ACH-000014,-0.09984775705433437
ACH-000015,-0.06084803773820637
ACH-000017,-0.06896244230851824
ACH-000018,-0.36239022191541737
ACH-000019,-0.06799890206265982
ACH-000021,-0.015803055277866226
ACH-000022,-0.20193493126297266
ACH-000025,-0.1034380150144086
ACH-000028,-0.2305009709350323
ACH-000030,-0.2562664662390693
ACH-000035,-0.035849670898762176
ACH-000036,-0.23760083451786745
ACH-000037,-0.023661111368728886
ACH-000039,-0.12246232865350735
ACH-000040,-0.17552094495678772
ACH-000041,-0.008612847793734814
ACH-000042,-0.10944036362816
ACH-000045,-0.04932935135559709
ACH-000047,-0.14132215464641992
ACH-000052,-0.005220064112280182
ACH-000053,-0.020012031211053296
ACH-000054,-0.08590324711783383
ACH-000055,-0.0791011605560805
ACH-000060,0.053117963058163985
ACH-000067,-0.2908939074561311
ACH-000070,0.2371364749134729
ACH-000075,-0.1460813790029878
ACH-000078,-0.18949134654559396
ACH-000082,-0.07517562836285283
ACH-000085,-0.0515101985669922
ACH-000086,-0.0969782363217402
ACH-000087,-0.4326150038085861
ACH-000092,-0.07320167768494512
ACH-000095,-0.15192091594110932
ACH-000097,-0.17872779172519335
ACH-000098,-0.2773345413099477
ACH-000099,-0.04183794588798337
ACH-000108,-0.15914460658312862
ACH-000113,-0.1831137438303404
ACH-000116,-0.037621102649252766
ACH-000118,-0.05477215651859909
ACH-000120,-0.003953656337250035
ACH-000123,-0.13886768841786126
ACH-000127,-0.07673050389544231
ACH-000128,-0.27497411584406845
ACH-000132,-0.18692301005672765
ACH-000133,0.034613773791877266
ACH-000137,-0.05916021580329371
ACH-000138,-0.09649116231256427
ACH-000142,0.0969981877788073
ACH-000143,-0.009202870091739562
ACH-000146,0.00800518318606249
ACH-000148,-0.06402161394565899
ACH-000150,-0.12385749040103874
ACH-000152,-0.197394079376775
ACH-000153,0.026941988294100872
ACH-000159,-0.13199122860958876
ACH-000160,-0.1855256674063172
ACH-000163,-0.14089184115743436
ACH-000167,-0.2390111020478996
ACH-000168,-0.33027058834689554
ACH-000169,-0.11499809013536
ACH-000178,-0.0749092862359008
ACH-000183,-0.27859272219402065
ACH-000188,-0.14028807821817968
ACH-000189,-0.2815970164155864
ACH-000190,-0.0951263687896618
ACH-000198,-0.05103540175216949
ACH-000203,-0.23022941446685535
ACH-000204,-0.26926607787181284
ACH-000206,-0.03274283022883514
ACH-000207,-0.2258968508574662
ACH-000208,-0.3670956134319249
ACH-000210,-0.3471538737632417
ACH-000211,-0.1095167088187232
ACH-000215,-0.18395004679224794
ACH-000221,-0.19117676962521493
ACH-000222,-0.16117976704371562
ACH-000223,-0.20911520862864488
ACH-000226,-0.036113030305443335
ACH-000227,-0.09025206051384577
ACH-000228,-0.00604873291231576
ACH-000231,-0.043103543498417614
ACH-000232,-0.13981168644191366
ACH-000233,-0.0848269103811558
ACH-000234,-0.12188795947516284
ACH-000235,-0.2289894606444919
ACH-000237,-0.08493002174203684
ACH-000238,0.041551222763742686
ACH-000242,0.14167596629262647
ACH-000243,-0.1015287750790328
ACH-000244,-0.07520495636118703
ACH-000246,-0.3075034620797664
ACH-000248,-0.1065438912148899
ACH-000250,-0.13057758485241133
ACH-000251,-0.03644819530892483
ACH-000252,0.018167880410951867
ACH-000253,-0.0982876683283598
ACH-000255,0.0419014970293167
ACH-000256,0.04735098248112836
ACH-000257,-0.3657184620373277
ACH-000258,0.1301318982262165
ACH-000259,-0.14466609035272096
ACH-000260,-0.21825744993499413
ACH-000261,-0.05433271327388405
ACH-000262,-0.026824819908101386
ACH-000263,-0.05936362779815725
ACH-000264,-0.03828717705386588
