,HAMP (57817)
ACH-000004,-0.7784922123397956
ACH-000005,-0.6550367460898198
ACH-000007,-0.3738881425817571
ACH-000009,-0.5866534970644978
ACH-000011,-0.7022942818179986
ACH-000012,-0.5598433056758362
ACH-000013,-0.8259125760189752
ACH-000014,-0.6024249756121476
ACH-000015,-0.783205475196754
ACH-000017,-0.8751725513459836
ACH-000018,-0.6090422733408466
ACH-000019,-0.8176449100168559
ACH-000021,-0.6853635248025165
ACH-000022,-0.8247063329755847
ACH-000025,-0.43185054321492383
ACH-000028,-0.4921839742816954
ACH-000030,-0.814937856881126
ACH-000035,-0.7868765579392255
ACH-000036,-0.5542234301013249
ACH-000037,-0.6757007754862864
ACH-000039,-0.5527518466455115
ACH-000040,-0.4579492864881571
ACH-000041,-0.7572342184309611
ACH-000042,-0.7917384317653817
ACH-000045,-0.6352570936207528
ACH-000047,-0.5681624933733577
ACH-000052,-0.4203474483518405
ACH-000053,-0.6496275880743116
ACH-000054,-0.6220392151063495
ACH-000055,-0.6148817327109155
ACH-000060,-0.4873525726561743
ACH-000067,-0.608647622914921
ACH-000070,-0.6521682264113632
ACH-000075,-0.534527177148486
ACH-000078,-0.7592804086442394
ACH-000082,-0.635718122008773
ACH-000085,-0.9029866141933276
ACH-000086,-0.5878788329806804
ACH-000087,-1.0494763399587312
ACH-000092,-0.6263771162281955
ACH-000095,-0.6048239129972829
ACH-000097,-0.6955836641030999
ACH-000098,-0.6516071817323024
ACH-000099,-0.5549967280070044
ACH-000108,-0.3847616260633459
ACH-000113,-0.7088530165637059
ACH-000116,-0.650446715412074
ACH-000118,-0.7160221845413398
ACH-000120,-0.5811449743112312
ACH-000123,-0.7022689455015458
ACH-000127,-0.6081136676478488
ACH-000128,-0.59532055735721
ACH-000132,-0.5506337024273485
ACH-000133,-0.5841541221811158
ACH-000137,-0.7444654897237949
ACH-000138,-0.6219218138332762
ACH-000142,-0.7666914308826359
ACH-000143,-0.6853841128989592
ACH-000146,-0.7241745031072281
ACH-000148,-0.5960175517346396
ACH-000150,-0.5865653724433587
ACH-000152,-0.5272253243552607
ACH-000153,-0.6304086271094355
