,FNTB (2342)
ACH-000004,-0.9535014219092534
ACH-000005,-0.9002396608898574
ACH-000007,-1.0378258938762486
ACH-000009,-0.7645926511208437
ACH-000011,-1.0043815617533018
ACH-000012,-0.9615437498431704
ACH-000013,-0.7442237241944873
ACH-000014,-1.042292319076711
ACH-000015,-0.9235531880108592
ACH-000017,-0.8635967695598264
ACH-000018,-1.1870867786460677
ACH-000019,-0.9913681746556382
ACH-000021,-0.6178072186916126
ACH-000022,-0.7650715226501019
ACH-000025,-0.9420689155210435
ACH-000028,-1.0715069074550023
ACH-000030,-0.9644268348090612
ACH-000035,-1.2026187156915678
ACH-000036,-1.0371211146334962
ACH-000037,-0.9678615894131232
ACH-000039,-1.0428415179750226
ACH-000040,-1.051289139158676
ACH-000041,-1.0785826296023564
ACH-000042,-0.9181249214647644
ACH-000045,-0.5752936979061696
ACH-000047,-0.9042626988910064
ACH-000052,-1.0468231589881984
ACH-000053,-1.0569061863120155
ACH-000054,-0.8297353625137909
ACH-000055,-0.7422907672143181
ACH-000060,-0.8942563274041223
ACH-000067,-1.2956663029771298
ACH-000070,-0.8528019061631048
ACH-000075,-1.0088651054970128
ACH-000078,-0.8897150022808599
ACH-000082,-0.963289727826192
ACH-000085,-1.041667411274208
ACH-000086,-0.9619188095595193
ACH-000087,-0.8453913744544064
ACH-000092,-1.0468186058863729
ACH-000095,-0.715589394988032
ACH-000097,-1.0643175158282947
ACH-000098,-0.9830377360773616
ACH-000099,-0.7929965820930154
ACH-000108,-1.1685026330247046
ACH-000113,-0.7074153448967194
ACH-000116,-0.920113794287496
ACH-000118,-0.7882304319920993
ACH-000120,-0.8037540143939587
ACH-000123,-0.8862490476231424
ACH-000127,-0.9622495957239374
ACH-000128,-0.8091331612346238
ACH-000132,-0.8217800361907542
ACH-000133,-1.0450201182598091
ACH-000137,-0.9389950274841656
ACH-000138,-0.9465598782125788
ACH-000142,-0.9874308938625772
ACH-000143,-1.138860784987508
ACH-000146,-0.8735898287359695
ACH-000148,-1.0826992291336648
ACH-000150,-0.9685585921775048
ACH-000152,-1.0266333496958426
ACH-000153,-1.3085393407162216
ACH-000159,-1.0754335266897812
ACH-000160,-0.7922586364226414
ACH-000163,-1.0056993129431508
ACH-000167,-1.142212546799485
ACH-000168,-0.5709319512465418
ACH-000169,-1.0501427173102569
ACH-000178,-1.0098890074744693
ACH-000183,-0.8968076528047192
ACH-000188,-0.8849873369280501
ACH-000189,-0.9997817108344654
ACH-000190,-0.7915989608048053
ACH-000198,-0.7677070084861559
ACH-000203,-1.057738622694332
ACH-000204,-0.9396899648376856
ACH-000206,-0.8138357194069937
ACH-000207,-0.781104729629058
ACH-000208,-0.8394128998459128
ACH-000210,-0.7963759120519204
ACH-000211,-0.9715088787913004
ACH-000215,-1.0057781672554913
ACH-000221,-1.0186329970808967
ACH-000222,-0.8793894697413874
ACH-000223,-0.8573536534204961
ACH-000226,-0.9591841497399864
ACH-000227,-0.5479008866407629
ACH-000228,-0.8350014564024466
ACH-000231,-0.812202530775811
ACH-000232,-1.0553519970997849
ACH-000233,-0.8013675361132275
ACH-000234,-1.1770748306465844
ACH-000235,-0.9525486207631352
ACH-000237,-0.863635438171093
ACH-000238,-1.131712063086899
ACH-000242,-0.6151888585868819
ACH-000243,-1.1586672013257793
ACH-000244,-0.9487933773981208
ACH-000246,-0.9974748558855406
ACH-000248,-1.1500344229939874
ACH-000250,-0.8140897834646877
ACH-000251,-1.0634987473472106
ACH-000252,-0.9239522889159194
