,POLR1E (64425)
ACH-000004,-0.7662528500368739
ACH-000005,-0.7013457279324852
ACH-000007,-1.010156195138447
ACH-000009,-1.0794916701535051
ACH-000011,-0.6899048389118763
ACH-000012,-0.8162349117892517
ACH-000013,-0.798559720952848
ACH-000014,-0.8081308475036347
ACH-000015,-0.8762631842753769
ACH-000017,-0.7341704316212713
ACH-000018,-0.8418668677961579
ACH-000019,-0.5829986494970628
ACH-000021,-0.675683931487671
ACH-000022,-0.913210920977096
ACH-000025,-0.8057782765332052
ACH-000028,-0.6851686453604005
ACH-000030,-0.8304971255159057
ACH-000035,-0.7463144996736557
ACH-000036,-0.9348819072891764
ACH-000037,-0.880953857217313
ACH-000039,-0.4941613571938248
ACH-000040,-0.9821486742023788
ACH-000041,-0.5000187734366828
ACH-000042,-0.8870021149676356
ACH-000045,-0.7277641473753004
ACH-000047,-0.6012865419032718
ACH-000052,-0.8901800279982202
ACH-000053,-0.8290345486407165
ACH-000054,-0.7498020514543656
ACH-000055,-0.8821699814643009
ACH-000060,-0.8178589523113585
ACH-000067,-0.8485135842981117
ACH-000070,-0.9409237921029656
ACH-000075,-0.998403178173323
ACH-000078,-0.5710596563401116
ACH-000082,-0.4837455635661681
ACH-000085,-0.6152291969379611
ACH-000086,-0.5264462067841804
ACH-000087,-0.746009613270562
ACH-000092,-0.9393350513929498
ACH-000095,-0.9194564387585008
ACH-000097,-0.7712244478440263
ACH-000098,-0.8467724642916932
ACH-000099,-0.675981834708545
ACH-000108,-0.8737413602150952
ACH-000113,-0.7970048545537648
ACH-000116,-0.4771148504080913
ACH-000118,-0.7775008926262473
ACH-000120,-0.9385610499640108
ACH-000123,-0.9052245927944592
ACH-000127,-0.8899603493244232
ACH-000128,-0.8648034425244504
ACH-000132,-0.4105777859322911
ACH-000133,-0.7911892064812973
ACH-000137,-0.6213757843739086
ACH-000138,-0.7170907186345427
ACH-000142,-0.7775593485638891
ACH-000143,-0.7360484056708253
ACH-000146,-0.5187761935913653
ACH-000148,-0.9152193863408654
ACH-000150,-1.0017940308674875
ACH-000152,-0.9404649750044084
ACH-000153,-0.7060037392446358
ACH-000159,-0.7996190029138192
ACH-000160,-0.8446617667415272
ACH-000163,-1.0046452610604308
ACH-000167,-0.4559176219066049
ACH-000168,-0.6992736719159214
ACH-000169,-0.7811069216169071
ACH-000178,-0.8647948456540783
ACH-000183,-0.6086369306292118
ACH-000188,-0.8707456532280775
ACH-000189,-0.9893464674581616
ACH-000190,-0.8877480436745945
