,ADCYAP1R1 (117)
ACH-000004,-0.03850900625966454
ACH-000005,-0.09690709971468177
ACH-000007,-0.11377668250462815
ACH-000009,-0.06014860117066146
ACH-000011,0.0849809956020152
ACH-000012,-0.050852087321613004
ACH-000013,-0.038161001476374974
ACH-000014,0.008182329476026285
ACH-000015,-0.0705049782320187
ACH-000017,-0.08998833426990457
ACH-000018,-0.2244230083164705
ACH-000019,0.16501226071665698
ACH-000021,-0.1006404640462607
ACH-000022,-0.1017051603522728
ACH-000025,-0.04769662569077418
ACH-000028,-0.016772961070549368
ACH-000030,-0.04938769049044736
ACH-000035,-0.3148319129140407
ACH-000036,0.07009881252677813
ACH-000037,-0.07456837057223183
ACH-000039,-0.17731556549787636
ACH-000040,-0.17908790504165856
ACH-000041,-0.1109147379721352
ACH-000042,-0.16877620400748716
ACH-000045,-0.1174282354846395
ACH-000047,-0.15360135992410795
ACH-000052,-0.17253509170608847
ACH-000053,-0.2164086964925457
ACH-000054,-0.04880472564048987
ACH-000055,-0.04350356922492098
ACH-000060,-0.2258662447392775
ACH-000067,0.08806123828721246
ACH-000070,-0.08476739637833333
ACH-000075,0.003531846863705175
ACH-000078,-0.02034007309919684
ACH-000082,-0.09387594672916393
ACH-000085,-0.3060511624801775
ACH-000086,0.058314706497470635
ACH-000087,0.2909494938924842
ACH-000092,0.06834783663915946
ACH-000095,-0.11695271649110275
ACH-000097,-0.00876963115619604
ACH-000098,-0.07786797965556043
ACH-000099,-0.09130728619409982
ACH-000108,-0.2711433105514807
ACH-000113,-0.014501247121149663
ACH-000116,-0.01062132974100858
ACH-000118,-0.024448107233622875
ACH-000120,-0.050143874737624834
ACH-000123,-0.13824632317981855
ACH-000127,-0.08628073340993579
ACH-000128,-0.15059417016614318
ACH-000132,0.19985153937310352
ACH-000133,-0.053943791929046185
ACH-000137,-0.11559036924936356
ACH-000138,-0.06597496987514538
ACH-000142,-0.06608070649889257
ACH-000143,-0.09807512651888592
ACH-000146,-0.1424577561445219
ACH-000148,0.0019383904841910981
ACH-000150,-0.3576198648699493
ACH-000152,0.004802275236499098
ACH-000153,-0.055283025015136884
ACH-000159,-0.1578022771050391
ACH-000160,-0.02352433803721197
ACH-000163,-0.0066440245143595065
ACH-000167,-0.07406683656843514
ACH-000168,-0.11004612971732504
ACH-000169,-0.11615012978264867
ACH-000178,-0.2070053868138029
ACH-000183,0.008883332262304523
ACH-000188,-0.09980093086315814
ACH-000189,-0.3439754725474405
ACH-000190,-0.08461871861149751
ACH-000198,-0.1416066192514695
ACH-000203,0.039671778733419163
ACH-000204,0.07489172781455453
ACH-000206,0.022069833571433745
ACH-000207,-0.08627553684389426
ACH-000208,-0.3234541131000859
ACH-000210,-0.14133193965072913
ACH-000211,-0.040036936633086
ACH-000215,0.027306978965747214
ACH-000221,-0.08556053710992394
ACH-000222,0.1922338712619041
ACH-000223,-0.07032695399816874
ACH-000226,-0.2182833553478024
ACH-000227,-0.006231200605916695
ACH-000228,0.005291403668435054
ACH-000231,-0.09633592933469326
ACH-000232,-0.02101132030374261
ACH-000233,-0.029504291732155533
ACH-000234,-0.01248146983663119
ACH-000235,-0.12869850064405505
ACH-000237,-0.08093671139751382
ACH-000238,-0.033603429503850764
ACH-000242,-0.4883160089734189
ACH-000243,-0.021673109289145526
ACH-000244,-0.3531136511552171
ACH-000246,-0.05661912944731079
ACH-000248,-0.1342188534392859
ACH-000250,-0.04915701641104074
ACH-000251,0.0939230451524149
ACH-000252,-0.17384944962486407
ACH-000253,-0.054414184073195086
ACH-000255,-0.0807448877161533
ACH-000256,-0.12479101456464868
ACH-000257,0.08531073780094298
ACH-000258,-0.19776058307341413
ACH-000259,-0.06352866472521725
ACH-000260,-0.04113820958668391
ACH-000261,0.002967597988180359
ACH-000262,0.07194447555044446
ACH-000263,-0.2297726527558291
ACH-000264,-0.0998618116490301
ACH-000265,-0.023121749284173262
ACH-000266,-0.1627257310927371
ACH-000272,-0.05599568982245491
ACH-000274,0.04983479418778578
ACH-000277,-0.004850242661022263
ACH-000278,-0.10025028013692863
ACH-000279,-0.2350148985704703
ACH-000280,-0.05017013638378491
ACH-000281,-0.4487670980723971
ACH-000288,-0.08413027714074696
ACH-000291,-0.026861368438843014
ACH-000293,-0.008535369843095497
ACH-000294,-0.10394951017095294
ACH-000295,-0.06938026250637867
ACH-000296,-0.06281107920736573
ACH-000302,-0.0997480869403132
ACH-000304,-0.12733072567869694
ACH-000307,-0.15707917144726907
ACH-000308,-0.06102234841988094
ACH-000310,-0.1344214732084199
ACH-000311,-0.05562355063159161
ACH-000312,-0.10920870976220028
ACH-000315,-0.08938435062871786
ACH-000316,-0.037615681560598115
ACH-000317,0.09898743863730948
ACH-000318,0.10222644733647088
ACH-000319,-0.1656950082338079
ACH-000320,-0.07669486258857189
ACH-000322,-0.07582544287057665
ACH-000323,-0.009811362377313252
ACH-000324,-0.052157086748137946
ACH-000329,-0.0347412012057939
ACH-000330,-0.07133018124163894
ACH-000331,0.08497046602247461
ACH-000332,-0.04259056127140857
ACH-000334,0.13249813745549754
ACH-000335,-0.07267726917646654
ACH-000336,-0.06722390244150968
ACH-000337,-0.14016367205280236
ACH-000338,-0.5180029388998302
ACH-000339,-0.03749103490641219
ACH-000341,-0.08953679904319703
ACH-000348,-0.08618766143919744
ACH-000350,-0.16363031146268925
ACH-000352,0.03992751487216844
ACH-000356,-0.08900152169914001
ACH-000361,-0.02907495276987105
ACH-000362,-0.15385072331512134
ACH-000363,-0.10987354805949688
ACH-000364,-0.08042352852185501
ACH-000365,-0.0907372719622359
ACH-000366,-0.04814801591310909
ACH-000368,-0.01891293350633303
ACH-000374,-0.08902388233598586
ACH-000375,-0.06811498688285578
ACH-000376,-0.06362734169389607
ACH-000381,-0.010081969525003242
ACH-000383,-0.10751043406564703
ACH-000387,-0.13416560231557806
