,DESI1 (27351)
ACH-000004,-0.2843986177758027
ACH-000005,-0.3075685348013384
ACH-000007,-0.35227711219755337
ACH-000009,-0.18515666695816496
ACH-000011,-0.2694884386943459
ACH-000012,-0.2807000518056595
ACH-000013,-0.14443154955896073
ACH-000014,-0.3127579648671208
ACH-000015,-0.24113483498430166
ACH-000017,-0.2606367601997458
ACH-000018,-0.2400372680649828
ACH-000019,-0.07871327881944128
ACH-000021,-0.09555638449100816
ACH-000022,-0.11969526605731827
ACH-000025,-0.14523319604704854
ACH-000028,-0.13262910017951496
ACH-000030,-0.39149626205010574
ACH-000035,-0.029541410070775063
ACH-000036,-0.2180923746132073
ACH-000037,-0.2220366728250313
ACH-000039,0.00749783677625718
ACH-000040,-0.12122972253123172
ACH-000041,-0.2632457684080298
ACH-000042,-0.18107059425767444
ACH-000045,-0.25687258749773034
ACH-000047,-0.302514048066792
ACH-000052,-0.02161522712989591
ACH-000053,-0.17778378350263296
ACH-000054,-0.20887506870014616
ACH-000055,-0.25260776112362937
ACH-000060,-0.33464016899900345
ACH-000067,-0.20547113327788344
ACH-000070,-0.2382333064643479
ACH-000075,-0.0331631355826554
ACH-000078,-0.21572737755649254
ACH-000082,-0.06490820537396393
ACH-000085,-0.3719409007076372
ACH-000086,-0.0012646915622693726
ACH-000087,-0.09639505830045396
ACH-000092,-0.20140737733400052
ACH-000095,-0.2687237716608921
ACH-000097,-0.16343368311026288
ACH-000098,-0.15523642500925938
ACH-000099,-0.16395572415571366
ACH-000108,-0.008076950980525152
ACH-000113,-0.1309069573527045
ACH-000116,-0.1578892067303887
ACH-000118,-0.3471246158565423
ACH-000120,-0.1582849235768099
ACH-000123,-0.1253309572318272
ACH-000127,-0.15024177139454173
ACH-000128,-0.1687339850714403
ACH-000132,-0.17383202539598575
ACH-000133,-0.17092048173228905
ACH-000137,-0.15863681895912204
ACH-000138,-0.014345104178646987
ACH-000142,-0.12115667219333776
ACH-000143,-0.07256705382890563
ACH-000146,-0.3621178599481779
ACH-000148,-0.1500028893960001
ACH-000150,0.01230456609993476
ACH-000152,-0.2344269825163941
ACH-000153,-0.0760073782144908
ACH-000159,-0.05166597033290917
ACH-000160,-0.17725316660108514
ACH-000163,-0.004425471336173302
ACH-000167,0.009142378004404922
ACH-000168,-0.20185591269339656
ACH-000169,-0.095420319437031
ACH-000178,-0.21073372450317646
ACH-000183,0.029129574443160517
ACH-000188,-0.03395864290268332
ACH-000189,-0.058875389809475015
ACH-000190,-0.2847396980789285
ACH-000198,-0.16052714198205745
ACH-000203,-0.6973342089396412
ACH-000204,0.01202216695807282
ACH-000206,-0.17029555412132666
ACH-000207,-0.03713180653241729
ACH-000208,-0.09661938646169227
ACH-000210,-0.10913158554026604
ACH-000211,-0.21635439217142102
ACH-000215,-0.17096394242652155
ACH-000221,-0.21285796759847392
ACH-000222,-0.013849872724736428
ACH-000223,-0.19461211187483868
ACH-000226,-0.04859796267394103
ACH-000227,-0.2141704338404728
ACH-000228,-0.27876385496437595
ACH-000231,-0.3649255051144539
ACH-000232,-0.18589993612811165
ACH-000233,-0.15972701749443802
ACH-000234,-0.10331661395660686
ACH-000235,-0.13230332548282014
ACH-000237,-0.07442056793764222
ACH-000238,-0.2646646158306513
ACH-000242,0.07537750656137772
ACH-000243,-0.14948675278569798
ACH-000244,-0.11974623499151806
ACH-000246,-0.07810307867647502
ACH-000248,-0.044233327307883284
ACH-000250,-0.26375635677034137
ACH-000251,0.014719873460318843
ACH-000252,-0.220694876404478
ACH-000253,-0.214587928006115
ACH-000255,-0.2517218882102042
ACH-000256,-0.3181221673690261
ACH-000257,-0.22444985499178136
ACH-000258,-0.3934452058893514
ACH-000259,-0.13202328728318596
ACH-000260,-0.19596723554962286
ACH-000261,-0.2517450236616075
ACH-000262,-0.17494576433219933
ACH-000263,-0.4175309626657817
ACH-000264,-0.22914379924280315
ACH-000265,-0.2347003773528171
ACH-000266,-0.22266219828036732
ACH-000272,-0.21655161864598446
ACH-000274,-0.234819726335316
ACH-000277,-0.1329857148629066
ACH-000278,-0.2013138640757043
ACH-000279,-0.2639093018314528
ACH-000280,-0.19431335027333527
ACH-000281,-0.07315744307459147
ACH-000288,-0.168245672910961
ACH-000291,-0.13906195282886766
ACH-000293,-0.18992989062284754
ACH-000294,-0.19702754404521136
ACH-000295,-0.1857598690458496
ACH-000296,-0.2681737521908991
ACH-000302,-0.2375793927081377
ACH-000304,-0.2711827243421394
ACH-000307,-0.1698314909363776
ACH-000308,-0.15210982100911186
ACH-000310,-0.2979957547557493
ACH-000311,-0.258428918512051
ACH-000312,-0.14999539165882175
ACH-000315,-0.07600422387418923
ACH-000316,-0.14667660730429505
ACH-000317,0.11889753273014912
ACH-000318,-0.09337106619442298
ACH-000319,-0.1646364170557774
ACH-000320,-0.18472967835869966
ACH-000322,-0.1930642503867739
ACH-000323,-0.23524379687411315
ACH-000324,-0.2971849540166167
ACH-000329,-0.2199732099117012
ACH-000330,-0.08853117889103218
ACH-000331,-0.07250730755091304
ACH-000332,-0.20498523023819976
ACH-000334,-0.09251777959570076
ACH-000335,-0.2446202938718281
ACH-000336,-0.08372622300088206
ACH-000337,-0.2257770643786809
ACH-000338,-0.2559417224365362
ACH-000339,-0.1606309915154792
ACH-000341,-0.13357303993176298
ACH-000348,-0.1015519921986667
ACH-000350,-0.13046019537387007
ACH-000352,-0.04189813967282725
ACH-000356,-0.20108244485491855
ACH-000361,-0.3954422426315908
ACH-000362,-0.3016032042062632
ACH-000363,-0.13730946319155302
ACH-000364,-0.15722590792821914
ACH-000365,-0.17417859627419344
ACH-000366,-0.13828507795030207
ACH-000368,-0.3387633171574055
ACH-000374,-0.2101450973988476
ACH-000375,-0.16854108032176265
ACH-000376,-0.1840439370333623
ACH-000381,-0.1901274857077012
ACH-000383,-0.1695072961769754
ACH-000387,-0.25431076785927936
ACH-000389,-0.3397549433174827
ACH-000390,-0.14200335778212594
ACH-000393,-0.16529026039868092
ACH-000395,-0.184162327504837
ACH-000396,-0.1999600255043588
ACH-000397,-0.2678308823843797
ACH-000401,-0.2839908992661355
ACH-000402,0.550691442018954
ACH-000403,-0.21423467810510408
ACH-000404,-0.0696569871547641
ACH-000406,-0.2247834957984172
ACH-000407,-0.09271570954245836
ACH-000408,-0.25352725265659537
ACH-000410,-0.13683353981594346
ACH-000411,-0.010189706264702293
ACH-000414,-0.11093095780205067
ACH-000415,-0.13682757664057052
ACH-000416,-0.16811511196237303
ACH-000420,-0.1816989175080991
ACH-000421,-0.2298491503528332
ACH-000424,0.14898724938835947
ACH-000425,-0.2288302420727594
ACH-000426,-0.1862043489641119
ACH-000427,-0.2878079214217013
ACH-000433,-0.055816909890446284
ACH-000435,0.03650825179210114
ACH-000436,-0.21465326505317034
ACH-000444,-0.15219337559362658
ACH-000445,-0.3860102886255868
ACH-000448,-0.10563307765885582
ACH-000450,-0.19174704727135486
ACH-000452,-0.13458521992148129
ACH-000454,-0.24290771921810825
ACH-000458,-0.160757464813609
ACH-000459,-0.13262936904478842
ACH-000460,-0.24293307584736776
ACH-000461,-0.1477203985020894
ACH-000463,-0.2052177803075036
ACH-000464,-0.13391184024054442
ACH-000466,0.042835211337311774
ACH-000467,-0.0854613415607831
ACH-000468,-0.18649555549081412
ACH-000469,-0.15051443731789169
ACH-000470,-0.3666812302817373
ACH-000471,-0.2412538300558773
ACH-000472,-0.27113951732020675
ACH-000473,-0.2555300712687409
ACH-000475,-0.1480685559102271
ACH-000476,-0.13583262725968367
ACH-000477,-0.24910790513658795
ACH-000479,-0.06422898316211953
ACH-000480,-0.061205360351334163
ACH-000481,-0.06653960240762533
ACH-000483,-0.15991753672639558
ACH-000484,-0.19546721804055933
ACH-000485,-0.07806950493563805
ACH-000486,-0.1771188302360655
ACH-000487,-0.02376940665807696
ACH-000488,-0.19276347631744328
ACH-000490,-0.2622968989609018
ACH-000491,0.0031973691457521714
ACH-000495,-0.1432229976487874
ACH-000496,-0.17542783967202585
ACH-000499,-0.2064416782775206
ACH-000500,0.12664188118216654
ACH-000502,-0.10052329574828774
ACH-000503,0.04663256770208237
ACH-000505,-0.19692959717168454
ACH-000507,-0.13679635255298053
ACH-000510,-0.1858230942506996
ACH-000511,-0.1887930060364532
ACH-000512,-0.04485728045233391
ACH-000516,-0.3769835005361705
ACH-000517,-0.18069907955795872
ACH-000518,-0.0557883169033122
ACH-000520,-0.2204902286703813
