,CSAD (51380)
ACH-000004,-0.0951447722056472
ACH-000005,-0.059047269710736185
ACH-000007,-0.36924928751187547
ACH-000009,-0.24931212921259224
ACH-000011,-0.13159422755332756
ACH-000012,-0.12119285387592148
ACH-000013,-0.12635933833773105
ACH-000014,-0.12110687972322025
ACH-000015,-0.13265150856063287
ACH-000017,-0.02593081401102994
ACH-000018,-0.16491408493900925
ACH-000019,-0.3441677867771449
ACH-000021,-0.16356778018575596
ACH-000022,-0.1479277115986858
ACH-000025,-0.3327614456870051
ACH-000028,-0.2094080431292064
ACH-000030,-0.1633196522420356
ACH-000035,-0.16539902217490765
ACH-000036,-0.0011835726567638336
ACH-000037,-0.17047936552726328
ACH-000039,-0.15078176555480302
ACH-000040,-0.25702467721117306
ACH-000041,-0.24331101319497556
ACH-000042,-0.08285949348147494
ACH-000045,0.039749337614983185
ACH-000047,-0.14477867659921712
ACH-000052,-0.2756339053885329
ACH-000053,-0.16743955726753748
ACH-000054,-0.2509698764916989
ACH-000055,-0.048902276352505714
ACH-000060,0.017122333288499655
ACH-000067,-0.26407410136052084
ACH-000070,-0.13361993608452
ACH-000075,-0.26179418261951043
ACH-000078,-0.025025104444169676
ACH-000082,-0.07248410789331983
ACH-000085,-0.15136402266118326
ACH-000086,-0.2348974892310843
ACH-000087,-0.24343638191241396
ACH-000092,-0.212007411938264
ACH-000095,-0.033698455737554804
ACH-000097,-0.21643494291220008
ACH-000098,-0.09214644271628204
ACH-000099,-0.011900856552296672
ACH-000108,-0.08652105099830239
ACH-000113,-0.23874770279588356
ACH-000116,-0.04297533927023935
ACH-000118,-0.1793269392444806
ACH-000120,0.008914840652456322
ACH-000123,-0.17056730784224192
ACH-000127,-0.14235330963418982
ACH-000128,-0.16457383088408556
ACH-000132,0.09641391722144353
ACH-000133,-0.2510565890275093
ACH-000137,-0.3244499348407178
ACH-000138,-0.10751058220818206
ACH-000142,-0.14897480176286468
ACH-000143,-0.13702690355397826
ACH-000146,-0.16467258975828966
ACH-000148,-0.15220578613634336
ACH-000150,-0.3070054829868183
ACH-000152,-0.1810990883893387
ACH-000153,-0.13148326826872084
ACH-000159,-0.05521416627105191
ACH-000160,-0.2791227586563314
ACH-000163,-0.18190528681939694
ACH-000167,-0.2341400573029232
ACH-000168,-0.1231835489436934
ACH-000169,-0.05572362067850285
ACH-000178,-0.012742047054005116
ACH-000183,-0.019395994802334747
ACH-000188,-0.03723907800832184
ACH-000189,-0.12333725574952174
ACH-000190,0.007755483206432023
ACH-000198,-0.1424689461722086
ACH-000203,0.1252070780971268
ACH-000204,-0.14613059442016918
ACH-000206,-0.051433829414017584
ACH-000207,0.034037712831250275
ACH-000208,-0.10496288629957412
ACH-000210,0.17645279750782975
ACH-000211,-0.0636281976755879
ACH-000215,-0.19803456173685194
ACH-000221,-0.020521638100440453
ACH-000222,0.014251658797248087
ACH-000223,-0.1063954537541723
ACH-000226,-0.17614204589644172
ACH-000227,-0.0684136511078817
ACH-000228,-0.13637903170158644
ACH-000231,-0.11792363797634085
ACH-000232,-0.05846990573228791
ACH-000233,-0.07289590815074147
ACH-000234,-0.07859116194495308
ACH-000235,-0.21539045933365814
ACH-000237,-0.16121923200908986
ACH-000238,-0.21399072156592167
ACH-000242,0.05572198571685304
ACH-000243,-0.1313343137723078
ACH-000244,-0.1821546099735895
ACH-000246,-0.10356286938541627
ACH-000248,-0.11273034782499645
ACH-000250,-0.029955114905977576
