,FAHD2A (51011)
ACH-000004,-0.26335707996467905
ACH-000005,-0.21128886340893585
ACH-000007,-0.16130073806045173
ACH-000009,-0.2356180786603343
ACH-000011,-0.4738477870739881
ACH-000012,-0.1706522234255044
ACH-000013,-0.3294829187564388
ACH-000014,-0.3283933062773395
ACH-000015,-0.3226097789273992
ACH-000017,-0.2790549245220953
ACH-000018,-0.1625055202012155
ACH-000019,-0.03973668406143306
ACH-000021,-0.13981633085233333
ACH-000022,-0.2682232971733685
ACH-000025,-0.16567993433765993
ACH-000028,-0.2631283856204613
ACH-000030,-0.3273702946317516
ACH-000035,-0.1604334451642768
ACH-000036,-0.0924583084573988
ACH-000037,-0.23728049672227497
ACH-000039,-0.14176571190652865
ACH-000040,-0.21329283300369645
ACH-000041,-0.13892579790882253
ACH-000042,-0.07886357088630548
ACH-000045,-0.1545544480789484
ACH-000047,-0.16288842961101316
ACH-000052,-0.5356423122012615
ACH-000053,-0.24805004616400425
ACH-000054,-0.13315710505952044
ACH-000055,-0.3372221340969698
ACH-000060,-0.19337561261860808
ACH-000067,-0.24780807211755454
ACH-000070,-0.19113993454205064
ACH-000075,-0.2426039498861965
ACH-000078,-0.1841256848555172
ACH-000082,-0.32627176310478223
ACH-000085,-0.5070224494321999
ACH-000086,-0.40272531688134017
ACH-000087,-0.1818776712515265
ACH-000092,-0.4481662698094245
ACH-000095,-0.3621811420728222
ACH-000097,-0.2814937923401421
ACH-000098,-0.3182687489512577
ACH-000099,-0.182058701616547
ACH-000108,-0.1684250112475705
ACH-000113,-0.21904518620638952
ACH-000116,-0.228034423887962
ACH-000118,-0.2610078745340177
ACH-000120,-0.2318833030482137
ACH-000123,-0.17272886185109265
ACH-000127,-0.24313045740671976
ACH-000128,-0.2328776486263957
ACH-000132,-0.2488110601433801
ACH-000133,-0.32943544865057234
ACH-000137,-0.5437144265326821
ACH-000138,-0.16351502497167533
ACH-000142,-0.22025187417652745
ACH-000143,-0.1771660591044474
ACH-000146,-0.20969048506942506
ACH-000148,-0.23530076594222996
ACH-000150,-0.1093474526811404
ACH-000152,-0.3987956957975026
ACH-000153,-0.4890443867406469
ACH-000159,-0.3477478447200372
ACH-000160,-0.32968394046779403
ACH-000163,-0.10033670711230767
ACH-000167,-0.440282677944762
ACH-000168,-0.1983689261749272
ACH-000169,-0.3260132998509385
ACH-000178,-0.3172679496198764
ACH-000183,-0.24753214004213275
ACH-000188,-0.3958300429218592
ACH-000189,-0.39803570457844734
ACH-000190,-0.3546310515276831
ACH-000198,-0.14702374513169358
ACH-000203,-0.3832350256111471
ACH-000204,-0.2857603132538077
ACH-000206,-0.2322885656395165
ACH-000207,-0.2417544452773221
ACH-000208,-0.13651925735656906
ACH-000210,-0.2606163815057023
ACH-000211,-0.3287770965486149
ACH-000215,-0.3173492482860861
ACH-000221,-0.4498518149249495
ACH-000222,-0.3611670250475839
ACH-000223,-0.3766388538745732
ACH-000226,-0.3006769637032626
ACH-000227,-0.13562392668637846
ACH-000228,-0.432775512956046
ACH-000231,-0.2698006442218232
ACH-000232,-0.2933856065411849
ACH-000233,-0.3260587889683371
ACH-000234,-0.3278793643681832
ACH-000235,-0.21743595326305
ACH-000237,-0.3773842271028046
ACH-000238,-0.07962914773777302
ACH-000242,-0.6031825174775328
ACH-000243,-0.3691811149246181
ACH-000244,-0.1399100069904559
ACH-000246,-0.3929192094134264
ACH-000248,-0.3245121594033394
ACH-000250,-0.27508968201827083
ACH-000251,-0.440664068184976
ACH-000252,-0.2998237837661048
ACH-000253,-0.1624698689262834
ACH-000255,-0.22596874540487505
ACH-000256,-0.20813051658654413
ACH-000257,-0.1386662638823869
ACH-000258,-0.2971358184441579
ACH-000259,-0.2010476852677268
ACH-000260,-0.24667110588533914
ACH-000261,-0.2849382891415499
ACH-000262,-0.20438913702823294
ACH-000263,-0.3384971596931379
ACH-000264,-0.06432256220796098
ACH-000265,-0.2735257780178529
ACH-000266,-0.28276988637106115
ACH-000272,-0.4658357507942282
ACH-000274,-0.330716661834406
ACH-000277,-0.21658587465281146
ACH-000278,-0.12835927181269416
ACH-000279,-0.20243978871609145
ACH-000280,-0.18229052892161324
ACH-000281,0.06453124883694653
ACH-000288,-0.28591177763979475
ACH-000291,-0.2723290230981285
ACH-000293,-0.2887157467639775
ACH-000294,-0.15834439083640392
ACH-000295,-0.050816786616816975
ACH-000296,-0.37585944980398506
ACH-000302,-0.2377985514188481
ACH-000304,-0.3652090068526552
ACH-000307,-0.299446803247985
ACH-000308,-0.3727349496987989
ACH-000310,-0.20046994965845727
ACH-000311,-0.2018575521532008
ACH-000312,-0.166536714125769
ACH-000315,-0.17176734884488493
ACH-000316,-0.20528437471209854
ACH-000317,-0.6296644540907863
ACH-000318,-0.3384702330358276
ACH-000319,-0.4115789303337583
ACH-000320,-0.23606912153797815
ACH-000322,-0.30790924497734745
ACH-000323,-0.2505062786106379
ACH-000324,-0.3025676409066545
ACH-000329,-0.2629400045370309
ACH-000330,-0.3200000103359236
ACH-000331,-0.2548331561689655
ACH-000332,-0.23770114638886794
ACH-000334,-0.2262021210147091
ACH-000335,0.022319864816342384
ACH-000336,-0.4652785144117775
ACH-000337,-0.04901108179540512
ACH-000338,-0.5614385062956451
ACH-000339,-0.2762128724985763
ACH-000341,-0.34887471517533164
ACH-000348,-0.2102700910558703
ACH-000350,-0.14126907470143346
ACH-000352,-0.303136902750712
ACH-000356,-0.28345612624591
ACH-000361,-0.2485128957633619
ACH-000362,-0.3053210095271617
ACH-000363,-0.3294592868810453
ACH-000364,-0.18331982595744856
ACH-000365,-0.3268567938985008
ACH-000366,-0.1633117991867596
ACH-000368,-0.01639374409878
ACH-000374,-0.6433778884813312
ACH-000375,-0.06485082049444373
ACH-000376,-0.28960621703954165
ACH-000381,-0.05834277164805188
ACH-000383,-0.14971898356481966
ACH-000387,-0.21237779481235736
ACH-000389,-0.10087114604402707
ACH-000390,-0.4241245422864328
ACH-000393,-0.2328968353573234
ACH-000395,-0.3822343174221589
ACH-000396,-0.1306841693899444
ACH-000397,-0.19546673372086928
ACH-000401,-0.1076472718993358
ACH-000402,-0.10285461840949878
ACH-000403,-0.3505022769458419
ACH-000404,-0.1336479550079225
ACH-000406,-0.21961331250249652
ACH-000407,-0.2384462878955355
ACH-000408,-0.044091109910884635
ACH-000410,-0.2248713326907734
ACH-000411,-0.4765349304687025
ACH-000414,-0.16730691529301714
ACH-000415,-0.3764297403620747
ACH-000416,-0.17418829433644276
ACH-000420,-0.28784352508975164
ACH-000421,-0.2310811256954343
ACH-000424,-0.42293083542716464
ACH-000425,-0.4171780084318626
ACH-000426,-0.19692628451028749
ACH-000427,-0.3181599557633497
ACH-000433,-0.3108340096845426
ACH-000435,-0.2940157884138881
ACH-000436,-0.301827876737662
ACH-000444,-0.21461819508203825
ACH-000445,-0.2587949554657608
ACH-000448,-0.26253631101588915
ACH-000450,-0.4665899954519193
ACH-000452,-0.1400792317706724
ACH-000454,-0.2489395775611975
ACH-000458,-0.2707444121228506
ACH-000459,-0.273397043167568
ACH-000460,-0.2418851452136312
ACH-000461,-0.21322560736400087
ACH-000463,-0.4091314056385375
ACH-000464,-0.4984967868798457
ACH-000466,-0.4240846444884143
ACH-000467,-0.11735366624597884
ACH-000468,-0.245702193588278
ACH-000469,-0.2213537098533659
ACH-000470,-0.2737939602291318
ACH-000471,-0.263694696588603
ACH-000472,-0.290123909535663
ACH-000473,-0.08390216087712615
ACH-000475,-0.21039338050509826
ACH-000476,-0.24226955576224696
ACH-000477,0.009536379374766058
ACH-000479,-0.2926369274920508
ACH-000480,-0.194275612313428
ACH-000481,-0.33030200723360625
ACH-000483,-0.16197975302738385
ACH-000484,-0.17308927736402238
ACH-000485,-0.08341538882535497
ACH-000486,-0.32895935970956425
ACH-000487,-0.2262537982203689
ACH-000488,-0.15845414694048604
ACH-000490,-0.21417316887424706
ACH-000491,-0.07585019220652348
ACH-000495,-0.6023521921153069
ACH-000496,-0.2939808052093064
ACH-000499,-0.06304150730315604
ACH-000500,-0.08488415916764264
ACH-000502,-0.31588008572766857
ACH-000503,-0.2120544416318832
ACH-000505,-0.2354119369668678
ACH-000507,-0.22039803484674492
ACH-000510,-0.3121188989326296
ACH-000511,-0.2059089133841372
ACH-000512,0.005883198125071758
ACH-000516,-0.26391464544792403
ACH-000517,-0.19419811571531892
ACH-000518,-0.2439661054110031
ACH-000520,-0.23465782816808856
