,TBP (6908)
ACH-000004,-0.3056926937587558
ACH-000005,-0.5498170081418139
ACH-000007,-0.4434995255598491
ACH-000009,-0.30137199135296394
ACH-000011,-0.40302810940631306
ACH-000012,-0.4832214361374001
ACH-000013,-0.6984034599298642
ACH-000014,-0.3404664213461948
ACH-000015,-0.4660719967310163
ACH-000017,-0.6392815895001083
ACH-000018,-0.4991670072446684
ACH-000019,-0.4441523948863832
ACH-000021,-0.6544568762227292
ACH-000022,-0.37814916720967184
ACH-000025,-0.26645100966162405
ACH-000028,-0.5833161053163312
ACH-000030,-0.3306184004530729
ACH-000035,-0.4081036369545401
ACH-000036,-0.5277937933105451
ACH-000037,-0.44823479351001205
ACH-000039,-0.28089936930562914
ACH-000040,-0.4158011016338263
ACH-000041,-0.4288404795715583
ACH-000042,-0.4955413142065572
ACH-000045,-0.3617890321562469
ACH-000047,-0.5096649051158676
ACH-000052,-0.3573402665770633
ACH-000053,-0.4140400294597333
ACH-000054,-0.4729039888253097
ACH-000055,-0.3838498489361361
ACH-000060,-0.5199283231470979
ACH-000067,-0.2871045603585323
ACH-000070,-0.4159332919919516
ACH-000075,-0.389536089165786
ACH-000078,-0.471966170396641
ACH-000082,-0.6645345394879613
ACH-000085,-0.510401526473674
ACH-000086,-0.3653880674895622
ACH-000087,-0.6479558249587248
ACH-000092,-0.17502755170844878
ACH-000095,-0.4488950734574178
ACH-000097,-0.590412249526195
ACH-000098,-0.3779247994757776
ACH-000099,-0.33111233451786104
ACH-000108,-0.5162353729356138
ACH-000113,-0.4680516248886208
ACH-000116,-0.6708572702132242
ACH-000118,-0.6495257025282439
ACH-000120,-0.6291206786433285
ACH-000123,-0.4540598630892008
ACH-000127,-0.2600185559489231
ACH-000128,-0.34727802690521714
ACH-000132,-0.6120301933708566
ACH-000133,-0.2789138084518936
ACH-000137,-0.4097154025254683
ACH-000138,-0.2758253520440129
ACH-000142,-0.18118924883009
ACH-000143,-0.2842462190849722
ACH-000146,-0.2042647929036467
ACH-000148,-0.3346162876192418
ACH-000150,-0.3975584043371408
ACH-000152,-0.3014693113610872
ACH-000153,-0.3920102339323159
ACH-000159,-0.37733137010005424
ACH-000160,-0.04868452884710905
ACH-000163,-0.5164835806359658
ACH-000167,-0.04847647145159504
ACH-000168,-0.36031637584229664
ACH-000169,-0.4790453128637073
ACH-000178,-0.4652307275584208
ACH-000183,-0.5782845738089835
ACH-000188,-0.24097556655295335
ACH-000189,-0.3262740493754663
ACH-000190,-0.01740654900793669
ACH-000198,-0.19692477630557806
ACH-000203,0.04441102008726582
ACH-000204,-0.2537936528521257
ACH-000206,-0.0790877082929694
ACH-000207,-0.5144110424569237
ACH-000208,-0.6780535400134641
ACH-000210,-0.32339456490270924
ACH-000211,-0.30879854897809145
ACH-000215,-0.3644307076708253
ACH-000221,-0.5865955020879364
ACH-000222,-0.4114418061300951
ACH-000223,-0.5408708706086481
ACH-000226,-0.3216182698711134
ACH-000227,-0.16341515225943634
ACH-000228,-0.7333460868940057
ACH-000231,-0.19396119693231487
ACH-000232,-0.2564659109833681
ACH-000233,-0.3142128278131373
ACH-000234,-0.22640705932432095
ACH-000235,-0.3975060600990269
ACH-000237,-0.860828491123769
ACH-000238,-0.15729722344585695
ACH-000242,-0.9265187352293492
ACH-000243,-0.5055506922114086
ACH-000244,-0.3272167893083815
ACH-000246,-0.29452204047116315
ACH-000248,-0.4999131206985917
ACH-000250,-0.3117037979063772
ACH-000251,-0.1459470739560559
ACH-000252,-0.2594605224711056
ACH-000253,-0.7258296229501657
ACH-000255,-0.494392460959839
ACH-000256,-0.42252287291811136
ACH-000257,-0.3206770684866089
ACH-000258,-0.3162144248267283
ACH-000259,-0.4551554477532722
ACH-000260,-0.7184234197986665
ACH-000261,-0.3490299342987137
ACH-000262,-0.6473745998320748
ACH-000263,-0.2507872961352239
ACH-000264,-0.4348429638227281
ACH-000265,-0.3537087168117009
ACH-000266,-0.43442073312391377
ACH-000272,-0.4169433573297328
ACH-000274,-0.3959958986029245
ACH-000277,-0.735952956407679
ACH-000278,-0.4102464039796344
ACH-000279,-0.40848228727118896
ACH-000280,-0.4480434327050979
ACH-000281,-0.2690114974058575
ACH-000288,-0.44793558003087375
ACH-000291,-0.4162977530941648
ACH-000293,-0.2479538980571264
ACH-000294,-0.1096465524135226
ACH-000295,-0.7026514217840012
ACH-000296,-0.54950056149155
ACH-000302,-0.331361932255398
ACH-000304,-0.3486354640387751
ACH-000307,-0.5861389507437671
