,PDCL3 (79031)
ACH-000004,0.11187803127457037
ACH-000005,0.010527083059235038
ACH-000007,-0.10848982394073056
ACH-000009,-0.2684306195299888
ACH-000011,-0.10169531194318752
ACH-000012,-0.2544204297534668
ACH-000013,-0.16735629019348902
ACH-000014,-0.2473689803829201
ACH-000015,-0.1835262757915634
ACH-000017,-0.13082050019035493
ACH-000018,-0.4069875875015974
ACH-000019,-0.18919286886587244
ACH-000021,-0.0678631632930927
ACH-000022,-0.10717767165442567
ACH-000025,-0.201025276556732
ACH-000028,-0.21467278468664264
ACH-000030,-0.3679277811800049
ACH-000035,-0.3571919278847124
ACH-000036,-0.3555027989628926
ACH-000037,-0.2527512015654862
ACH-000039,-0.15225198138290455
ACH-000040,-0.3444533960779688
ACH-000041,-0.1878031624372368
ACH-000042,-0.1940521208210669
ACH-000045,-0.26291410505067003
ACH-000047,-0.3944711190479034
ACH-000052,-0.12752380402680033
ACH-000053,-0.14648917353014484
ACH-000054,-0.29742867116371097
ACH-000055,0.1383697589168545
ACH-000060,-0.3492211242608843
ACH-000067,-0.35795842275469897
ACH-000070,-0.09375771999740692
ACH-000075,-0.36019162478888084
ACH-000078,-0.0405715189124634
ACH-000082,-0.17355680866485393
ACH-000085,-0.24225241303149175
ACH-000086,-0.2638187282535677
ACH-000087,-0.2424777075193165
ACH-000092,-0.4011786283748066
ACH-000095,-0.06532273006898467
ACH-000097,-0.293689907756231
ACH-000098,-0.4430554050391086
ACH-000099,-0.13918466626301604
ACH-000108,-0.16284536595369067
ACH-000113,-0.21473212446453646
ACH-000116,-0.2106037847128989
ACH-000118,-0.3945860111501736
ACH-000120,-0.11635518523192866
ACH-000123,-0.3117289098786957
ACH-000127,-0.21765696293373635
ACH-000128,-0.32626799546553403
ACH-000132,-0.1035400697896503
ACH-000133,-0.390736901523916
ACH-000137,-0.07019742886131278
ACH-000138,-0.06944169096721874
ACH-000142,-0.21562421707258028
ACH-000143,-0.17634404319432034
ACH-000146,0.014859554162803719
ACH-000148,-0.36006975648687306
ACH-000150,-0.10977745708830816
ACH-000152,-0.569486177660949
ACH-000153,-0.25115038777876275
ACH-000159,-0.17847280065089596
ACH-000160,-0.21399374359895545
ACH-000163,-0.3165654384733845
ACH-000167,-0.0346912367923945
ACH-000168,-0.02110476992016621
ACH-000169,-0.2535653778570897
ACH-000178,-0.2234990888474596
ACH-000183,-0.17036612388424532
ACH-000188,-0.22203040902856666
ACH-000189,-0.4309558922946919
ACH-000190,-0.3459603039485149
ACH-000198,-0.16328711610625216
ACH-000203,-0.10560350253108826
ACH-000204,-0.3484612383113114
ACH-000206,-0.2865382622649108
ACH-000207,-0.14097709821011956
ACH-000208,-0.4707713518496926
ACH-000210,0.018600194413541084
ACH-000211,-0.3727322578748965
ACH-000215,-0.3211149104482362
ACH-000221,-0.23204547448127144
ACH-000222,0.06584159181423814
ACH-000223,-0.30779806172460944
ACH-000226,-0.09325521811507773
ACH-000227,-0.2152452237455256
ACH-000228,-0.26903009919266063
ACH-000231,-0.6001173932052655
