,AMDHD1 (144193)
ACH-000004,-0.07914175956006808
ACH-000005,0.3043425563589757
ACH-000007,-0.036226538708694515
ACH-000009,-0.010186295173348566
ACH-000011,0.07076656559446261
ACH-000012,-0.11671127141005933
ACH-000013,-0.09901961600056318
ACH-000014,-0.1897124641918093
ACH-000015,0.043772105426201066
ACH-000017,-0.164966732403294
ACH-000018,0.07539597316920202
ACH-000019,0.012311241425991446
ACH-000021,-0.17013893225951446
ACH-000022,-0.09807607703474283
ACH-000025,-0.21460279053092832
ACH-000028,0.08140240697887885
ACH-000030,-0.02384853834543718
ACH-000035,-0.13098733870735466
ACH-000036,-0.15992634186810495
ACH-000037,-0.22339932193822606
ACH-000039,0.05334080802835396
ACH-000040,-0.14350131035809766
ACH-000041,0.030814573755671468
ACH-000042,-0.13406938808524654
ACH-000045,-0.15894944381431034
ACH-000047,-0.09843389856960824
ACH-000052,0.01628259992367977
ACH-000053,-0.19137757388214105
ACH-000054,-0.09598610070847416
ACH-000055,0.004961356131181168
ACH-000060,-0.13877976050821594
ACH-000067,0.061089634694393186
ACH-000070,-0.12828388320697645
ACH-000075,-0.02627098810457946
ACH-000078,-0.009847756290829913
ACH-000082,-0.045455841346781434
ACH-000085,0.1534720896413926
ACH-000086,-0.18295090698472127
ACH-000087,0.002395730362509816
ACH-000092,-0.1891499328224363
ACH-000095,-0.18945457008199335
ACH-000097,-0.08325756453585195
ACH-000098,-0.0965418685624662
ACH-000099,-0.13020756493875207
ACH-000108,0.034514341574675166
ACH-000113,-0.08919468077081158
ACH-000116,-0.011421261198159921
ACH-000118,-0.12117819224914815
ACH-000120,-0.14677271768224276
ACH-000123,-0.005036908668843633
ACH-000127,-0.0452121531788153
ACH-000128,-0.14968652263212845
ACH-000132,0.12755899508647536
ACH-000133,-0.028164191976095262
ACH-000137,-0.006181914149170598
ACH-000138,-0.07265041387707856
ACH-000142,-0.25024780443016115
ACH-000143,-0.09141399828421633
ACH-000146,-0.05729867516286408
ACH-000148,-0.003698511668501804
ACH-000150,-0.1688238437903022
ACH-000152,-0.02517721200281206
ACH-000153,0.0537177543896227
ACH-000159,-0.005722023554766632
ACH-000160,-0.05693243786304511
ACH-000163,0.013982092323780313
ACH-000167,-0.0588626412635959
