,RHPN1 (114822)
ACH-000004,-0.04186679343213536
ACH-000005,-0.2488985372055985
ACH-000007,-0.2993234001262177
ACH-000009,-0.3056152161392375
ACH-000011,-0.40831200895191055
ACH-000012,-0.4227080059771406
ACH-000013,-0.2450341465920481
ACH-000014,-0.3697680480030972
ACH-000015,-0.12139016230269395
ACH-000017,-0.4133562718857695
ACH-000018,-0.3922311561409908
ACH-000019,-0.39488883142561054
ACH-000021,-0.3027084388391077
ACH-000022,-0.3294088663221199
ACH-000025,-0.2894630682719607
ACH-000028,-0.3077664536718423
ACH-000030,-0.2554757839684195
ACH-000035,-0.2914641469757557
ACH-000036,-0.4799046700433505
ACH-000037,-0.4580161705830843
ACH-000039,-0.5487520523061475
ACH-000040,-0.4500870826750934
ACH-000041,-0.22168930205208934
ACH-000042,-0.394031616132752
ACH-000045,-0.372285089615058
ACH-000047,-0.584041391596917
ACH-000052,-0.4178344081155629
ACH-000053,-0.4098811513713005
ACH-000054,-0.3162346795181327
ACH-000055,-0.41908450115385537
ACH-000060,-0.43077233851530894
ACH-000067,-0.1399128300835186
ACH-000070,-0.2229336323812348
ACH-000075,-0.18977688994865788
ACH-000078,-0.15893474247663478
ACH-000082,-0.300728599866601
ACH-000085,-0.28999269132131805
ACH-000086,-0.29375483687793186
ACH-000087,-0.2825735735176245
ACH-000092,-0.46960863068033704
ACH-000095,-0.16411661917395862
ACH-000097,-0.35787206990526715
ACH-000098,-0.22005354034992405
ACH-000099,-0.3108752591944153
ACH-000108,-0.4997329099464056
ACH-000113,-0.3679720172972423
ACH-000116,-0.3205697197591526
ACH-000118,-0.4064948800321493
ACH-000120,-0.2803638511149127
ACH-000123,-0.3635572239403544
ACH-000127,-0.1925934320870233
ACH-000128,-0.3394734094153677
ACH-000132,-0.3519637433959094
ACH-000133,-0.37612810577049977
ACH-000137,-0.18498080243407589
ACH-000138,-0.2640406649900223
ACH-000142,-0.3039457878250508
ACH-000143,-0.5145373329818059
ACH-000146,-0.31797583103735066
ACH-000148,-0.3714812803565515
ACH-000150,-0.6594797501642286
ACH-000152,-0.4065553320762662
ACH-000153,-0.4755024591432226
ACH-000159,-0.182548908101998
ACH-000160,-0.2708934271398397
ACH-000163,-0.2804351100871941
ACH-000167,-0.6289955308929692
ACH-000168,-0.2221586968266961
ACH-000169,-0.3079675830439384
ACH-000178,-0.490300236247064
ACH-000183,-0.32568683728714
ACH-000188,-0.4009944382420379
ACH-000189,-0.7030554647575642
ACH-000190,-0.41371168550318943
ACH-000198,-0.2511426501581976
ACH-000203,-0.42351558567023984
ACH-000204,-0.44634066440852704
ACH-000206,-0.3779527237183657
ACH-000207,-0.4057028194592128
ACH-000208,-0.2488782516777221
ACH-000210,-0.15138444263408318
ACH-000211,-0.43998908962375294
ACH-000215,-0.29376095820957826
ACH-000221,-0.24570714072924996
ACH-000222,-0.5533980485748499
ACH-000223,-0.38804053535815997
ACH-000226,-0.303702975040258
ACH-000227,-0.11687317321475868
ACH-000228,-0.2611832351236622
ACH-000231,-0.35547518406086603
ACH-000232,-0.20751902742286696
ACH-000233,-0.3828118451700671
ACH-000234,-0.4212130724142251
ACH-000235,-0.4242367995795824
ACH-000237,-0.4050761624558212
ACH-000238,-0.5459382990641891
ACH-000242,-0.3037137861887237
ACH-000243,-0.2894270794598021
ACH-000244,-0.7091289697571492
ACH-000246,-0.39182494947500907
ACH-000248,-0.5293519898282152
ACH-000250,-0.39160248972239264
ACH-000251,-0.5030765710117662
ACH-000252,-0.3579161628120373
ACH-000253,-0.49348935196715504
ACH-000255,-0.19597578839190505
ACH-000256,-0.4140891690979832
ACH-000257,-0.3184914092344308
ACH-000258,-0.044038499560951135
ACH-000259,-0.34587657584929
ACH-000260,-0.35925811826326115
ACH-000261,-0.2668329698475876
ACH-000262,-0.5285621318386989
ACH-000263,-0.5750403298094272
ACH-000264,-0.3333736536950602
ACH-000265,-0.3035203686533252
ACH-000266,-0.37938044642467067
ACH-000272,-0.29749342072029605
