,BPIFA3 (128861)
ACH-000004,-0.3976823941426891
ACH-000005,-0.1765845265628112
ACH-000007,-0.1303941989806973
ACH-000009,-0.1681860641893696
ACH-000011,-0.22121046812972256
ACH-000012,0.0171710139711888
ACH-000013,-0.06837278524987188
ACH-000014,-0.13005123627724574
ACH-000015,-0.025036889031219537
ACH-000017,-0.019713128738733397
ACH-000018,0.02051102300248283
ACH-000019,-0.16244107106779354
ACH-000021,0.01331173112953859
ACH-000022,-0.06832235199912437
ACH-000025,-0.11907091066459816
ACH-000028,-0.1381626223063044
ACH-000030,-0.15639971913365214
ACH-000035,0.10766243693078924
ACH-000036,-0.1428242238499367
ACH-000037,0.04634348648486542
ACH-000039,-0.10713850508448897
ACH-000040,-0.08681816864198763
ACH-000041,-0.1312628654733957
ACH-000042,-0.07078715050029108
ACH-000045,-0.05368891613042385
ACH-000047,-0.12116150596470182
ACH-000052,-0.042095310339269436
ACH-000053,-0.08050804202605179
ACH-000054,-0.02906244371165517
ACH-000055,-0.3213950860931501
ACH-000060,0.006972970028458381
ACH-000067,-0.0696761800337717
ACH-000070,-0.13155801014082624
ACH-000075,-0.0587574644751553
ACH-000078,-0.1956848752408886
ACH-000082,-0.1143156350640244
ACH-000085,-0.1638740134475544
ACH-000086,-0.0906234847841546
ACH-000087,-0.1831408872280972
ACH-000092,-0.09870836281969712
ACH-000095,-0.07975712628655139
ACH-000097,-0.1042494897026138
ACH-000098,0.031457331838377484
ACH-000099,-0.21120218995986415
ACH-000108,-0.020538450884718003
ACH-000113,-0.138657272441138
ACH-000116,-0.15709176028805136
ACH-000118,-0.09298872656386699
ACH-000120,-0.10226560824257508
ACH-000123,-0.16143426080245885
ACH-000127,-0.037700630548151814
ACH-000128,-0.11626583341016508
ACH-000132,0.010270020974416472
ACH-000133,-0.11937493378679692
ACH-000137,0.056589349355453934
ACH-000138,-0.07044392425291704
ACH-000142,-0.018553830743422532
ACH-000143,-0.10906187673582153
ACH-000146,-0.059830053457233676
ACH-000148,-0.1932477794354668
ACH-000150,0.015219090380598937
ACH-000152,-0.0046017595058552435
ACH-000153,-0.2773976962936391
ACH-000159,-0.11873604577606342
ACH-000160,-0.08010103172966329
ACH-000163,-0.30285278508155816
ACH-000167,-0.0515996291879649
ACH-000168,-0.09757483007402708
ACH-000169,-0.18993681989684666
ACH-000178,-0.0783208227947316
ACH-000183,-0.03178862115570053
ACH-000188,-0.06603648780291284
ACH-000189,-0.08012573671141536
ACH-000190,-0.07002171366371687
ACH-000198,-0.03475787807963845
ACH-000203,-0.15620422093217345
ACH-000204,-0.062009065987401975
ACH-000206,-0.1237158171281879
ACH-000207,-0.07359536377455572
ACH-000208,-0.20661025339044595
ACH-000210,-0.11088637823009197
ACH-000211,-0.05819831326009822
ACH-000215,-0.04709245866863261
ACH-000221,-0.12388073326563832
ACH-000222,-0.0014927747234676919
ACH-000223,-0.03308635465733613
ACH-000226,-0.2048184345503002
ACH-000227,-0.28925765957332555
ACH-000228,-0.036957258975797935
ACH-000231,-0.1669253613082864
ACH-000232,-0.08865503806241948
ACH-000233,-0.027334891524127502
ACH-000234,-0.051423058206929606
ACH-000235,-0.0910831594996462
ACH-000237,-0.05846114964823376
ACH-000238,-0.08058059939160349
ACH-000242,-0.22537169114121225
ACH-000243,-0.07340179347781052
ACH-000244,-0.20245056429708472
ACH-000246,-0.1763303848766358
ACH-000248,0.08415588248399475
ACH-000250,-0.002197133503306209
ACH-000251,-0.06383723314415786
ACH-000252,-0.24276592955144266
ACH-000253,0.023809222166245026
ACH-000255,-0.37437030495115536
ACH-000256,-0.14264405576902234
ACH-000257,-0.024349923209033574
ACH-000258,-0.2280635340265479
ACH-000259,-0.07134431456971548
ACH-000260,-0.13681842182274487
ACH-000261,-0.12365169755952132
ACH-000262,-0.1379265790820835
ACH-000263,-0.14888417120963024
ACH-000264,-0.19279858721081086
ACH-000265,-0.019819613933815112
ACH-000266,0.034351358395095774
ACH-000272,-0.24724027216314926
ACH-000274,-0.13522000678073035
ACH-000277,-0.25746012643438304
ACH-000278,-0.1325989959770848
ACH-000279,0.030119099854020108
ACH-000280,-0.059999330401581626
ACH-000281,0.09607269509832292
ACH-000288,-0.0418203679143341
ACH-000291,-0.19860614212529126
ACH-000293,-0.08794524292635904
ACH-000294,-0.16476333796207832
ACH-000295,-0.07764252222731073
ACH-000296,-0.3651959999904308
ACH-000302,-0.03707207346772316
ACH-000304,-0.1618768569060792
ACH-000307,-0.009535069020426182
ACH-000308,-0.03431858225900936
ACH-000310,-0.18196320178793352
ACH-000311,-0.08728122839824268
ACH-000312,-0.06619966850416106
ACH-000315,-0.10393136800754484
ACH-000316,-0.07939418485475075
ACH-000317,-0.2616971269349916
ACH-000318,-0.06720039245438353
ACH-000319,-0.06560370990717873
ACH-000320,-0.010757786654360826
ACH-000322,-0.11913804742563908
ACH-000323,0.02708679220442736
ACH-000324,-0.04921396611685682
ACH-000329,-0.057005218996175035
ACH-000330,-0.045195084999043934
ACH-000331,-0.13482505936421554
ACH-000332,-0.13157647853365206
ACH-000334,-0.2754058870275024
ACH-000335,-0.07756101506618278
ACH-000336,-0.028022515300408068
ACH-000337,-0.0915899071385992
ACH-000338,0.2449580948927886
ACH-000339,0.06508925267798138
ACH-000341,-0.030596102353676567
ACH-000348,-0.1443950205162864
ACH-000350,-0.2495553923817773
ACH-000352,-0.12726495967612791
ACH-000356,0.03221839971521023
ACH-000361,0.022121287425154904
ACH-000362,-0.0709572081097222
ACH-000363,-0.13010719157061662
