,THOP1 (7064)
ACH-000004,-0.08113515706069957
ACH-000005,-0.3012301304151574
ACH-000007,-0.0789331340996729
ACH-000009,-0.07556418757211196
ACH-000011,-0.3231336979621181
ACH-000012,-0.04791946781053751
ACH-000013,-0.1980021386825596
ACH-000014,-0.10498218856466104
ACH-000015,-0.17125970575355495
ACH-000017,-0.30722437053207396
ACH-000018,-0.2649440005605955
ACH-000019,-0.10900446629586734
ACH-000021,-0.2042893907532673
ACH-000022,-0.15450377671377227
ACH-000025,-0.07287128642596089
ACH-000028,-0.06026780055863173
ACH-000030,-0.13508655082905885
ACH-000035,-0.23256185703208754
ACH-000036,-0.1614370141612552
ACH-000037,0.02686283298693487
ACH-000039,0.03290789171887451
ACH-000040,-0.10108472586231654
ACH-000041,-0.1957388044702124
ACH-000042,-0.17933421370706878
ACH-000045,-0.23182865664290198
ACH-000047,-0.1344277691802071
ACH-000052,-0.14863666156555996
ACH-000053,-0.12203721938769276
ACH-000054,-0.18043643135290188
ACH-000055,0.13542927348821046
ACH-000060,-0.2493790125579131
ACH-000067,-0.1919030310793402
ACH-000070,-0.21153952368129944
ACH-000075,-0.22489087110404646
ACH-000078,-0.1096877674000389
ACH-000082,-0.07053938293525053
ACH-000085,-0.1339586232599589
ACH-000086,-0.0961100937907166
ACH-000087,-0.21506882933034488
ACH-000092,-0.042704195070562265
ACH-000095,-0.18110984023494608
ACH-000097,-0.2415679307509705
ACH-000098,-0.2541959217549452
ACH-000099,-0.2059454589542607
ACH-000108,-0.1667195751694865
ACH-000113,-0.24864835659191856
ACH-000116,-0.06203381660114528
ACH-000118,-0.10490784757408507
ACH-000120,-0.15121661451620105
ACH-000123,-0.16189306571299214
ACH-000127,-0.2260119798560591
ACH-000128,-0.07529418295930775
ACH-000132,-0.16634223325163255
ACH-000133,-0.17526515317537522
ACH-000137,-0.34310331070143746
ACH-000138,-0.17735479477103452
ACH-000142,-0.1746325822106101
ACH-000143,-0.17915130367263826
ACH-000146,-0.12554642393286622
ACH-000148,-0.09512992405171172
ACH-000150,-0.161399828627134
ACH-000152,-0.0621243675056339
ACH-000153,-0.14240971033976446
ACH-000159,-0.14374840922999044
ACH-000160,-0.017484019525262292
ACH-000163,-0.08142895875654978
ACH-000167,-0.1288702482070204
ACH-000168,-0.4489771162338562
ACH-000169,-0.11991900105398873
ACH-000178,-0.04517049120259255
ACH-000183,-0.32560723163820354
ACH-000188,-0.2543862772865848
ACH-000189,-0.3791888582840021
ACH-000190,-0.063649836674769
ACH-000198,-0.20290065222193512
ACH-000203,0.37984523004201065
ACH-000204,-0.07248906381300659
ACH-000206,-0.1470241691005537
ACH-000207,-0.2005049161653696
ACH-000208,-0.39094785441574
ACH-000210,-0.06583281425045494
ACH-000211,-0.26044052928302625
ACH-000215,-0.15597307093949836
ACH-000221,-0.1129966194251146
ACH-000222,-0.14589906241056788
ACH-000223,-0.1086470753521888
ACH-000226,-0.1312499379233439
ACH-000227,0.07642156454024117
ACH-000228,-0.05453121217720161
ACH-000231,-0.14194674683247646
ACH-000232,-0.16307132122939047
ACH-000233,-0.112844215915422
ACH-000234,-0.21017069409902148
ACH-000235,-0.2021465555038426
ACH-000237,-0.2284990984444288
ACH-000238,-0.09905172153256167
ACH-000242,-0.28174611922538545
ACH-000243,-0.17893811583679795
ACH-000244,0.03416488974588995
ACH-000246,-0.12706573718029535
ACH-000248,0.02897686920861892
ACH-000250,-0.1619243114948708
ACH-000251,-0.12058751951088467
ACH-000252,-0.21271881912157944
ACH-000253,-0.09591758368005042
ACH-000255,-0.20534537974078804
ACH-000256,-0.16055771760330853
ACH-000257,-0.10258917535932513
ACH-000258,-0.13239357644874455
ACH-000259,-0.17476590231522052
ACH-000260,-0.15385125461522225
ACH-000261,-0.24258499355192464
ACH-000262,-0.13202199556176702
ACH-000263,-0.1586544031580472
ACH-000264,-0.01955690789674671
ACH-000265,-0.07733930117177702
