,PHF5A (84844)
ACH-000004,-1.456191722018556
ACH-000005,-1.7064070142890904
ACH-000007,-1.2836444977059749
ACH-000009,-1.5783208943537614
ACH-000011,-1.1823601019653736
ACH-000012,-1.501205600255304
ACH-000013,-1.4418060822003165
ACH-000014,-1.4334927810845848
ACH-000015,-1.5083966165621832
ACH-000017,-1.3391110238647426
ACH-000018,-1.3444230715459011
ACH-000019,-1.525837437451005
ACH-000021,-1.440702586277579
ACH-000022,-1.3813381865401981
ACH-000025,-1.3646077826051988
ACH-000028,-1.2970363462005559
ACH-000030,-1.34590024534873
ACH-000035,-1.2103334835845627
ACH-000036,-1.5368440102926937
ACH-000037,-1.4041482133499903
ACH-000039,-1.3533147714902891
ACH-000040,-1.2778205246829624
ACH-000041,-1.3117913927579044
ACH-000042,-1.5781301332043376
ACH-000045,-1.333267460868303
ACH-000047,-1.357704481004702
ACH-000052,-1.325695507430174
ACH-000053,-1.4290465323029042
ACH-000054,-1.1078175027525536
ACH-000055,-1.4199602278126715
ACH-000060,-1.5152514523495488
ACH-000067,-1.3053418391975948
ACH-000070,-1.4327460579542672
ACH-000075,-1.4595459290997663
ACH-000078,-1.4521097690331768
ACH-000082,-1.1938496529154117
ACH-000085,-1.6903067239980254
ACH-000086,-1.3856323185308064
ACH-000087,-1.4446428888785363
ACH-000092,-1.4085728474172936
ACH-000095,-1.576086340755885
ACH-000097,-1.5295043609904704
ACH-000098,-1.4075468281423094
ACH-000099,-1.5005553863107366
ACH-000108,-1.2655604436530832
ACH-000113,-1.248044581109895
ACH-000116,-1.2286280460033339
ACH-000118,-1.2681448937897533
ACH-000120,-1.2932768171127402
ACH-000123,-1.3883253760097798
ACH-000127,-1.4288029706918297
ACH-000128,-1.5097902923284852
ACH-000132,-1.4106818223661486
ACH-000133,-1.3006573186037502
ACH-000137,-1.261855026143396
ACH-000138,-1.3514222001338196
ACH-000142,-1.3383894326173107
ACH-000143,-1.5359208869237528
ACH-000146,-1.4341353803474517
ACH-000148,-1.414284178210741
ACH-000150,-1.3941678361910048
ACH-000152,-1.2258060805618824
ACH-000153,-1.4203753733887283
ACH-000159,-1.4376999890645674
ACH-000160,-1.2217577778662412
ACH-000163,-1.124415759984551
ACH-000167,-1.5040538602597628
ACH-000168,-1.4177851605045908
ACH-000169,-1.3367557339825014
ACH-000178,-1.344680203361029
ACH-000183,-1.4829387382461263
ACH-000188,-1.3815632252925103
ACH-000189,-1.243666037042787
ACH-000190,-0.6868115360294264
ACH-000198,-1.4802288565344326
ACH-000203,-1.4062838912252698
ACH-000204,-1.2652660995294804
ACH-000206,-1.616306806734356
ACH-000207,-1.252277999142695
ACH-000208,-1.3584472940634655
ACH-000210,-1.4970203340506285
ACH-000211,-1.2893170790212198
ACH-000215,-1.4317727386653556
ACH-000221,-1.6644851437099182
ACH-000222,-1.3292233559876012
ACH-000223,-1.5334158622323724
ACH-000226,-1.4197075938436152
ACH-000227,-1.2419973228700028
ACH-000228,-1.4034910404691825
ACH-000231,-1.4443385880203123
ACH-000232,-1.3824089428798407
ACH-000233,-1.4131979918370468
ACH-000234,-0.9720925890830452
ACH-000235,-1.30141390919463
ACH-000237,-1.23208062560837
ACH-000238,-1.3532630295098234
ACH-000242,-1.0922260065279836
ACH-000243,-1.3020621152572671
ACH-000244,-1.3690262645137734
ACH-000246,-1.245276792409436
ACH-000248,-1.3278415169256292
ACH-000250,-1.3042797257217036
ACH-000251,-1.3791932729454228
ACH-000252,-1.3196772879666558
ACH-000253,-1.2474198333165705
ACH-000255,-1.1736111842754642
ACH-000256,-1.6271805394754304
ACH-000257,-1.6332189820336656
ACH-000258,-1.2583450276674957
ACH-000259,-1.3322410325283245
ACH-000260,-1.4064560876298062
ACH-000261,-1.2467834265653401
ACH-000262,-1.1071646149563936
ACH-000263,-1.390406728309516
ACH-000264,-1.5729424054755168
ACH-000265,-1.3180255785773505
ACH-000266,-1.3104527685166956
ACH-000272,-1.3250713512975996
ACH-000274,-1.3966249044473835
ACH-000277,-1.4227159669024292
ACH-000278,-1.2736232976518689
ACH-000279,-1.5642297947349646
ACH-000280,-1.4975943479699487
ACH-000281,-1.3731291159410854
ACH-000288,-1.408424716081492
ACH-000291,-1.198107276228788
ACH-000293,-1.4518548111036995
ACH-000294,-1.4578707848967178
ACH-000295,-1.4840564865149153
ACH-000296,-1.417818941088966
ACH-000302,-1.366444059753131
ACH-000304,-1.3609602386944537
ACH-000307,-1.2200889449543937
ACH-000308,-1.5746428184135457
ACH-000310,-1.4713637756803706
ACH-000311,-1.3125567332691837
ACH-000312,-1.295994886307021
ACH-000315,-1.4850557952377978
ACH-000316,-1.4081838208566366
ACH-000317,-1.4421227067970923
ACH-000318,-1.0978032093712766
ACH-000319,-1.28899894506177
ACH-000320,-1.4541368259727705
ACH-000322,-1.1326676260951596
ACH-000323,-1.5361373069214206
ACH-000324,-1.313175744231866
ACH-000329,-1.4041486501242748
ACH-000330,-1.3748664996808428
ACH-000331,-1.269230809384121
ACH-000332,-1.1851847698605682
ACH-000334,-1.649867283533512
ACH-000335,-1.3671440313474277
ACH-000336,-1.3135917219067643
ACH-000337,-1.5224773018916344
ACH-000338,-1.394249018049917
ACH-000339,-1.3789810733099943
ACH-000341,-1.2377849308198012
ACH-000348,-1.3243609786742498
ACH-000350,-1.5379949386960607
ACH-000352,-1.612877573363422
ACH-000356,-1.4152348308765057
ACH-000361,-1.0873795013679943
ACH-000362,-1.428984123343541
ACH-000363,-1.2808774224030786
ACH-000364,-1.2994637202018362
ACH-000365,-1.4935583020012164
ACH-000366,-1.306555642674723
ACH-000368,-1.2966699426902928
ACH-000374,-1.4344664405167684
ACH-000375,-1.2446400309297596
ACH-000376,-1.2998099459899253
ACH-000381,-1.4762573903363938
ACH-000383,-1.4587851405249603
ACH-000387,-1.4583281447230645
ACH-000389,-1.3722807593924056
ACH-000390,-1.5753664215528822
ACH-000393,-1.5491907806238638
ACH-000395,-1.4256700481596605
ACH-000396,-1.8523300720622864
ACH-000397,-1.4814870742243944
ACH-000401,-1.4536990803585523
ACH-000402,-1.3251215526902986
ACH-000403,-1.6329829517494607
ACH-000404,-1.123612631376282
ACH-000406,-1.6075670952230772
ACH-000407,-1.3378234279790702
ACH-000408,-1.3290013590650978
ACH-000410,-1.2835452757350716
ACH-000411,-1.0537744623406813
ACH-000414,-1.2448116242910128
ACH-000415,-1.3615184158801334
ACH-000416,-1.257220894467408
ACH-000420,-1.3584666000473264
ACH-000421,-1.279650456016937
ACH-000424,-1.2829495321115745
ACH-000425,-1.2701547752563933
ACH-000426,-1.4583372304683198
ACH-000427,-1.2613140162929728
ACH-000433,-1.233116145018552
ACH-000435,-1.7814436275053172
ACH-000436,-1.2079986656870012
ACH-000444,-1.305404046356964
ACH-000445,-1.4805204265344871
ACH-000448,-1.4977794293483553
ACH-000450,-1.477467975399515
ACH-000452,-1.3921499749726103
ACH-000454,-1.2576280064749121
ACH-000458,-1.308717975123339
ACH-000459,-1.6671055111593995
ACH-000460,-1.4761503110925702
ACH-000461,-1.324233942609481
ACH-000463,-1.2446531033011332
ACH-000464,-1.0250271457747828
ACH-000466,-1.4384709371470836
