,SWSAP1 (126074)
ACH-000004,-0.1323042580567875
ACH-000005,0.03614480523386195
ACH-000007,-0.3344659681474618
ACH-000009,-0.06002528589760275
ACH-000011,-0.14473198919648952
ACH-000012,-0.13477535350663966
ACH-000013,-0.16257988499367793
ACH-000014,-0.11568697395459067
ACH-000015,-0.2176709261910454
ACH-000017,-0.04967402092993006
ACH-000018,-0.28929089125916485
ACH-000019,-0.394932772679229
ACH-000021,-0.26673309325360417
ACH-000022,-0.31913834262862456
ACH-000025,-0.0565379208870968
ACH-000028,-0.31352996093292257
ACH-000030,-0.2452059589126185
ACH-000035,-0.05076053998386607
ACH-000036,-0.17729378194743228
ACH-000037,-0.14123952683470625
ACH-000039,-0.286076118466237
ACH-000040,-0.07942312480650013
ACH-000041,-0.2689902126164202
ACH-000042,-0.1347988725728014
ACH-000045,-0.2456390044874572
ACH-000047,-0.15922533321332855
ACH-000052,-0.2617449226086281
ACH-000053,-0.07637439272306464
ACH-000054,-0.04418768741787865
ACH-000055,-0.40863586307407307
ACH-000060,-0.0931651100599122
ACH-000067,-0.20056409959927546
ACH-000070,-0.12214256784844932
ACH-000075,-0.05854139349282249
ACH-000078,-0.1112578487358878
ACH-000082,-0.15095942709720947
ACH-000085,-0.1917034954123611
ACH-000086,-0.17557999797167062
ACH-000087,-0.28695569450028224
ACH-000092,-0.10148320224607164
ACH-000095,-0.28292854895851005
ACH-000097,-0.19231346269585586
ACH-000098,-0.2518587715254882
ACH-000099,-0.21362628720016047
ACH-000108,-0.06994505334454633
ACH-000113,-0.2639986188998806
ACH-000116,-0.2970624217064185
ACH-000118,-0.1801173528148216
ACH-000120,-0.13641003445197594
ACH-000123,-0.2367038107729193
ACH-000127,-0.3600312677321145
ACH-000128,-0.1571484410763361
ACH-000132,-0.2481987843099733
ACH-000133,-0.06330500478364719
ACH-000137,-0.0896282003914146
ACH-000138,-0.11440614032053507
ACH-000142,-0.028956050416385475
ACH-000143,-0.2567892538048559
ACH-000146,-0.3371427686555337
ACH-000148,-0.12546749286091632
ACH-000150,-0.11293105610971055
ACH-000152,-0.23381649863878376
ACH-000153,0.04002947392703188
ACH-000159,-0.2265522535848838
ACH-000160,-0.06573792333442566
ACH-000163,-0.4383659017037067
ACH-000167,0.12471601756695612
ACH-000168,-0.23484736508922716
ACH-000169,-0.2703047440085926
ACH-000178,-0.1619731845415964
ACH-000183,-0.21084624611864874
ACH-000188,-0.41231632141766345
ACH-000189,-0.22247363818229507
ACH-000190,-0.18924094582890644
ACH-000198,-0.1947431374347376
ACH-000203,0.33703506076602896
ACH-000204,-0.257387527843937
ACH-000206,-0.2418431235018793
ACH-000207,-0.2782645285047711
ACH-000208,-0.3720070971776005
ACH-000210,0.19369618258691332
ACH-000211,-0.2996192069072203
ACH-000215,-0.16876008588659394
ACH-000221,-0.1880727213621776
ACH-000222,0.13225685475582755
ACH-000223,-0.16699326579147164
ACH-000226,0.02107914008732012
ACH-000227,-0.18734764292196115
ACH-000228,-0.3589745721828269
ACH-000231,-0.184196377730466
ACH-000232,-0.285484243313225
ACH-000233,-0.08735381463682414
ACH-000234,-0.2047339638528647
ACH-000235,-0.20098827148303014
ACH-000237,-0.2472448060172397
ACH-000238,0.02013409597807696
ACH-000242,0.03846540602016324
ACH-000243,-0.21519724132035845
ACH-000244,-0.2852832916866171
ACH-000246,-0.2366426300462073
ACH-000248,-0.1188820345859836
ACH-000250,-0.16844819196974053
ACH-000251,-0.3241807069593436
ACH-000252,-0.12651683586102513
ACH-000253,-0.011760443479304251
ACH-000255,-0.3527624613148258
ACH-000256,-0.234169361086824
ACH-000257,-0.062093472808804215
ACH-000258,-0.01622011925631038
ACH-000259,-0.18883490017928645
ACH-000260,-0.2188730803645826
ACH-000261,-0.1855709154340936
ACH-000262,-0.18978905166789986
ACH-000263,-0.3196822070327129
ACH-000264,-0.18842565083588714
ACH-000265,-0.2036705122377695
ACH-000266,-0.1230446723498691
ACH-000272,-0.23117952136722406
ACH-000274,-0.16186745919260415
ACH-000277,-0.032021131265568686
ACH-000278,-0.33662283964304107
ACH-000279,0.02441849982310053
ACH-000280,-0.0572302460189343
ACH-000281,-0.07809653340584448
ACH-000288,-0.0037652818199140244
ACH-000291,-0.1523281428726223
ACH-000293,-0.0866040447345606
ACH-000294,-0.21091420717640108
ACH-000295,-0.19476056784842016
ACH-000296,-0.3152714151448736
ACH-000302,-0.2938664765837841
ACH-000304,4.618605665348262e-05
ACH-000307,-0.20966970573827706
ACH-000308,-0.09389542107445333
ACH-000310,-0.14038210429911122
ACH-000311,-0.07001075116037478
ACH-000312,-0.13612276877089188
ACH-000315,-0.1776420287726644
