,TUB (7275)
ACH-000004,0.08548482735808663
ACH-000005,-0.5460485366560772
ACH-000007,-0.5104528807863759
ACH-000009,-0.24140307875061584
ACH-000011,-0.13166862918266292
ACH-000012,-0.1693170514750454
ACH-000013,-0.07171660013909874
ACH-000014,-0.4186845427895937
ACH-000015,-0.10195145702070643
ACH-000017,-0.3109309092998537
ACH-000018,-0.3015360139686271
ACH-000019,-0.2639637611814581
ACH-000021,-0.2372497675377929
ACH-000022,-0.2509271676085484
ACH-000025,-0.3515629850976715
ACH-000028,-0.2671596971189705
ACH-000030,-0.31620556474054223
ACH-000035,-0.07513006402566731
ACH-000036,-0.2435510479093473
ACH-000037,-0.10882230263153823
ACH-000039,-0.15904217547774058
ACH-000040,-0.21247865394731572
ACH-000041,-0.27154165177860856
ACH-000042,-0.2962845966286509
ACH-000045,-0.1840267696632826
ACH-000047,-0.42397669383940007
ACH-000052,-0.21837243260771266
ACH-000053,-0.1513325564507851
ACH-000054,-0.35390875543275124
ACH-000055,-0.3511747114020754
ACH-000060,-0.3115513984884925
ACH-000067,-0.3797195010989888
ACH-000070,-0.3381401734981112
ACH-000075,-0.3069737775430145
ACH-000078,-0.4768509635875791
ACH-000082,-0.2574542571799658
ACH-000085,-0.3645990433422878
ACH-000086,-0.15264257368845854
ACH-000087,-0.09977089888971047
ACH-000092,-0.026394929357696238
ACH-000095,-0.08788373416630843
ACH-000097,-0.3021195127665637
ACH-000098,-0.1802020498766192
ACH-000099,-0.2806805199894423
ACH-000108,-0.2666784501729665
ACH-000113,-0.030788730066284273
ACH-000116,-0.2725001590290075
ACH-000118,-0.24241294436322694
ACH-000120,-0.3267239208518191
ACH-000123,-0.11365998077452714
ACH-000127,-0.12756402035237654
ACH-000128,-0.1034459630602283
ACH-000132,-0.2162584899886721
ACH-000133,-0.3783325255863959
ACH-000137,-0.20494875112865754
ACH-000138,-0.19387120194788116
ACH-000142,-0.2677732464693395
ACH-000143,-0.16642731025657614
ACH-000146,-0.1917456592956449
ACH-000148,-0.2128047207738473
ACH-000150,0.032329205757498584
ACH-000152,-0.3462922066812569
ACH-000153,0.1122687519532911
ACH-000159,-0.1153002250689081
ACH-000160,-0.15124917877288435
ACH-000163,-0.09082265449084216
ACH-000167,-0.3424204817871701
ACH-000168,-0.20340632087646265
ACH-000169,-0.15848562916193415
