,ZC3HC1 (51530)
ACH-000004,-0.1877191727891576
ACH-000005,-0.11523947476581944
ACH-000007,-0.2551794215211668
ACH-000009,-0.3360460160128213
ACH-000011,-0.15628132017967394
ACH-000012,-0.4778585912224872
ACH-000013,-0.2554611502763509
ACH-000014,-0.4455651918826027
ACH-000015,-0.007151354320249095
ACH-000017,-0.5049798184028328
ACH-000018,-0.2933202000952784
ACH-000019,-0.18933664097238492
ACH-000021,-0.4248804878192448
ACH-000022,-0.2521013389284785
ACH-000025,-0.5540795903372383
ACH-000028,-0.4798054235940766
ACH-000030,-0.0962042824942745
ACH-000035,-0.3138823905348831
ACH-000036,-0.3251583266808675
ACH-000037,-0.02252486008311351
ACH-000039,-0.25028235144583105
ACH-000040,-0.19835486126266674
ACH-000041,-0.14655917454313455
ACH-000042,-0.3707162058752222
ACH-000045,0.01931055861764102
ACH-000047,-0.20663988701933955
ACH-000052,-0.4583053371358266
ACH-000053,-0.21748649178677526
ACH-000054,-0.3167712431400192
ACH-000055,-0.3270058116442425
ACH-000060,-0.4064410467786744
ACH-000067,-0.4355693428978241
ACH-000070,-0.21422263989821336
ACH-000075,-0.36207431274351
ACH-000078,-0.2086882199420503
ACH-000082,-0.05765164508477881
ACH-000085,-0.2873014142784575
ACH-000086,-0.07811462932936747
ACH-000087,-0.20209964226062785
ACH-000092,-0.2888045195587501
ACH-000095,-0.1830387851061508
ACH-000097,-0.1701170482501949
ACH-000098,-0.2658237054587428
ACH-000099,-0.2678468662662028
ACH-000108,-0.20012956208029697
ACH-000113,-0.11062855007822577
ACH-000116,-0.3989606783406588
ACH-000118,-0.3785245824556968
ACH-000120,-0.4904094860698906
ACH-000123,-0.14933215063903102
ACH-000127,-0.2274309490731241
ACH-000128,-0.1374727297602325
ACH-000132,-0.3229569496065334
ACH-000133,-0.2963514266088821
ACH-000137,-0.466886340822293
ACH-000138,-0.2596136033859988
ACH-000142,-0.4849431549963259
ACH-000143,0.11574833126753413
ACH-000146,-0.1829209595827496
ACH-000148,-0.3227396082248369
ACH-000150,-0.4419369269693513
ACH-000152,-0.2402276451288785
ACH-000153,-0.15659900202537208
ACH-000159,-0.3412479778927823
ACH-000160,-0.1188170411045058
ACH-000163,-0.17939056886359908
ACH-000167,-0.3920016078374127
ACH-000168,-0.5154452777444879
ACH-000169,-0.409078412854461
ACH-000178,-0.2490722810008963
ACH-000183,-0.12312837531946745
ACH-000188,-0.21294998464443796
ACH-000189,-0.3509231689109538
ACH-000190,-0.40750750127852703
ACH-000198,-0.19932371537987134
ACH-000203,-0.5076470126792896
ACH-000204,-0.15259911835589907
ACH-000206,-0.015967672382587457
ACH-000207,-0.1851365090220116
ACH-000208,-0.30115322852533233
ACH-000210,-0.14944314321478872
ACH-000211,-0.5127390428288989
ACH-000215,-0.21920137073770413
ACH-000221,-0.11338238578161873
ACH-000222,-0.11064573420420744
ACH-000223,-0.4017258242842643
ACH-000226,-0.5949943397220416
ACH-000227,-0.32194694497740284
ACH-000228,-0.22627311452547166
ACH-000231,-0.12869658031562267
ACH-000232,-0.26050327243946325
ACH-000233,-0.32846675280419746
ACH-000234,-0.27772469825446383
ACH-000235,-0.2426709728140009
ACH-000237,-0.1858547362873133
ACH-000238,-0.4085237424956628
ACH-000242,-0.2692536563583055
ACH-000243,-0.3592668481717157
ACH-000244,-0.3989861353533518
ACH-000246,-0.31101418083939786
ACH-000248,-0.3545341770065618
ACH-000250,-0.2561088472105293
ACH-000251,-0.4876339737552885
ACH-000252,-0.14612802817498607
ACH-000253,-0.28936266142540995
ACH-000255,-0.5255366348305398
ACH-000256,-0.5298730086453461
ACH-000257,-0.08126591594407498
ACH-000258,-0.3685902126229909
ACH-000259,-0.3127092181255688
ACH-000260,-0.3667837097323706
ACH-000261,-0.3360602047003985
ACH-000262,-0.056727551474864676
ACH-000263,-0.1629046752186707
ACH-000264,-0.4030686274405251
ACH-000265,-0.06029281159652197
ACH-000266,-0.3369186792693644
ACH-000272,-0.2440127872326879
ACH-000274,-0.20582034826361087
ACH-000277,-0.07189335659259907
ACH-000278,-0.3155880019190815
ACH-000279,-0.36748379936488734
ACH-000280,-0.4758444356432186
ACH-000281,-0.3598320096632885
ACH-000288,-0.3602362879146872
ACH-000291,-0.16484229018320493
ACH-000293,-0.2683354803403185
