,ACADVL (37)
ACH-000004,-0.008331800172981036
ACH-000005,-0.1884721351707964
ACH-000007,0.3273676751356817
ACH-000009,-0.1034857953684884
ACH-000011,-0.1542878257311398
ACH-000012,-0.030034412073922132
ACH-000013,-0.17912619433475446
ACH-000014,-0.0687764750996962
ACH-000015,-0.2234305839513207
ACH-000017,0.015025745464816003
ACH-000018,0.0014010729268247356
ACH-000019,-0.15697012889209305
ACH-000021,0.00748241533800795
ACH-000022,0.01933926233642614
ACH-000025,-0.2041711312765243
ACH-000028,-0.32070464134708004
ACH-000030,-0.017736059944121075
ACH-000035,0.051983605329581586
ACH-000036,-0.07519841962607901
ACH-000037,-0.04493939981851597
ACH-000039,-0.108682226113443
ACH-000040,0.04172989633442459
ACH-000041,-0.2311333292373957
ACH-000042,-0.058423340583341865
ACH-000045,-0.3214717370129501
ACH-000047,-0.053056417225195135
ACH-000052,0.1182097933824976
ACH-000053,-0.09364193964466204
ACH-000054,-0.14421691377569582
ACH-000055,0.16831700523946705
ACH-000060,-0.16569758129653556
ACH-000067,-0.3284042891894638
ACH-000070,-0.01816061912935342
ACH-000075,0.005198288164285348
ACH-000078,-0.05157106112850216
ACH-000082,-0.10485775200413154
ACH-000085,0.10492014330364294
ACH-000086,-0.0365990354429324
ACH-000087,-0.05288539358410678
ACH-000092,-0.0804897406943836
ACH-000095,-0.04425616599142456
ACH-000097,-0.16903927828218288
ACH-000098,-0.10522609301865203
ACH-000099,-0.11315389978031418
ACH-000108,-0.11067249497091697
ACH-000113,-0.028752262667152306
ACH-000116,-0.1945757939528408
ACH-000118,0.00716942061346272
ACH-000120,-0.037920362127705665
ACH-000123,-0.13622776490653568
ACH-000127,-0.09688449259591417
ACH-000128,-0.16389207364613406
ACH-000132,-0.17626362055616784
ACH-000133,-0.26433077526304016
ACH-000137,-0.11166350937950742
ACH-000138,-0.18846533618319186
ACH-000142,-0.09927588352833967
ACH-000143,-0.010791497095078656
ACH-000146,0.0330464722147794
ACH-000148,-0.08483398554993488
ACH-000150,-0.20998226249639354
ACH-000152,-0.07321486105754342
ACH-000153,-0.0980914594228208
ACH-000159,-0.06391757557178794
ACH-000160,-0.004872392048098611
ACH-000163,0.06933854499544591
ACH-000167,0.23240994823221664
ACH-000168,-0.1949749426501229
ACH-000169,-0.01108017636896895
ACH-000178,-0.057152098928802436
ACH-000183,-0.008414271757289917
ACH-000188,-0.14499025121399206
ACH-000189,-0.06866584150884954
ACH-000190,-0.4945674144019473
ACH-000198,-0.11827202494975204
ACH-000203,0.032762976444885496
ACH-000204,0.14386491358708367
ACH-000206,-0.004375477987056266
ACH-000207,0.027117563431252132
ACH-000208,0.08931367543726153
ACH-000210,-0.07362103639098179
ACH-000211,-0.17060146862181672
ACH-000215,-0.11431467496170357
ACH-000221,-0.010878023193083845
ACH-000222,-0.10205726480855752
ACH-000223,-0.07730843290623719
ACH-000226,-0.033290291418390745
ACH-000227,-0.1433630631012921
ACH-000228,-0.04307175501360523
ACH-000231,-0.2269515416473661
ACH-000232,-0.13541419367069493
ACH-000233,-0.05782002641502484
ACH-000234,-0.2576470182907774
ACH-000235,-0.09007311985840936
ACH-000237,-0.08464228375846157
ACH-000238,-0.33530356013062856
ACH-000242,0.0158759463047305
ACH-000243,-0.07968780165533304
ACH-000244,-0.3234052042204897
ACH-000246,-0.1761463009128406
ACH-000248,-0.03257291037960164
ACH-000250,-0.07623713441421877
ACH-000251,0.054122181138203176
ACH-000252,0.0489019489780387
ACH-000253,-0.17970148270547828
ACH-000255,-0.04027002397734926
ACH-000256,-0.2773963037073638
ACH-000257,0.07106718226115269
ACH-000258,-0.10830017815921006
ACH-000259,-0.12062711654494687
ACH-000260,0.02064889007979916
ACH-000261,-0.12655210368575076
ACH-000262,-0.0948271577392495
ACH-000263,-0.15962602029009101
ACH-000264,-0.1501549620958698
ACH-000265,0.07666246860131712
ACH-000266,-0.15834932934693685
ACH-000272,-0.24301189447431504
ACH-000274,0.015024767615786418
ACH-000277,-0.12081253806066306
ACH-000278,-0.1488709849972832
ACH-000279,-0.1048979551418896
ACH-000280,0.024832935368937475
ACH-000281,0.09612610498495198
ACH-000288,-0.34808107953026635
ACH-000291,-0.20561783865932032
ACH-000293,-0.11321117740267765
ACH-000294,0.04990868243118513
ACH-000295,-0.008606449231728581
ACH-000296,-0.2595593064154654
ACH-000302,-0.06413174296472215
ACH-000304,-0.2112617855625133
ACH-000307,0.048091567455476186
ACH-000308,-0.08929495730008978
ACH-000310,-0.15937624428934774
ACH-000311,-0.05103658339808174
ACH-000312,-0.1555229354217604
ACH-000315,0.07355593179956693
ACH-000316,-0.1638003875198561
ACH-000317,0.031187875121850218
ACH-000318,-0.04818068898971919
ACH-000319,-0.07598010401248137
ACH-000320,0.04468077038443191
ACH-000322,-0.21219268504841365
ACH-000323,-0.18451582288132468
ACH-000324,0.01216059717343982
ACH-000329,-0.13968261621306302
ACH-000330,0.09754655924556813
ACH-000331,-0.13384463404574476
ACH-000332,-0.03734025874338637
ACH-000334,-0.0566508398912789
ACH-000335,0.03600137283609082
ACH-000336,0.10867479301323596
ACH-000337,-0.07748847104834584
ACH-000338,-0.17521661696755156
ACH-000339,-0.10992448816828912
ACH-000341,-0.10595915737424008
ACH-000348,-0.06265231826824398
ACH-000350,-0.020488245271786526
ACH-000352,-0.010447349018317805
ACH-000356,-0.1894417417019597
ACH-000361,-0.3090516005500149
ACH-000362,0.03800668356595508
ACH-000363,-0.025641907727711227
ACH-000364,0.0692038913819956
ACH-000365,-0.09315083874417396
ACH-000366,-0.05990468223716131
ACH-000368,0.5610416753845219
ACH-000374,-0.08768558564805595
ACH-000375,-0.07096169084641311
ACH-000376,-0.07453386577792002
ACH-000381,-0.02117895204596486
ACH-000383,-0.1679318544788933
ACH-000387,-0.05387552414851074
ACH-000389,-0.0744129900858974
ACH-000390,0.08429784547181941
ACH-000393,-0.009522155574789764
ACH-000395,-0.11498119077135635
ACH-000396,-0.2928123813346488
ACH-000397,-0.09435243397288323
ACH-000401,-0.30271962628546256
ACH-000402,-0.4829300192472497
ACH-000403,-0.08592709111308533
ACH-000404,-0.3685507789960396
ACH-000406,-0.03531532309434453
ACH-000407,-0.29581827655735915
ACH-000408,-0.2021342944439516
ACH-000410,-0.11215481012125818
ACH-000411,-0.25887181606796245
ACH-000414,-0.05095399052331237
ACH-000415,-0.12010747701558105
ACH-000416,-0.08432369661370814
ACH-000420,-0.16276587326018968
ACH-000421,0.025804846467275402
ACH-000424,-0.1952529752468328
ACH-000425,-0.08262933237531413
ACH-000426,0.10776103853815584
ACH-000427,0.04395822805577647
ACH-000433,-0.08113127671592549
ACH-000435,0.269313977111335
ACH-000436,0.1756975603946021
ACH-000444,-0.1186102502223299
ACH-000445,-0.13550557493967924
ACH-000448,-0.046709650906351936
ACH-000450,-0.1121849853631142
ACH-000452,0.054500516790639095
ACH-000454,0.013925683356778412
ACH-000458,-0.03211622449278174
ACH-000459,0.04386011645452926
ACH-000460,0.06895470172504095
