,IQCF3 (401067)
ACH-000004,0.012707675193863129
ACH-000005,-0.012350329382780785
ACH-000007,0.12810721339171108
ACH-000009,-0.05349942598104364
ACH-000011,-0.04610372278829293
ACH-000012,-0.12705403848438934
ACH-000013,-0.029017406340323407
ACH-000014,-0.06812995762726293
ACH-000015,-0.0654242404832377
ACH-000017,-0.07968641994818396
ACH-000018,0.028886817335368874
ACH-000019,0.025706302551126343
ACH-000021,-0.06082672647449256
ACH-000022,0.02524951877215717
ACH-000025,-0.19177745840768973
ACH-000028,-0.03880934634145253
ACH-000030,-0.0657639648337153
ACH-000035,0.06714013720931494
ACH-000036,-0.15337083914830493
ACH-000037,-0.08236264392820099
ACH-000039,-0.01596235982801493
ACH-000040,-0.20730682563916294
ACH-000041,-0.04515182487638595
ACH-000042,-0.13524229197868526
ACH-000045,0.08610249024930024
ACH-000047,-0.17600949760856327
ACH-000052,-0.014591530579510122
ACH-000053,-0.011463394099399784
ACH-000054,-0.08936807494355374
ACH-000055,-0.12743679072460795
ACH-000060,-0.012817405260589542
ACH-000067,-0.2742543991965543
ACH-000070,-0.11904508380900375
ACH-000075,-0.1942657173587668
ACH-000078,-0.13219522016204702
ACH-000082,0.051369013879120434
ACH-000085,0.02859577412127112
ACH-000086,-0.0496176407576826
ACH-000087,-0.03567053275166434
ACH-000092,0.009945522494524442
ACH-000095,-0.03778930954547567
ACH-000097,-0.05457680245564982
ACH-000098,-0.10304044248268608
ACH-000099,-0.08587341243708976
ACH-000108,-0.03511651339635455
ACH-000113,-0.011626494344018905
ACH-000116,-0.062205379200536336
ACH-000118,-0.2372607978782685
ACH-000120,-0.060474905285758815
ACH-000123,-0.00028340461347777716
ACH-000127,-0.06885174434350869
ACH-000128,-0.19094132098653227
ACH-000132,-0.007972097182143641
ACH-000133,-0.18975962340491648
ACH-000137,-0.049896052697158105
ACH-000138,-0.05154600809261264
ACH-000142,-0.3026981827338912
ACH-000143,-0.05346946491839587
ACH-000146,-0.015203316397603504
ACH-000148,-0.01817951040997369
ACH-000150,-0.19636136017652706
ACH-000152,-0.019242865348361744
ACH-000153,-0.011296358773102123
ACH-000159,-0.15949485876645442
ACH-000160,0.0012165284636237608
ACH-000163,-0.13401673102967246
ACH-000167,0.1565557030339154
ACH-000168,-0.08500582470567143
ACH-000169,-0.18810601009405048
ACH-000178,-0.05404352650630153
ACH-000183,-0.1166121546531683
ACH-000188,-0.198217865390847
ACH-000189,0.03690679858959105
ACH-000190,0.0598031497010531
ACH-000198,0.007305384821843471
ACH-000203,0.02192517882142438
ACH-000204,-0.07641445041702492
ACH-000206,-0.15554840025634276
ACH-000207,-0.20206021823405312
ACH-000208,-0.060250370354648926
ACH-000210,-0.23058640182197784
ACH-000211,-0.04569216667453617
ACH-000215,-0.03830263806126594
ACH-000221,-0.21067953476144816
ACH-000222,-0.0593261718993094
ACH-000223,-0.013954320028357338
ACH-000226,0.11623571275155806
ACH-000227,-0.12359920666172593
ACH-000228,-0.06339643518255632
ACH-000231,-0.21271834067698564
ACH-000232,-0.021007825362361253
ACH-000233,0.013173704117864523
ACH-000234,-0.0793768827206378
ACH-000235,-0.02746778635556095
ACH-000237,-0.002930598829352167
ACH-000238,-0.21639198017425326
ACH-000242,0.043018793442483
ACH-000243,-0.07153357593456476
ACH-000244,-0.03605689550275242
ACH-000246,-0.11218955024143187
ACH-000248,0.10978307380727917
ACH-000250,-0.04898497482971026
ACH-000251,0.02130371723400408
ACH-000252,-0.14153366673215673
ACH-000253,-0.0478991344875931
ACH-000255,-0.16490578124002347
ACH-000256,-0.06413677838273182
ACH-000257,-0.03490695616450532
ACH-000258,-0.17479869868550535
ACH-000259,-0.19297939967428895
ACH-000260,-0.01735645110988344
ACH-000261,-0.0864887308368252
ACH-000262,-0.13807474295277833
ACH-000263,0.09797596241579498
ACH-000264,0.012892587606376744
ACH-000265,-0.09287197127154588
ACH-000266,-0.0942216614561114
ACH-000272,-0.1434423971051135
ACH-000274,-0.17150538573392307
ACH-000277,-0.2295769620994127
ACH-000278,-0.045308015130841005
ACH-000279,-0.0672307517186963
ACH-000280,-0.06510412226401892
ACH-000281,-0.10034723318435756
ACH-000288,0.026271457641433696
ACH-000291,-0.01782074971268079
ACH-000293,0.033934420663052516
ACH-000294,-0.1181461290086098
ACH-000295,-0.0036821394475547733
ACH-000296,0.003738558330177689
ACH-000302,0.0030711128597667448
ACH-000304,-0.15942845411773404
ACH-000307,-0.14631645578544306
ACH-000308,0.032040658172915
ACH-000310,-0.14499434841728345
ACH-000311,0.028369266352112288
ACH-000312,0.09588264645054813
ACH-000315,-0.01765283767569126
ACH-000316,-0.12094869895054923
ACH-000317,-0.04570749730547968
ACH-000318,0.0648180794754929
ACH-000319,0.015283207925301415
ACH-000320,-0.12561321178853002
ACH-000322,-0.07008165758731827
ACH-000323,0.006562483166723546
ACH-000324,0.025363090799437788
ACH-000329,-0.05398344556623227
ACH-000330,-0.15124443869423052
ACH-000331,0.03001791958714369
ACH-000332,-0.07828024996326981
ACH-000334,0.017984023981665976
ACH-000335,-0.1303133803296724
ACH-000336,0.4430190154795581
ACH-000337,-0.14584373181528673
ACH-000338,0.10383686273738453
ACH-000339,0.017872774993068573
ACH-000341,-0.16405500516329902
ACH-000348,-0.025145572439848884
ACH-000350,-0.0615000099107323
ACH-000352,-0.1941795058068227
ACH-000356,-0.04992627542595037
ACH-000361,-0.01190554544259635
ACH-000362,0.005534164997699606
ACH-000363,-0.03028558371544712
ACH-000364,-0.1388899679623665
ACH-000365,-0.056571553924538526
ACH-000366,-0.08877253713647353
ACH-000368,-0.03930130651312415
ACH-000374,-0.0662327232129127
ACH-000375,-0.17557727822134572
ACH-000376,-0.11834082045536128
ACH-000381,-0.24914195144208398
ACH-000383,-0.11741155291375115
ACH-000387,-0.09327926656249973
ACH-000389,-0.14395638575755715
ACH-000390,-0.04786840622347223
ACH-000393,-0.045811264282279225
ACH-000395,-0.06159458555042933
ACH-000396,0.16493074449806155
ACH-000397,-0.09675606529473436
ACH-000401,-0.11958382420242708
ACH-000402,-0.2235828433268224
ACH-000403,-0.03671820251200905
ACH-000404,-0.02805920753488355
ACH-000406,-0.06812141922147484
ACH-000407,0.0927966152020808
ACH-000408,-0.13632493656617967
