,OXA1L (5018)
ACH-000004,-0.1765180356153144
ACH-000005,-0.3006769894185177
ACH-000007,-0.30653696436074823
ACH-000009,-0.2466455814362096
ACH-000011,-0.33099577742045744
ACH-000012,-0.3526129285904088
ACH-000013,-0.5115299005324171
ACH-000014,-0.459688380087053
ACH-000015,-0.3139050573394456
ACH-000017,-0.528653090311464
ACH-000018,-0.38158367158522816
ACH-000019,-0.4178268387357924
ACH-000021,-0.20107100077330595
ACH-000022,-0.5903942588867308
ACH-000025,-0.3688207871081988
ACH-000028,-0.3691316771807806
ACH-000030,-0.4686517305552053
ACH-000035,-0.5250714961133126
ACH-000036,-0.13509708904231935
ACH-000037,-0.1703083332151311
ACH-000039,-0.21886759161125796
ACH-000040,-0.2376451904794567
ACH-000041,-0.3901618696490981
ACH-000042,-0.0357797271372717
ACH-000045,-0.4388206210620809
ACH-000047,-0.3765793680811633
ACH-000052,-0.40401282126710736
ACH-000053,-0.3340158137301896
ACH-000054,-0.3788801429880737
ACH-000055,-0.282423631720216
ACH-000060,-0.285361520840695
ACH-000067,-0.2574596509312251
ACH-000070,-0.3138016443823807
ACH-000075,-0.35817964016397125
ACH-000078,-0.2414962558231215
ACH-000082,-0.21427373642734115
ACH-000085,-0.3042151917502212
ACH-000086,-0.2902149731849592
ACH-000087,-0.4929333788554043
ACH-000092,-0.22188470458512816
ACH-000095,-0.2442307642607044
ACH-000097,-0.4251151790561424
ACH-000098,-0.3882792673515209
ACH-000099,-0.4179314287235343
ACH-000108,-0.28300678927856504
ACH-000113,-0.3090063545130587
ACH-000116,-0.40514149606166777
ACH-000118,-0.4520387692630397
ACH-000120,-0.3108992072787298
ACH-000123,-0.2541580073164617
ACH-000127,-0.384497188231071
ACH-000128,-0.20098054301555088
ACH-000132,-0.1683714861055339
ACH-000133,-0.3414932592238393
ACH-000137,-0.16757186340805136
ACH-000138,-0.30311918666645216
ACH-000142,-0.350271859751184
ACH-000143,-0.3700201357737923
ACH-000146,-0.23287767436839185
ACH-000148,-0.4308309247740362
ACH-000150,-0.15872115823808924
ACH-000152,-0.4685626919983478
ACH-000153,-0.3854023369938085
ACH-000159,-0.4876304027424929
ACH-000160,-0.5092909031591025
ACH-000163,-0.2577361785355644
ACH-000167,-0.4288388467889617
ACH-000168,-0.24506437414774285
ACH-000169,-0.5170511843042229
ACH-000178,-0.3067506608782935
ACH-000183,-0.2850068284739797
ACH-000188,-0.1731403510680552
ACH-000189,-0.5397282766641569
ACH-000190,-0.22983569855423036
ACH-000198,-0.2451994927836313
ACH-000203,-0.9129937241666591
ACH-000204,-0.2630649098719811
ACH-000206,-0.08613508874051266
ACH-000207,-0.3691746041467107
ACH-000208,-0.3746919197924209
ACH-000210,-0.2433002090498757
ACH-000211,-0.2917881281926504
ACH-000215,-0.3732137283393711
ACH-000221,-0.2127854176991225
ACH-000222,-0.2964134495700028
ACH-000223,-0.20311527433903606
ACH-000226,-0.13409418569375675
ACH-000227,-0.19911701005697505
ACH-000228,-0.3546365873228537
ACH-000231,-0.3544677245920773
ACH-000232,-0.3079196759279423
ACH-000233,-0.2644108411045564
ACH-000234,-0.11572224502132393
ACH-000235,-0.2948025109000165
ACH-000237,-0.019160744728171742
ACH-000238,-0.3230334127344978
ACH-000242,-0.3027666115512394
ACH-000243,-0.36102193993330345
ACH-000244,-0.3335485203585689
ACH-000246,-0.4438746286132363
ACH-000248,-0.5031286145928
ACH-000250,-0.2541676591674823
ACH-000251,-0.10374893798390784
ACH-000252,-0.3723445715323327
ACH-000253,-0.2322960306484937
ACH-000255,-0.19373353194337048
ACH-000256,0.013381318902255614
ACH-000257,-0.2940969975267124
ACH-000258,-0.2460793263515702
ACH-000259,-0.5599445123295442
ACH-000260,-0.4364172514854493
ACH-000261,-0.2678270134689155
ACH-000262,-0.4242293665291402
ACH-000263,-0.14451810675529306
ACH-000264,-0.4110165191184488
ACH-000265,-0.060914929917113586
ACH-000266,-0.1731443753551273
ACH-000272,-0.3809831762244544
ACH-000274,-0.2063388453539335
ACH-000277,-0.3686797758249856
ACH-000278,-0.14821935615214013
ACH-000279,-0.2334333261094405
ACH-000280,-0.2556693861438732
ACH-000281,-0.2950104931197857
ACH-000288,-0.2808015095413475
ACH-000291,-0.4194491361002227
ACH-000293,-0.3986015326850175
ACH-000294,-0.1656474517297888
ACH-000295,-0.3746439305999468
ACH-000296,-0.3679461347157985
ACH-000302,-0.5979316905022674
ACH-000304,-0.2191603397603884
ACH-000307,-0.407216776370829
ACH-000308,-0.3452209106422857
ACH-000310,-0.2350747112429621
ACH-000311,-0.2523323664734789
ACH-000312,-0.4033694964240092
ACH-000315,-0.5054968169170404
ACH-000316,-0.08411367794299081
ACH-000317,-0.698535535710104
ACH-000318,-0.38483988471262703
ACH-000319,-0.3611282073972242
ACH-000320,-0.5232790481224746
ACH-000322,-0.22670370982879345
ACH-000323,-0.3218856661683538
ACH-000324,-0.3564576722407603
ACH-000329,-0.4362356854990238
ACH-000330,-0.39571123825506815
ACH-000331,-0.3700472850615687
ACH-000332,-0.28786792851219045
ACH-000334,-0.1532617730202107
ACH-000335,-0.5883419940378138
ACH-000336,-0.3370976126284188
ACH-000337,-0.29298589963246097
ACH-000338,0.11614353506953864
ACH-000339,-0.321581237554497
ACH-000341,-0.3552010109549157
ACH-000348,-0.4590925594522938
ACH-000350,-0.2813469997776075
ACH-000352,-0.5547022928952146
ACH-000356,-0.4161933615288932
ACH-000361,-0.579696989556069
ACH-000362,-0.2615822600825366
ACH-000363,-0.2864049168455595
ACH-000364,-0.4215734218338917
ACH-000365,-0.30051726572616383
ACH-000366,-0.2940454463678058
ACH-000368,-0.4399963279576025
ACH-000374,-0.1859699092765489
ACH-000375,-0.228017353175902
ACH-000376,-0.6197734367115442
ACH-000381,-0.19388713550623335
ACH-000383,-0.3425072593457297
ACH-000387,-0.2804619397001614
ACH-000389,-0.2123181810392621
ACH-000390,-0.3037669790318117
ACH-000393,-0.15143685754570965
ACH-000395,-0.17872531133783587
