,PTS (5805)
ACH-000004,0.10379672211366454
ACH-000005,-0.22415052690440115
ACH-000007,0.2863355468217085
ACH-000009,0.10615000820449468
ACH-000011,0.13850938506016314
ACH-000012,0.1663173836688457
ACH-000013,0.1778698279537532
ACH-000014,0.20207158650905427
ACH-000015,0.2207393585234085
ACH-000017,0.05602491054575815
ACH-000018,0.2389855477189169
ACH-000019,0.2888160014904143
ACH-000021,0.23456002255239045
ACH-000022,0.24922405673135106
ACH-000025,0.193260652035701
ACH-000028,0.06577469995410147
ACH-000030,0.18824929093649026
ACH-000035,0.1674303143088328
ACH-000036,0.18618582047224588
ACH-000037,0.2865677691213525
ACH-000039,0.10229298602476168
ACH-000040,0.23810505736658685
ACH-000041,0.0693355711487165
ACH-000042,0.2658233864632323
ACH-000045,0.1350605442590082
ACH-000047,0.06681154754870418
ACH-000052,0.13474594060578898
ACH-000053,0.1923327720642312
ACH-000054,0.14357372049257008
ACH-000055,0.17543291333792607
ACH-000060,0.12325203385049928
ACH-000067,0.14334306268566654
ACH-000070,0.2565061123729367
ACH-000075,0.09996987597357633
ACH-000078,0.18634081987212453
ACH-000082,0.17015037792144375
ACH-000085,0.2344601075966048
ACH-000086,0.16491689494171088
ACH-000087,0.3385076192625205
ACH-000092,0.19356443033692156
ACH-000095,0.0926299207186922
ACH-000097,0.18809613941078315
ACH-000098,0.2838740691074996
ACH-000099,0.232778309256363
ACH-000108,0.19090752976349729
ACH-000113,0.22309228443849755
ACH-000116,0.16476101512519772
ACH-000118,0.190153173882268
ACH-000120,0.11025155552563272
ACH-000123,0.1749169659059828
ACH-000127,0.2322739223190901
ACH-000128,0.3442738878416597
ACH-000132,0.19244275951460268
ACH-000133,0.21152653172085364
ACH-000137,0.1032539511323483
ACH-000138,0.15960585952641246
ACH-000142,0.14325750536343296
ACH-000143,0.2255823840482243
ACH-000146,0.2580309280037925
ACH-000148,0.22597159066924324
ACH-000150,0.13691761114144538
ACH-000152,0.2483271412020352
ACH-000153,0.0052145105454035005
ACH-000159,0.17762521885167673
ACH-000160,0.2018922901230092
ACH-000163,0.3444262584508294
ACH-000167,0.2134930719624526
ACH-000168,0.11076266324019997
ACH-000169,0.1174382123889206
ACH-000178,0.3561085855648792
ACH-000183,0.2186397392033232
ACH-000188,0.06928484836768901
ACH-000189,0.1670387833631443
ACH-000190,0.16252568274936666
ACH-000198,0.2344079087141471
ACH-000203,-0.14471363247108945
ACH-000204,0.33393722748845
ACH-000206,0.3430745584729317
ACH-000207,0.20582402298645036
ACH-000208,0.5797844993026234
ACH-000210,0.5011036685280406
ACH-000211,0.2970603295432662
ACH-000215,0.17432630974452473
ACH-000221,0.3608340310122296
ACH-000222,0.19965964587825166
ACH-000223,0.17993736558865428
ACH-000226,0.2433745251988204
ACH-000227,0.19470523673267634
ACH-000228,0.2230634688541173
ACH-000231,0.17890039728496876
ACH-000232,0.17623513544903327
ACH-000233,0.241711157825939
ACH-000234,0.23801201980479786
ACH-000235,0.17537000672543385
ACH-000237,0.15149950945635673
ACH-000238,0.21296715004155256
ACH-000242,0.22407612357191076
ACH-000243,0.24237570411438106
ACH-000244,0.2699427368388541
ACH-000246,0.2298430710473436
ACH-000248,0.37608128868938
