,RHEB (6009)
ACH-000004,-0.2114324813737303
ACH-000005,-0.010255779423108036
ACH-000007,-0.2489647822627345
ACH-000009,-0.3071096935555053
ACH-000011,-0.39682927822965103
ACH-000012,-0.3290813314534139
ACH-000013,-0.4625545381219473
ACH-000014,-0.3624510825903918
ACH-000015,-0.33852694791829097
ACH-000017,-0.3939018832051983
ACH-000018,-0.4204839206232729
ACH-000019,-0.2649159587640195
ACH-000021,-0.5583777899844836
ACH-000022,-0.18162265354548285
ACH-000025,-0.4412419538644243
ACH-000028,-0.23640855972565264
ACH-000030,-0.4908361281131302
ACH-000035,-0.4908032762575773
ACH-000036,-0.4000936426306335
ACH-000037,-0.363461445754442
ACH-000039,-0.2718553441272938
ACH-000040,-0.7681378479100599
ACH-000041,-0.4825164902621897
ACH-000042,-0.2010810442524548
ACH-000045,-0.5157757827171922
ACH-000047,-0.3995341917527291
ACH-000052,-0.36417895153068536
ACH-000053,-0.10209564699574117
ACH-000054,-0.2870406253512653
ACH-000055,-0.2612048236882161
ACH-000060,-0.8061851470447043
ACH-000067,-0.4734501849100648
ACH-000070,-0.318076245930114
ACH-000075,-0.3658350746494729
ACH-000078,-0.1604035282643169
ACH-000082,-0.6557310816890625
ACH-000085,-0.3692442281320457
ACH-000086,-0.663664149975537
ACH-000087,-0.4766686043196591
ACH-000092,-0.4811835694357723
ACH-000095,-0.2914458396999516
ACH-000097,-0.6141332303353451
ACH-000098,-0.6940358040348261
ACH-000099,-0.3360180079332582
ACH-000108,-0.4345681324656205
ACH-000113,-0.30596713765633343
ACH-000116,-0.3602897352731855
ACH-000118,-0.21511659216929555
ACH-000120,-0.16534638812837513
ACH-000123,-0.4781014396728661
ACH-000127,-0.19369445500755372
ACH-000128,-0.1822988745319685
ACH-000132,-0.5680936395138269
ACH-000133,-0.2778942471288457
ACH-000137,-0.2613747372270482
ACH-000138,-0.3771607446383544
ACH-000142,-0.4506926356662258
ACH-000143,-0.507754638526176
ACH-000146,-0.31164279055084304
ACH-000148,-0.4037471268775795
ACH-000150,-0.4255562375687677
ACH-000152,-0.28246871330381607
ACH-000153,-0.4142725154617954
ACH-000159,-0.3996619009581167
ACH-000160,-0.3128785018612855
ACH-000163,-0.38733016822125776
ACH-000167,-0.42857699985864056
ACH-000168,-0.4648080275581539
ACH-000169,-0.2864179605977465
ACH-000178,-0.4488712347012395
ACH-000183,-0.2189654760202437
ACH-000188,-0.2357710952830889
ACH-000189,-0.7015790402242282
ACH-000190,-0.4686132656131568
ACH-000198,-0.4315848705370758
ACH-000203,-0.34379896875521226
ACH-000204,-0.3750871198446221
ACH-000206,-0.26695536343985354
ACH-000207,-0.425222822931126
ACH-000208,-0.1723738364162388
ACH-000210,-0.3655172408224599
ACH-000211,-0.2547933565879659
ACH-000215,-0.5045042926211691
ACH-000221,-0.481282577423895
ACH-000222,-0.23000571681868875
ACH-000223,-0.3048959062592605
ACH-000226,-0.06261205984623497
ACH-000227,-0.3042102732050997
ACH-000228,-0.6058426674548877
ACH-000231,-0.6428354157466388
ACH-000232,-0.5750346923247183
ACH-000233,0.12515029452748802
ACH-000234,-0.2782802607275862
ACH-000235,-0.5007241369273441
ACH-000237,-0.3439661395983584
ACH-000238,-0.4297214629046449
ACH-000242,-0.943042607046474
ACH-000243,-0.37989285013055707
ACH-000244,-0.7029353126832901
ACH-000246,-0.34247725876905244
ACH-000248,-0.4306167391213299
ACH-000250,-0.4026949550578422
ACH-000251,-0.424695776387504
ACH-000252,-0.6164603821857622
ACH-000253,-0.35393823400846897
ACH-000255,-0.5654197117401861
ACH-000256,-0.23182301840456265
ACH-000257,-0.1078978620100993
ACH-000258,-0.3743511888819869
ACH-000259,-0.3447069981059389
ACH-000260,-0.4145546649953382
ACH-000261,-0.5067317604381938
ACH-000262,-0.2714303859936889
ACH-000263,-0.4348074502493775
ACH-000264,-0.3620187574414064
ACH-000265,-0.2765750567593682
ACH-000266,-0.4903370826940449
ACH-000272,-0.6540966471282296
ACH-000274,-0.2593162009550659
ACH-000277,-0.3762108611851231
ACH-000278,-0.2882315593649017
ACH-000279,-0.4986052698526931
ACH-000280,-0.5144632622110846
ACH-000281,-0.4612616057657643
ACH-000288,-0.4330801451370127
ACH-000291,-0.3900711305992561
ACH-000293,-0.2507407656766695
ACH-000294,0.0189222715418068
ACH-000295,-0.3477725719217568
ACH-000296,-0.21399179479282626
ACH-000302,-0.4255507064561209
ACH-000304,-0.2979712765952928
ACH-000307,-0.3477912824342609
ACH-000308,-0.35815099333038924
ACH-000310,-0.4529872002815887
ACH-000311,-0.4350242506981175
ACH-000312,-0.26928849593509435
ACH-000315,-0.21597873293171696
ACH-000316,-0.5846040007381196
ACH-000317,-0.37415583801030056
ACH-000318,-0.28310704439300505
ACH-000319,-0.3068285821555981
