,BORA (79866)
ACH-000004,-1.0280305769018074
ACH-000005,-1.300987973535791
ACH-000007,-0.7505085514586595
ACH-000009,-0.6906684319557672
ACH-000011,-0.6978149212334681
ACH-000012,-0.6249585902723569
ACH-000013,-0.7762929251997746
ACH-000014,-0.5092333890494861
ACH-000015,-1.0235572778841098
ACH-000017,-0.6564043398244291
ACH-000018,-0.9889420329448874
ACH-000019,-0.7239181012316526
ACH-000021,-0.9669405425638364
ACH-000022,-0.7819272935115681
ACH-000025,-0.7475192686165649
ACH-000028,-0.9106502676665972
ACH-000030,-0.8753286494954065
ACH-000035,-0.8322466289928755
ACH-000036,-0.6762137951799656
ACH-000037,-0.8005221311162909
ACH-000039,-0.6907692610989477
ACH-000040,-0.8059876500159633
ACH-000041,-0.6975348224964855
ACH-000042,-0.9314955980695846
ACH-000045,-0.5684171082709666
ACH-000047,-0.8936370012895012
ACH-000052,-0.8758642526989252
ACH-000053,-0.8248973523884001
ACH-000054,-0.8854579800550751
ACH-000055,-0.6607969378530901
ACH-000060,-0.9056091498471276
ACH-000067,-1.0533972739132178
ACH-000070,-0.7998171652811076
ACH-000075,-0.7634534952726809
ACH-000078,-0.8732973371434133
ACH-000082,-1.094305696913335
ACH-000085,-0.8420779086257192
ACH-000086,-0.8289852010943604
ACH-000087,-0.866218349003752
ACH-000092,-0.826298495216855
ACH-000095,-1.0137521597406136
ACH-000097,-0.7168906466181256
ACH-000098,-0.9602624301915492
ACH-000099,-0.9279349182003503
ACH-000108,-0.6811431451796511
ACH-000113,-0.7634896085455429
ACH-000116,-0.9171727412696168
ACH-000118,-0.6367306811399985
ACH-000120,-0.9191435948509727
ACH-000123,-0.8042766420180285
ACH-000127,-0.9587152829129548
ACH-000128,-0.8054394687128356
ACH-000132,-0.6586920390230669
ACH-000133,-0.8624383245407705
ACH-000137,-0.8896455064762111
ACH-000138,-0.7379226963201424
ACH-000142,-0.7810147288362603
ACH-000143,-0.9109120662403912
ACH-000146,-1.0657323436774455
ACH-000148,-0.97214448755093
ACH-000150,-1.169482651750844
ACH-000152,-0.7595944379031154
ACH-000153,-0.6449943477850972
ACH-000159,-0.5720429757699065
ACH-000160,-0.96457888767178
ACH-000163,-0.9662558903482192
ACH-000167,-1.1549883237993384
ACH-000168,-0.8245734436616017
ACH-000169,-1.1122312821086149
ACH-000178,-0.6921661449091011
ACH-000183,-0.6803356242279943
ACH-000188,-0.77710870031679
ACH-000189,-0.6534216414782786
ACH-000190,-0.9072240161552044
ACH-000198,-0.7211915223134713
ACH-000203,-1.3542789282581948
ACH-000204,-0.7994544255215535
ACH-000206,-0.5874256931090373
ACH-000207,-1.0022857538545071
ACH-000208,-0.8558808927831417
ACH-000210,-0.8090006276127891
ACH-000211,-0.9127821183971516
ACH-000215,-0.6806103864939479
ACH-000221,-0.9518575965202686
ACH-000222,-0.8017268815278377
ACH-000223,-0.7028122470121128
ACH-000226,-0.7190559638870374
ACH-000227,-1.2394550327684788
ACH-000228,-0.8139369874716531
ACH-000231,-0.7744422452217665
ACH-000232,-0.8984307954207992
ACH-000233,-0.8467294657732561
ACH-000234,-0.9237337834881179
ACH-000235,-0.8770516058146992
ACH-000237,-0.8111284519358714
ACH-000238,-1.0563669394456745
ACH-000242,-0.7526219297454476
ACH-000243,-0.5686353018349644
ACH-000244,-0.8965051072672765
ACH-000246,-0.4772020602872545
ACH-000248,-0.7756972736574933
ACH-000250,-0.802426121877646
ACH-000251,-0.7955996562627392
ACH-000252,-0.8923933353002459
ACH-000253,-0.6603065236239091
ACH-000255,-0.7668546871726822
ACH-000256,-0.7592344560638734
ACH-000257,-1.0802529766590685
ACH-000258,-0.6459303961327282
ACH-000259,-0.6901493813685761
ACH-000260,-0.8488074946140848
ACH-000261,-0.9141798959806255
ACH-000262,-0.8904841689516405
ACH-000263,-1.1915738627595065
ACH-000264,-1.0188285344249843
ACH-000265,-0.7885504728843425
ACH-000266,-0.8905762293548334
ACH-000272,-0.5579932076973595
ACH-000274,-0.7166278380045629
ACH-000277,-0.8347121889896505
ACH-000278,-0.7161782071831047
ACH-000279,-0.8223840789145254
ACH-000280,-0.7937228467619909
ACH-000281,-0.7850838318468303
ACH-000288,-0.995459858759944
ACH-000291,-0.5384123513742509
ACH-000293,-0.9086677595539072
ACH-000294,-0.8558592030317445
ACH-000295,-0.7626174953782875
ACH-000296,-0.4601515460444817
ACH-000302,-0.9095550788707951
ACH-000304,-0.6097549191119518
ACH-000307,-0.9504862839956318
ACH-000308,-0.6513769601899679
ACH-000310,-0.9399075567500934
ACH-000311,-0.7719477425102972
ACH-000312,-1.00642471945801
ACH-000315,-0.728024339862923
ACH-000316,-0.8336858621854174
ACH-000317,-0.9254507953045664
ACH-000318,-0.7839928231784637
ACH-000319,-0.7076661143425507
ACH-000320,-0.9384258384350288
ACH-000322,-1.1181861212356905
ACH-000323,-0.8263260842623371
ACH-000324,-0.8972549031590158
ACH-000329,-0.8384679797368838
ACH-000330,-0.8074111975684276
ACH-000331,-0.750333375915318
ACH-000332,-0.6956132775897671
ACH-000334,-0.7574625567754708
ACH-000335,-0.6766799099234991
ACH-000336,-0.6819763376702765
ACH-000337,-0.782464602998168
ACH-000338,-0.14884053446785064
ACH-000339,-0.7207475269126705
ACH-000341,-0.7145210252578094
ACH-000348,-0.8918194862469273
ACH-000350,-0.6277045325751897
ACH-000352,-0.7097059074635124
ACH-000356,-0.4523069761269689
ACH-000361,-0.8843967957782841
ACH-000362,-0.6760571519190104
ACH-000363,-0.616564743366455
ACH-000364,-0.6451391119092965
ACH-000365,-0.5457167447028347
ACH-000366,-0.8058662673367523
ACH-000368,-0.8854884156230151
ACH-000374,-1.1410161662203533
ACH-000375,-0.6406761938899725
ACH-000376,-0.7151391046191711
ACH-000381,-0.8722497546635789
ACH-000383,-0.9289416511401184
ACH-000387,-0.9697910940133428
ACH-000389,-0.675309920835599
ACH-000390,-0.6565097210260925
ACH-000393,-1.0915463507467045
ACH-000395,-0.8783360208251202
ACH-000396,-0.6142003153476908
ACH-000397,-0.8530126554362222
ACH-000401,-0.7199817669660169
ACH-000402,-0.8061128500296232
ACH-000403,-0.8738122092773181
ACH-000404,-0.7716386207242911
ACH-000406,-0.7675522336628421
ACH-000407,-0.879142005612412
ACH-000408,-0.6461164896097182
ACH-000410,-0.8207532943793934
ACH-000411,-0.6113289604611792
ACH-000414,-0.946526166361234
ACH-000415,-1.0292112255309027
ACH-000416,-0.8807440027640571
ACH-000420,-0.9717151250743165
ACH-000421,-0.9128303157278016
ACH-000424,-0.6608442610367017
ACH-000425,-0.8968060665942226
ACH-000426,-0.771164972943422
ACH-000427,-0.8155791229327237
ACH-000433,-0.8384066689978443
ACH-000435,-0.7502023584147429
ACH-000436,-0.7622615454684397
ACH-000444,-0.7947061188700784
ACH-000445,-0.8425776726460228
ACH-000448,-1.1320778836725247
ACH-000450,-0.7875491341851844
ACH-000452,-0.7888873225535866
ACH-000454,-0.6005724004005764
ACH-000458,-0.8338765597976139
ACH-000459,-0.3686671232397665
ACH-000460,-0.7917502428709927
ACH-000461,-0.918769679266752
ACH-000463,-0.8737685228010512
ACH-000464,-0.746559017440795
ACH-000466,-0.8800169381814985
ACH-000467,-0.6917334000832672
ACH-000468,-0.811750259413178
ACH-000469,-0.9511018313343984
ACH-000470,-0.9711910909015024
ACH-000471,-0.994297752997467
ACH-000472,-0.7013864626056039
ACH-000473,-0.9100518920011884
ACH-000475,-0.8032452158085417
ACH-000476,-1.0253157324173274
ACH-000477,-0.7698828974232828
ACH-000479,-1.0481746217317125
ACH-000480,-0.61403943214127
ACH-000481,-0.8306480960489465
ACH-000483,-0.6932231285430371
ACH-000484,-0.7921504851123687
ACH-000485,-0.8329460672798991
ACH-000486,-0.7584328831828557
ACH-000487,-0.6752290484067957
ACH-000488,-0.8549764876762014
ACH-000490,-0.830762743037478
ACH-000491,-0.9455994011162062
ACH-000495,-0.6097012470519464
ACH-000496,-0.977692605038878
ACH-000499,-0.5179499916018491
ACH-000500,-1.1589782210143869
ACH-000502,-0.7602388421948119
ACH-000503,-0.696362407215236
ACH-000505,-0.7075693631152505
ACH-000507,-0.8027107883255241
ACH-000510,-0.9048298171790756
ACH-000511,-0.7461438592117293
ACH-000512,-0.7581036025227041
ACH-000516,-0.8181506211526443
ACH-000517,-1.205274859138718
ACH-000518,-0.8787265976607586
ACH-000520,-0.7037278787483651
ACH-000521,-0.9724596671510152
ACH-000522,-0.8952577442009204
ACH-000524,-0.9695701421924774
ACH-000527,-0.6858991046211907
ACH-000528,-0.8578876690940611
ACH-000537,-1.019532121478253
