,AATK (9625)
ACH-000004,-0.010667439035002686
ACH-000005,-0.05963365567566591
ACH-000007,-0.052829500003853086
ACH-000009,-0.18459107194920968
ACH-000011,-0.2870890445169267
ACH-000012,-0.17220457817932494
ACH-000013,-0.1224350495586196
ACH-000014,0.05310112140134207
ACH-000015,-0.11693322899188667
ACH-000017,-0.3261841993620519
ACH-000018,-0.19132514847401524
ACH-000019,-0.10726440182087263
ACH-000021,-0.15622119418246996
ACH-000022,-0.11828750392498814
ACH-000025,-0.11955054684248978
ACH-000028,-0.16286735190773255
ACH-000030,-0.16748044855948346
ACH-000035,-0.11870712451724183
ACH-000036,-0.30366851703417064
ACH-000037,-0.2080288348826399
ACH-000039,-0.241061165670022
ACH-000040,-0.16071245604629888
ACH-000041,-0.14090944043110573
ACH-000042,-0.3376790869463337
ACH-000045,-0.1975155092428191
ACH-000047,-0.20513561783584905
ACH-000052,-0.107299235418988
ACH-000053,-0.13842153654616104
ACH-000054,-0.04547624422468617
ACH-000055,-0.14439166364089953
ACH-000060,-0.07717817717636298
ACH-000067,-0.16721037868869806
ACH-000070,-0.11209404746224524
ACH-000075,-0.3490376321487807
ACH-000078,-0.3790497483255352
ACH-000082,-0.03632639750600872
ACH-000085,-0.16308064215167348
ACH-000086,-0.09678451621673012
ACH-000087,-0.16309620490093815
ACH-000092,-0.11205084284096374
ACH-000095,-0.15883139647396954
ACH-000097,-0.0968563918037582
ACH-000098,-0.1467822421050456
ACH-000099,-0.3541238402113605
ACH-000108,-0.2392704783707138
ACH-000113,-0.09548459280101763
ACH-000116,-0.18920004043418254
ACH-000118,-0.2490060604524281
ACH-000120,-0.3085016729589186
ACH-000123,-0.10290425739576267
ACH-000127,-0.12720170694463184
ACH-000128,-0.14327579456566092
ACH-000132,-0.1165369790612908
ACH-000133,-0.09422621675166633
ACH-000137,-0.1131086422753083
ACH-000138,-0.1324206857431783
ACH-000142,-0.3564611545706765
ACH-000143,-0.06771957247562327
ACH-000146,-0.03645166205685426
ACH-000148,-0.17857352672659615
ACH-000150,-0.18449909917706814
ACH-000152,-0.17703007542937182
ACH-000153,0.08239818283074085
ACH-000159,-0.203252204199332
ACH-000160,-0.14307317126121666
ACH-000163,-0.13005797692611154
ACH-000167,-0.05560306354657711
ACH-000168,0.007204349899013239
ACH-000169,-0.22715665052183576
ACH-000178,-0.1653741652476606
ACH-000183,-0.20913905993629764
ACH-000188,-0.15004773185822046
ACH-000189,-0.22659413156314834
ACH-000190,-0.08785619188767385
ACH-000198,-0.060836032319201774
ACH-000203,0.19709286952516855
ACH-000204,-0.07414431854334527
ACH-000206,0.0285295642410196
ACH-000207,-0.18322726875864365
ACH-000208,-0.2595261493703028
ACH-000210,0.013591040843762123
ACH-000211,-0.1712863318956285
ACH-000215,-0.09025875539772364
ACH-000221,-0.12844874473181564
ACH-000222,-0.08149062185728234
ACH-000223,-0.13290481832047513
