,GM2A (2760)
ACH-000004,-0.013952206122151544
ACH-000005,-0.2705707234163876
ACH-000007,0.1320629517581063
ACH-000009,0.0313316772144387
ACH-000011,0.010489639872140737
ACH-000012,-0.0061989695253237215
ACH-000013,0.05827202338131876
ACH-000014,-0.05497022034158743
ACH-000015,-0.03265549649951866
ACH-000017,-0.0288812944061806
ACH-000018,-0.2873228223336953
ACH-000019,-0.10474517757389787
ACH-000021,0.06726182826068126
ACH-000022,0.056236270459274915
ACH-000025,0.00105863183308451
ACH-000028,0.1210247353725548
ACH-000030,0.07548990213855022
ACH-000035,0.020817447720801976
ACH-000036,-0.021150441747036463
ACH-000037,0.06488460767150787
ACH-000039,-0.06387429043467717
ACH-000040,0.22908937850833025
ACH-000041,-0.14741664337229987
ACH-000042,0.10940689100271077
ACH-000045,-0.07074371289858246
ACH-000047,0.07969014807956472
ACH-000052,-0.05297525711896018
ACH-000053,-0.02695571229439716
ACH-000054,0.05075390399650377
ACH-000055,-0.007384784363025319
ACH-000060,-0.07669329185449067
ACH-000067,0.1833092302157028
ACH-000070,-0.08596100468771463
ACH-000075,0.05981517478018874
ACH-000078,-0.14128781675626104
ACH-000082,0.04915479328946236
ACH-000085,0.03911097897349669
ACH-000086,-0.14339544004519214
ACH-000087,0.13053963750719694
ACH-000092,0.16111454032983233
ACH-000095,0.03905087727912482
ACH-000097,0.059797900217096876
ACH-000098,-0.06902998321935715
ACH-000099,-0.07338556937877938
ACH-000108,0.1010497939972563
ACH-000113,0.016927254820038855
ACH-000116,0.005145628813426078
ACH-000118,0.1204841790255876
ACH-000120,0.049932500716336516
ACH-000123,0.022703310790393588
ACH-000127,0.0720514909475837
ACH-000128,-0.04232331701470849
ACH-000132,-0.03451923059725857
ACH-000133,0.05775118893305304
ACH-000137,0.17340817213035625
ACH-000138,0.008983521202923528
ACH-000142,-0.012049404594296516
ACH-000143,-0.11297600096951035
ACH-000146,0.10385216894819242
ACH-000148,-0.00023632478567289864
ACH-000150,-0.1388803752119111
ACH-000152,-0.06513341243196122
ACH-000153,0.1327150230831985
ACH-000159,-0.02123725161790585
ACH-000160,0.04670803592569453
ACH-000163,-0.10614016850329
ACH-000167,0.11016243883047463
ACH-000168,0.01976406117006812
ACH-000169,0.12468012421708205
ACH-000178,0.05899568518465063
ACH-000183,0.12117912270294323
ACH-000188,0.01463759008556027
ACH-000189,0.14772412223777004
ACH-000190,0.19972291818331767
ACH-000198,0.07823416493597449
ACH-000203,-0.11457297066184302
ACH-000204,-0.0014393745046629132
ACH-000206,0.010415408361880105
