,GLIPR1L1 (256710)
ACH-000004,-0.13327539712254724
ACH-000005,0.11602410347260915
ACH-000007,-0.35806216984343464
ACH-000009,-0.1443193486917831
ACH-000011,-0.36228602100808205
ACH-000012,-0.11691255968909565
ACH-000013,-0.14509965933409155
ACH-000014,-0.2470007202629505
ACH-000015,-0.24214182051953784
ACH-000017,-0.2659346685831981
ACH-000018,-0.3666298350576195
ACH-000019,-0.2857983782579878
ACH-000021,-0.17789858553569035
ACH-000022,-0.2880177808929375
ACH-000025,-0.2412933665641791
ACH-000028,-0.2934062694954003
ACH-000030,-0.2302843969777742
ACH-000035,-0.1664294449391681
ACH-000036,-0.14026096285459694
ACH-000037,-0.28640930388484265
ACH-000039,-0.24846449044039595
ACH-000040,-0.37043331684249226
ACH-000041,-0.4012717506279338
ACH-000042,-0.2544789954492053
ACH-000045,-0.06912816950016114
ACH-000047,-0.19769183274783464
ACH-000052,-0.2832242632639053
ACH-000053,-0.19548866367048973
ACH-000054,-0.08679908692168635
ACH-000055,-0.1880543435860067
ACH-000060,-0.23265294177181106
ACH-000067,-0.16958487472937828
ACH-000070,-0.07634107559072305
ACH-000075,-0.032844511532137285
ACH-000078,-0.09331005773268737
ACH-000082,-0.2145944015589077
ACH-000085,-0.34929172082594107
ACH-000086,-0.20854930620291634
ACH-000087,-0.3305798869189972
ACH-000092,-0.2795790195962519
ACH-000095,-0.1044004408927628
ACH-000097,-0.1146629996567318
ACH-000098,-0.19071515720825508
ACH-000099,-0.21628855003208208
ACH-000108,0.10329162818682257
ACH-000113,-0.16818459991836765
ACH-000116,-0.2924584686106943
ACH-000118,-0.06378302013174597
ACH-000120,-0.13772967492946686
ACH-000123,-0.16761123116584245
ACH-000127,-0.2082611701253484
ACH-000128,-0.4172276811465485
ACH-000132,-0.08140535213804008
ACH-000133,-0.1729169774883828
ACH-000137,-0.3286435768849768
ACH-000138,-0.22612034366580955
ACH-000142,-0.056824030861403474
ACH-000143,-0.23913303363266056
ACH-000146,-0.147769842848879
ACH-000148,-0.17455249909154472
ACH-000150,-0.2560528396149749
ACH-000152,-0.25112980958923303
ACH-000153,-0.1767468507358581
ACH-000159,-0.0945963372408937
ACH-000160,-0.19428987255878652
ACH-000163,-0.2273029778764997
ACH-000167,-0.02348827538939164
