,NMT1 (4836)
ACH-000004,-0.7675834909127547
ACH-000005,-0.5870157006183674
ACH-000007,-0.8749835896306917
ACH-000009,-1.0339800493152884
ACH-000011,-0.3931106874765544
ACH-000012,-0.9480795403165742
ACH-000013,-0.6556368013816106
ACH-000014,-0.9415568767938832
ACH-000015,-0.9583224217708562
ACH-000017,-1.5473940572675833
ACH-000018,-0.5186225106239831
ACH-000019,-0.7148732664392672
ACH-000021,-1.301514342484144
ACH-000022,-1.1877442341740612
ACH-000025,-0.3616210496223028
ACH-000028,-0.9296978468796234
ACH-000030,-0.9140426720726412
ACH-000035,-0.8057621374396907
ACH-000036,-0.25572881083970106
ACH-000037,-0.5687059716074735
ACH-000039,-1.1100358842665876
ACH-000040,-0.5371789820172522
ACH-000041,-0.7728724523004536
ACH-000042,-0.5484585265153639
ACH-000045,-0.7070911904100153
ACH-000047,-1.228679113967021
ACH-000052,-0.6893868056341903
ACH-000053,-0.9821636376406084
ACH-000054,-0.03982837394326933
ACH-000055,-0.5234592364799759
ACH-000060,-0.808349156458256
ACH-000067,-0.9010929128041965
ACH-000070,-0.6112126732049511
ACH-000075,-0.5059609071492115
ACH-000078,-0.5984930660618719
ACH-000082,-0.6849822252003838
ACH-000085,-0.95899408436039
ACH-000086,-0.3206628367669592
ACH-000087,-0.6540931724785658
ACH-000092,-0.42652037283470795
ACH-000095,-0.6482579096081502
ACH-000097,-0.6743411121187659
ACH-000098,-0.2702360925726478
ACH-000099,-0.7355711790928109
ACH-000108,-0.6727888243160858
ACH-000113,-0.6670184196554629
ACH-000116,-1.0039761679622423
ACH-000118,-0.8919346128330222
ACH-000120,-0.5873642918980694
ACH-000123,-0.7463637519960143
ACH-000127,-0.6309988152369531
ACH-000128,-1.077647970249291
ACH-000132,-0.19390907803050647
ACH-000133,-0.3062585446109229
ACH-000137,-0.4100650525037689
ACH-000138,-0.8385614847953141
ACH-000142,-1.172735983607455
ACH-000143,-0.7902910902507205
ACH-000146,-0.22202992208951364
ACH-000148,-1.098676337902787
ACH-000150,-0.15508820238763246
ACH-000152,-0.9345273597403893
ACH-000153,-0.819213784726295
ACH-000159,-0.6725237828746456
ACH-000160,-1.1653528267254347
ACH-000163,-0.6759858830188671
ACH-000167,-0.7868509312380572
ACH-000168,-0.7640689490193876
ACH-000169,-1.0304137208084816
ACH-000178,-0.9277240282709834
ACH-000183,-1.1025927568623908
ACH-000188,-0.903586835123033
ACH-000189,-0.4507636903868769
ACH-000190,-0.6462602102510776
ACH-000198,-0.8939360634138989
ACH-000203,-1.003675655802463
ACH-000204,-0.6587608754331483
ACH-000206,-0.451988408297481
ACH-000207,-0.9250519304784468
ACH-000208,-0.6243684461885591
ACH-000210,-0.5394507304287054
ACH-000211,-1.220038647390927
ACH-000215,-0.5878230880969371
ACH-000221,-1.3114509111092625
ACH-000222,-0.3757705085729043
ACH-000223,-0.9664443090436808
ACH-000226,-0.8824677651924479
ACH-000227,-0.6985358898483209
ACH-000228,-0.9134759822444803
ACH-000231,-0.2699093829979782
ACH-000232,-0.9777433515250836
ACH-000233,-0.8226577357606206
ACH-000234,-0.7844285217923681
ACH-000235,-0.6670509729966348
ACH-000237,-0.25865198010625884
ACH-000238,-1.1590039224310769
ACH-000242,-0.7503593211011055
ACH-000243,-1.1224472357608255
ACH-000244,-0.8918135865909484
ACH-000246,-0.14201014318106905
ACH-000248,-1.120934815221772
ACH-000250,-0.3988351883710717
ACH-000251,-0.8262267477703801
ACH-000252,-0.7347052835209084
ACH-000253,-0.9874521335381709
ACH-000255,-0.43074757132291575
ACH-000256,-0.7228945380961926
ACH-000257,-0.8231312559465531
ACH-000258,-0.5493593452972997
ACH-000259,-0.9173344654417308
ACH-000260,-0.8212207733679217
ACH-000261,-0.4373072349390497
ACH-000262,-0.5671062477830551
ACH-000263,-0.8303825429222322
ACH-000264,-1.1606925351116792
ACH-000265,-0.9267914441628028
ACH-000266,-0.16675440164317226
ACH-000272,-0.16444286000335015
ACH-000274,-0.4754717065455547
ACH-000277,-1.5408745105499917
ACH-000278,-0.6884190351943518
ACH-000279,-1.009395864831713
ACH-000280,-0.8555567006867226
ACH-000281,-0.5891990133340216
ACH-000288,-0.38496046010170654
ACH-000291,-0.8355585420633236
ACH-000293,-0.7900238697785081
ACH-000294,-1.3758804702988887
ACH-000295,-0.8417508756593401
ACH-000296,-1.2054908859535898
ACH-000302,-0.5393417429964643
ACH-000304,-0.8492005443929831
ACH-000307,-1.2086734511708686
ACH-000308,-0.9262923129719238
ACH-000310,-0.7213755908367875
ACH-000311,-0.7920378168174096
ACH-000312,-0.9523601314209279
ACH-000315,-0.8543115607940149
ACH-000316,-0.7036762599214105
ACH-000317,-0.6387789464197919
ACH-000318,-0.6126213249178328
ACH-000319,-0.8337547448659229
ACH-000320,-1.0138340258981375
ACH-000322,-0.6250641029179745
ACH-000323,-1.0379118130576976
ACH-000324,-0.37495717728231576
ACH-000329,-0.5910991166086058
ACH-000330,-0.6664786631314897
ACH-000331,-0.9279028027547926
ACH-000332,-0.4510247714016061
ACH-000334,-1.119033181018097
ACH-000335,-0.36599068228868775
ACH-000336,-0.3975918929149707
ACH-000337,-1.0349552965820228
ACH-000338,-0.73825873395082
ACH-000339,-0.4475339474296543
ACH-000341,-0.8606129932268879
ACH-000348,-0.5088594872321485
ACH-000350,-0.795334408272845
ACH-000352,-0.3285695614263597
ACH-000356,-0.8112227618988039
ACH-000361,-0.4677620380373162
ACH-000362,-0.9920300393102732
ACH-000363,-0.8489466701186763
ACH-000364,-0.5689584699343684
ACH-000365,-1.0063983120311424
ACH-000366,-0.909367157947432
ACH-000368,-0.7331423590223001
ACH-000374,-0.6867326436928151
ACH-000375,-0.6012154003079958
ACH-000376,-0.28888114422902045
ACH-000381,-0.9830682295650044
ACH-000383,-0.9365626362877608
ACH-000387,-0.4321323424203747
ACH-000389,-0.659079134172004
ACH-000390,-1.2246729464951556
ACH-000393,-0.8372093923065156
ACH-000395,-1.117883240725455
ACH-000396,-0.7076481622716159
ACH-000397,-0.1675844199523265
ACH-000401,-0.9806467695630856
ACH-000402,-0.8199636104056114
ACH-000403,-0.7140048308981378
