,BRMS1 (25855)
ACH-000004,-0.4167349360854812
ACH-000005,-0.3727629699730561
ACH-000007,-0.3912860569899965
ACH-000009,-0.20071249850810527
ACH-000011,-0.3308664255594535
ACH-000012,-0.40310239102419737
ACH-000013,-0.3781217086642861
ACH-000014,0.10453676664371483
ACH-000015,-0.24593401689539954
ACH-000017,-0.4156781578924307
ACH-000018,-0.2897538779114733
ACH-000019,-0.5772362232316729
ACH-000021,-0.3144488453489504
ACH-000022,-0.266551218276022
ACH-000025,-0.15947805962685205
ACH-000028,-0.2853507688143641
ACH-000030,-0.4489431112501812
ACH-000035,-0.3427078233677976
ACH-000036,-0.2145145656281181
ACH-000037,-0.4901542134376867
ACH-000039,-0.6215229648654141
ACH-000040,-0.3780621446420161
ACH-000041,-0.27117810148030197
ACH-000042,-0.33799845451931204
ACH-000045,-0.3766178568089105
ACH-000047,-0.1882267653969628
ACH-000052,-0.3089366827412732
ACH-000053,-0.4645699178670621
ACH-000054,-0.3545402774109713
ACH-000055,-0.43268347466258505
ACH-000060,-0.3054615116942425
ACH-000067,-0.21763754984240052
ACH-000070,-0.20327575476043788
ACH-000075,-0.1535533284720947
ACH-000078,-0.354844970419322
ACH-000082,-0.4314350159413813
ACH-000085,-0.3743479765700717
ACH-000086,-0.4642983197173257
ACH-000087,-0.5424699689460969
ACH-000092,-0.3196670666535062
ACH-000095,-0.34394571374050603
ACH-000097,-0.3271190642523901
ACH-000098,-0.20857528548336424
ACH-000099,-0.2858163564909558
ACH-000108,-0.17655502703876466
ACH-000113,-0.21121071026534735
ACH-000116,-0.5638738794761765
ACH-000118,-0.3198048609587945
ACH-000120,-0.3189913702798408
ACH-000123,-0.31482834357072725
ACH-000127,-0.24231550870991544
ACH-000128,-0.04788816995721038
ACH-000132,-0.5213816039118866
ACH-000133,-0.3211645172936796
ACH-000137,-0.3414342753099844
ACH-000138,-0.17131706821839052
ACH-000142,-0.4110047471684155
ACH-000143,-0.44111322892481575
ACH-000146,-0.223639464048308
ACH-000148,-0.18876814101449246
ACH-000150,-0.3066076992176523
ACH-000152,-0.32504664575365866
ACH-000153,-0.2978290910739068
ACH-000159,-0.2197153697468766
ACH-000160,-0.43428444817638334
ACH-000163,-0.28952253254474003
ACH-000167,0.004638388375702389
ACH-000168,-0.3140631030729391
ACH-000169,-0.31845960054213657
ACH-000178,-0.2317371971944068
ACH-000183,-0.21168745275703912
ACH-000188,-0.4935631538116255
ACH-000189,-0.5862061977894097
ACH-000190,-0.22357402115673752
ACH-000198,-0.4689058226133929
ACH-000203,-0.30364161221268937
ACH-000204,-0.31891787951866035
ACH-000206,-0.01730685899610974
ACH-000207,-0.5392019535695048
ACH-000208,-0.1419358020901501
ACH-000210,-0.5915805779469775
ACH-000211,-0.3850529972772379
ACH-000215,-0.2040641650233759
ACH-000221,-0.4167016716708644
ACH-000222,-0.4212877895547496
ACH-000223,-0.3223697639148825
ACH-000226,-0.252104833592062
ACH-000227,-0.18131534557013734
ACH-000228,-0.5001862042111648
ACH-000231,-0.3179376681948469
ACH-000232,-0.2610500503634933
ACH-000233,-0.3579157612508605
ACH-000234,-0.16047885312717716
ACH-000235,-0.2075990437160765
ACH-000237,-0.3033362694841237
ACH-000238,-0.3906185047948593
ACH-000242,-0.5216812092305415
ACH-000243,-0.25508223251595497
ACH-000244,-0.4551894588948218
ACH-000246,-0.3548675050188138
ACH-000248,-0.09486047945247733
ACH-000250,-0.2924399885483629
ACH-000251,-0.4394334631310116
ACH-000252,-0.3836240623483329
ACH-000253,-0.35262004537483715
ACH-000255,-0.4555975845998267
ACH-000256,-0.4229279180993271
ACH-000257,-0.12028920131739472
ACH-000258,-0.03252424035008567
ACH-000259,-0.23575077139070705
ACH-000260,-0.3696528515764951
ACH-000261,-0.3423135464675896
ACH-000262,-0.42090517014095263
ACH-000263,-0.32349733459163865
ACH-000264,-0.2772393152081407
ACH-000265,-0.187973313873273
ACH-000266,-0.3275808146405372
ACH-000272,-0.1341894337424503
ACH-000274,-0.2364759800451968
ACH-000277,-0.6050721700207181
ACH-000278,-0.37135931698540503
