,ZNRD1 (30834)
ACH-000004,-0.6090640798510931
ACH-000005,-0.4890630883877853
ACH-000007,-0.903591115721748
ACH-000009,-0.84153732447806
ACH-000011,-0.7741754686101131
ACH-000012,-0.8239115786533989
ACH-000013,-1.124691395945938
ACH-000014,-0.7489623302646273
ACH-000015,-0.6616519109504989
ACH-000017,-0.6422020400469906
ACH-000018,-0.8006257422400518
ACH-000019,-0.8095373552384788
ACH-000021,-0.34245101710391146
ACH-000022,-0.8917664598575997
ACH-000025,-0.8227009670546849
ACH-000028,-0.7647539226793251
ACH-000030,-0.8340379817517144
ACH-000035,-0.7825865648977941
ACH-000036,-0.7914220907718829
ACH-000037,-0.4953881434082201
ACH-000039,-0.4095770521526748
ACH-000040,-0.8988215941664228
ACH-000041,-0.5625988573393151
ACH-000042,-0.6755097314109711
ACH-000045,-0.7243313944186609
ACH-000047,-0.5539390950018651
ACH-000052,-0.9514580350730578
ACH-000053,-0.7714494474000201
ACH-000054,-0.6592222271581907
ACH-000055,-0.7696655216059878
ACH-000060,-0.6769037885503328
ACH-000067,-0.9103491983781408
ACH-000070,-0.7103657693409703
ACH-000075,-0.8876836889346641
ACH-000078,-0.9663138783851376
ACH-000082,-0.5983852931087912
ACH-000085,-0.89855905352355
ACH-000086,-0.7516305003033846
ACH-000087,-0.35307380021757484
ACH-000092,-0.8222180145898356
ACH-000095,-0.7933667410240529
ACH-000097,-0.8985681540291022
ACH-000098,-0.7874979953698841
ACH-000099,-0.7718011607691565
ACH-000108,-0.7226826657373845
ACH-000113,-0.5885038826361957
ACH-000116,-0.4316278497793497
ACH-000118,-0.5163991137366654
ACH-000120,-0.6236754051356924
ACH-000123,-0.587248792214912
ACH-000127,-0.658404412907665
ACH-000128,-0.6910623275509821
ACH-000132,-0.3915441387204444
ACH-000133,-0.9079360160819088
ACH-000137,-0.7296879456010603
ACH-000138,-0.6615954926989942
ACH-000142,-0.7605706748548425
ACH-000143,-0.9403396203099148
ACH-000146,-0.6076027495292042
ACH-000148,-0.7473103742711792
ACH-000150,-0.8449316477057904
ACH-000152,-0.7898453986504581
ACH-000153,-0.9767512100251132
ACH-000159,-0.8053036108413925
ACH-000160,-0.4944097617411747
ACH-000163,-0.9812702803140388
ACH-000167,-0.4541521564280137
ACH-000168,-0.7669899073814863
ACH-000169,-1.008378277606085
ACH-000178,-0.9818677607108168
ACH-000183,-0.7445992401522754
ACH-000188,-0.7274952719937666
ACH-000189,-1.1228067499939411
ACH-000190,-0.6301964397759358
ACH-000198,-0.7734056355770337
ACH-000203,-0.4907789469465929
ACH-000204,-0.4533736488611314
ACH-000206,-0.5578151879364859
ACH-000207,-0.667848849684235
ACH-000208,-0.8919594899701735
ACH-000210,-1.096850096907732
ACH-000211,-0.7513652494811469
ACH-000215,-0.9479628608577674
ACH-000221,-0.9272885814741436
ACH-000222,-0.6210201170496052
ACH-000223,-0.7672226375300168
ACH-000226,-0.8490382133148693
ACH-000227,-0.3285864562536391
ACH-000228,-0.8085107996465033
ACH-000231,-1.080585610434013
ACH-000232,-0.9598998370106274
ACH-000233,-0.6313256330106577
ACH-000234,-0.7154037572672943
ACH-000235,-0.8014845272485706
ACH-000237,-0.7608784515399383
ACH-000238,-0.7113366639725904
ACH-000242,-1.0729916723277846
ACH-000243,-0.8708002359461599
ACH-000244,-0.9813065948954802
ACH-000246,-0.8669258697660209
ACH-000248,-0.6500360368002098
ACH-000250,-0.8758908985834126
ACH-000251,-0.6723113499642862
ACH-000252,-0.9101152047020638
ACH-000253,-0.7620837876181255
ACH-000255,-0.9536026404600204
ACH-000256,-0.8911765188786437
ACH-000257,-0.5518564615244903
ACH-000258,-0.7435107062379207
ACH-000259,-0.5339262742751216
ACH-000260,-0.2654811920837996
ACH-000261,-0.7774942185776701
ACH-000262,-1.1598818698831328
ACH-000263,-0.5489570444982055
ACH-000264,-0.7922353245888695
ACH-000265,-0.8020488386592894
ACH-000266,-0.7468452352120958
