,CLTC (1213)
ACH-000004,-1.289606858298467
ACH-000005,-1.3843349083870515
ACH-000007,-1.011135234815008
ACH-000009,-1.2052687652235596
ACH-000011,-0.8931028415939335
ACH-000012,-1.3517580164286844
ACH-000013,-1.06876765183042
ACH-000014,-1.0422033662001768
ACH-000015,-1.0243785288197005
ACH-000017,-1.5635883596773053
ACH-000018,-1.1112150451656602
ACH-000019,-1.1083227350224296
ACH-000021,-0.9198064082393697
ACH-000022,-1.078999343976947
ACH-000025,-1.0991784248332492
ACH-000028,-0.9530497375088932
ACH-000030,-1.501440262444545
ACH-000035,-1.1699689322063531
ACH-000036,-1.0131746427636232
ACH-000037,-1.0379631921756058
ACH-000039,-1.2668188896927453
ACH-000040,-1.2361094508306183
ACH-000041,-0.695512213298543
ACH-000042,-0.8585988819752254
ACH-000045,-1.2820799723987963
ACH-000047,-1.28161511150463
ACH-000052,-1.0261218091589541
ACH-000053,-1.3318073421054468
ACH-000054,-1.1123801803941176
ACH-000055,-1.0445506996190148
ACH-000060,-0.8425261675368136
ACH-000067,-0.9059625907891564
ACH-000070,-1.3084018690124577
ACH-000075,-1.0060775018235897
ACH-000078,-0.9816682353951154
ACH-000082,-0.8845017976141576
ACH-000085,-1.141373654623571
ACH-000086,-1.059205680268333
ACH-000087,-1.1196715579031666
ACH-000092,-1.2189915308600527
ACH-000095,-0.926488644305134
ACH-000097,-1.1213540716693249
ACH-000098,-0.5199031387545338
ACH-000099,-0.9687267010579956
ACH-000108,-0.9034203506847224
ACH-000113,-1.0915309272378055
ACH-000116,-1.3339070769785388
ACH-000118,-1.1725709420086388
ACH-000120,-1.214074987200761
ACH-000123,-1.2287213229138556
ACH-000127,-1.3684957145445087
ACH-000128,-1.0683344052821138
ACH-000132,-0.9416349236624486
ACH-000133,-0.9885165113196538
ACH-000137,-1.1015036588824951
ACH-000138,-1.0702717724401616
ACH-000142,-1.259701014612015
ACH-000143,-1.0922692709002244
ACH-000146,-1.216603698902033
ACH-000148,-1.2289076719317638
ACH-000150,-0.8416346336497644
ACH-000152,-1.198458914745942
ACH-000153,-1.315529759864257
ACH-000159,-1.1182572484159303
ACH-000160,-1.191935192025882
ACH-000163,-1.2744420924633966
ACH-000167,-1.7587502915159683
ACH-000168,-1.033635977886986
ACH-000169,-1.2237332614849692
ACH-000178,-1.1930974888366457
ACH-000183,-1.0733434052611337
ACH-000188,-1.2443137278247518
ACH-000189,-1.1533184933200498
ACH-000190,-1.232552058096997
ACH-000198,-1.2339473144702078
ACH-000203,-1.183795328857011
ACH-000204,-1.203881420208044
ACH-000206,-1.0329838035668408
