,KMT2D (8085)
ACH-000004,-0.7823742710737909
ACH-000005,-0.903803266242392
ACH-000007,-0.6615417052077063
ACH-000009,-0.8355200918846338
ACH-000011,-0.7467400732790849
ACH-000012,-0.4200674274089807
ACH-000013,-0.7293534854693272
ACH-000014,-0.6098097339546148
ACH-000015,-0.3449992583244644
ACH-000017,-0.7644759513265657
ACH-000018,-0.34585532525525703
ACH-000019,-0.7313676340481199
ACH-000021,-0.5038666071441007
ACH-000022,-0.17418576530957294
ACH-000025,-0.10394371764889217
ACH-000028,-0.7558466098902545
ACH-000030,-0.34740280740233265
ACH-000035,-0.75592156952868
ACH-000036,-0.15288705237298747
ACH-000037,-0.49812223990564897
ACH-000039,-0.19112558649598715
ACH-000040,-0.1285614874632636
ACH-000041,-0.30268131464402465
ACH-000042,-0.17797033008666135
ACH-000045,-0.6254592053108718
ACH-000047,-0.4680244031403791
ACH-000052,-0.1396315533440601
ACH-000053,0.07854107743746051
ACH-000054,-0.2789115139086621
ACH-000055,0.19621883255696376
ACH-000060,-0.5320827361961391
ACH-000067,-0.4946732045336797
ACH-000070,-0.6772405324496721
ACH-000075,-0.1351859070650685
ACH-000078,-0.3910488692432789
ACH-000082,0.15049740500425074
ACH-000085,-0.7381420930591965
ACH-000086,-0.4481998661262504
ACH-000087,-0.14128334451724486
ACH-000092,-0.5349580186619334
ACH-000095,-0.521185045754653
ACH-000097,-0.711640407758538
ACH-000098,-0.314459053513131
ACH-000099,-0.20131088389311408
ACH-000108,-0.8680260643719163
ACH-000113,-0.8327052294211618
ACH-000116,-0.6890519554706408
ACH-000118,-0.6048059059765174
ACH-000120,-0.3375058989860717
ACH-000123,-0.4075891150860554
ACH-000127,-0.32995922562952257
ACH-000128,-0.13307798261765758
ACH-000132,-0.7663208379471504
ACH-000133,-0.3914306854247324
ACH-000137,-0.17371434921735754
ACH-000138,-0.4713154438495084
ACH-000142,-0.6998328873301173
ACH-000143,0.054557903719955315
ACH-000146,-0.3514108755148029
ACH-000148,-0.2661579685921195
ACH-000150,-0.08554910537074027
ACH-000152,-0.17394782189842814
ACH-000153,-0.16822202019591298
ACH-000159,-0.5832281453954505
ACH-000160,0.008274566486479784
ACH-000163,0.07313449388331382
ACH-000167,0.6230536004271912
ACH-000168,-0.7697907445767823
ACH-000169,-0.460101003307257
ACH-000178,-0.3452193649186778
ACH-000183,-0.2250986406806188
ACH-000188,-0.3070485455352993
ACH-000189,-0.6460882767539292
ACH-000190,-0.12859653930976947
ACH-000198,-0.915754061208552
ACH-000203,-0.4593685253096057
ACH-000204,-0.34986661190496376
ACH-000206,-0.6268639940431128
ACH-000207,-0.6850223359103924
ACH-000208,-0.4375333725257055
ACH-000210,-0.306225902010597
ACH-000211,-0.17568208884459055
ACH-000215,-0.10163921779918687
ACH-000221,-0.4694849575675212
ACH-000222,-0.6645739179342037
ACH-000223,-0.03462886398449092
ACH-000226,-0.3809607136475649
ACH-000227,-0.2219098941409883
ACH-000228,-0.2428601696750329
ACH-000231,-0.3874440734033613
ACH-000232,0.17067136498638746
ACH-000233,-0.37401807037414025
ACH-000234,-0.7404841740712249
ACH-000235,-0.4613693204965778
ACH-000237,-0.3130439392277684
ACH-000238,-0.1157437700352146
ACH-000242,-0.44734571071052703
ACH-000243,-0.5310759861450496
ACH-000244,-0.4263349510915074
ACH-000246,-0.8217158588156159
ACH-000248,-0.7065841404149128
ACH-000250,-0.4497707270240509
ACH-000251,-0.6002439067150804
ACH-000252,-0.8618235548441174
ACH-000253,-0.5353142851386232
ACH-000255,-0.020899518719073647
ACH-000256,-0.35932245673191376
ACH-000257,-0.5935937337424766
ACH-000258,-0.5402723653801272
ACH-000259,-0.08913786050481537
ACH-000260,-0.3213259281107305
ACH-000261,-0.5288791978362611
ACH-000262,-0.5522919473742345
ACH-000263,-0.9742963657952572
ACH-000264,-0.5837129590335254
ACH-000265,-0.3350469646322633
ACH-000266,-0.4003905530694033
ACH-000272,-0.39766908494937503
ACH-000274,-0.4947294444480315
ACH-000277,-0.9577625378023028
ACH-000278,-0.4827448929877264
ACH-000279,-0.26377276043034936
ACH-000280,-0.7173606174911087
ACH-000281,-0.4486070278658893
ACH-000288,-0.5014568967313142
ACH-000291,-0.6214384228398441
ACH-000293,-0.6562648647542256
ACH-000294,-0.6536907435147292
ACH-000295,-0.05552960996772949
ACH-000296,-0.7464115416373188
ACH-000302,-0.4813387004975939
ACH-000304,-0.3194657053863619
ACH-000307,-0.5054089757377082
ACH-000308,-0.35100879373928817
ACH-000310,-0.16681041876887853
ACH-000311,-0.5365216938993302
ACH-000312,-0.32365851546027125
ACH-000315,-0.7462421210301976
ACH-000316,-0.6197519930847617
ACH-000317,-0.5413650074277322
ACH-000318,-0.5527128208747079
ACH-000319,-0.5559484003700378
ACH-000320,-0.3821895391434078
ACH-000322,-0.4767384596960974
ACH-000323,-0.02508265062121033
ACH-000324,-0.6236062377686361
ACH-000329,-0.306925763515928
ACH-000330,-0.44941346890137424
ACH-000331,-0.8060066377973748
ACH-000332,-0.4865407555871171
ACH-000334,-0.05094247040417881
ACH-000335,-0.6039450416787814
ACH-000336,-0.041142452002621496
ACH-000337,-0.6288961434456031
ACH-000338,0.03259550693755215
ACH-000339,-0.18017011644589545
ACH-000341,-0.21886182593058934
ACH-000348,-0.29792238543143823
ACH-000350,-0.20446737643946172
ACH-000352,-0.6139963621606201
ACH-000356,-0.7338128404174138
ACH-000361,-0.2661374315434289
ACH-000362,-0.39754161421895423
ACH-000363,-0.30618502792077523
ACH-000364,-0.2462476156396097
ACH-000365,-0.3438018111974638
ACH-000366,-0.2530969622045421
ACH-000368,-0.5145817189352744
ACH-000374,-0.6034085813899998
ACH-000375,-0.4929550544756749
ACH-000376,-0.06334965172918654
ACH-000381,-0.12214428287505225
ACH-000383,-0.3770105390815949
ACH-000387,-0.7714398659728953
ACH-000389,-0.4307553549072762
ACH-000390,-0.11961170029201955
ACH-000393,-0.4152410464331647
ACH-000395,-0.19073065521335908
ACH-000396,-0.37931505133847504
ACH-000397,-0.5110240884194205
ACH-000401,-0.2587418632527819
ACH-000402,-0.5236818364406984
ACH-000403,-0.34682228189181263
ACH-000404,-0.13187963281607135
ACH-000406,-0.8943013963081609
ACH-000407,-0.4144411153288505
ACH-000408,0.06552743342251993
ACH-000410,-0.2398004728797445
ACH-000411,-0.9129832413013242
ACH-000414,-0.5416823253050186
ACH-000415,-0.5508907394583259
ACH-000416,-0.3600662546063349
ACH-000420,-0.4346611936573044
ACH-000421,-0.4607373336425296
ACH-000424,-0.5607406417594847
ACH-000425,-0.3328389902553554
ACH-000426,0.4209597552400016
ACH-000427,-0.9699772390867992
ACH-000433,-0.3801363013991245
ACH-000435,-0.3931145371902918
ACH-000436,0.04280778219327476
ACH-000444,-0.32814933647031114
ACH-000445,-0.6068584472189594
ACH-000448,-0.4763834240001787
ACH-000450,-0.14326292978824606
ACH-000452,-0.6144559543351952
ACH-000454,-0.2948743474247075
ACH-000458,-0.1289601421550446
ACH-000459,-0.3587996318698447
ACH-000460,-0.5823915670100508
ACH-000461,-0.3777572116904051
ACH-000463,-0.026758412360825032
ACH-000464,-0.3330134636087997
ACH-000466,-0.8070114733690624
ACH-000467,-0.8194521973022694
