,LYPD6B (130576)
ACH-000004,0.08792104999705817
ACH-000005,0.02553792253383485
ACH-000007,-0.06680055170744037
ACH-000009,0.011212843177879578
ACH-000011,-0.11315839495667328
ACH-000012,-0.03827711324346629
ACH-000013,0.002135324852947221
ACH-000014,-0.051919290132960656
ACH-000015,-0.17457906309212393
ACH-000017,-0.10236309712425376
ACH-000018,-0.3264744326628473
ACH-000019,-0.1952862774724755
ACH-000021,0.01801541039560577
ACH-000022,-0.0532044504947591
ACH-000025,0.052261428310335735
ACH-000028,0.10806844740241646
ACH-000030,0.050203753237389015
ACH-000035,0.09450365019114536
ACH-000036,0.03942905774839009
ACH-000037,-0.014312028687848718
ACH-000039,0.08248768510415055
ACH-000040,-0.02047167898547726
ACH-000041,-0.018888317205934504
ACH-000042,0.0838065712482643
ACH-000045,-0.06590172111100799
ACH-000047,-0.12575780513895668
ACH-000052,0.04769625751463359
ACH-000053,-0.005432522183923482
ACH-000054,0.11517080563704585
ACH-000055,-0.13190726050586946
ACH-000060,0.0613180482652958
ACH-000067,-0.08768670829632179
ACH-000070,-0.026691414423519584
ACH-000075,-0.11041619553124483
ACH-000078,-0.03411519231216092
ACH-000082,0.11204028315359554
ACH-000085,-0.14758790020302054
ACH-000086,0.02476844809896463
ACH-000087,-0.1473338613106844
ACH-000092,-0.09886945253537974
ACH-000095,-0.10671999234213968
ACH-000097,-0.09023163704718347
ACH-000098,-0.16881715112154427
ACH-000099,-0.018264873905343725
ACH-000108,0.02842375717362352
ACH-000113,0.1749592768922711
ACH-000116,-0.0214913917637998
ACH-000118,-0.02585267285709123
ACH-000120,-0.05959481435642173
ACH-000123,0.024866830970642816
ACH-000127,-0.13341751063729926
ACH-000128,-0.2360154552326057
ACH-000132,-0.1647088413551358
ACH-000133,-0.0757735226152862
ACH-000137,-0.14630736924132068
ACH-000138,-0.10416401298185526
ACH-000142,-0.08291013872965085
ACH-000143,-0.1310965564777859
ACH-000146,-0.0178198517931195
ACH-000148,-0.02197178992993449
ACH-000150,-0.1686089098074232
ACH-000152,-0.028057615202703844
ACH-000153,0.022576588683348515
ACH-000159,-0.046959280074467036
ACH-000160,-0.1208753391875604
ACH-000163,-0.053245172714955435
ACH-000167,0.0036854955045340326
ACH-000168,-0.15239630980918198
ACH-000169,0.2291119263363471
ACH-000178,-0.11121100701528107
ACH-000183,0.025413562379157012
ACH-000188,-0.04712745781954458
ACH-000189,-0.21440247626969824
ACH-000190,0.08179346676145831
ACH-000198,0.05134951538781931
ACH-000203,0.3781325374754373
ACH-000204,-0.15393090362608278
ACH-000206,-0.040335857858895534
ACH-000207,-0.06212067980937469
ACH-000208,-0.1473048015297962
ACH-000210,0.025663247734296547
ACH-000211,-0.08866897725942391
ACH-000215,0.005346254621077151
ACH-000221,-0.24543353135512444
ACH-000222,0.04906926250995415
ACH-000223,-0.02102128807915292
ACH-000226,-0.031453662458694104
ACH-000227,0.08204363493723199
ACH-000228,0.15066835705329326
ACH-000231,-0.12220622123657653
ACH-000232,-0.1556826446590092
ACH-000233,-0.03105843326467118
ACH-000234,-0.1762555006194606
ACH-000235,-0.022688171042958043
ACH-000237,-0.1102707758408177
ACH-000238,-0.029193530930096464
ACH-000242,-0.10457819829229724
ACH-000243,-0.028160071378363932
ACH-000244,-0.21522461936100934
ACH-000246,-0.020669560043913317
ACH-000248,0.04436569930813968
ACH-000250,-0.07126405307615116
ACH-000251,0.12445831996274
ACH-000252,-0.06075429361656064
ACH-000253,0.0612014146500328
ACH-000255,-0.11290539435516038
ACH-000256,-0.05624628584198145
ACH-000257,0.2555998615741375
ACH-000258,-0.04501145407600801
ACH-000259,-0.02300145757192526
ACH-000260,-0.2050922150518177
ACH-000261,-0.022249917399143747
ACH-000262,-0.061156716551324423
ACH-000263,-0.07921626078975261
ACH-000264,-0.03969551305952883
ACH-000265,-0.017955684431996542
ACH-000266,-0.02264404434167304
ACH-000272,0.06806996861365511
ACH-000274,-0.11342150428213088
ACH-000277,-0.007900050129566303
ACH-000278,0.11811477479131413
ACH-000279,-0.1254020591275141
ACH-000280,-0.1144116329753066
ACH-000281,0.02956288930780594
ACH-000288,-0.15842395140713011
ACH-000291,0.0017334642556860536
ACH-000293,-0.17365834595200758
ACH-000294,-0.062439217128613826
ACH-000295,-0.24242980092413596
ACH-000296,0.14150225303056832
ACH-000302,-0.050068470613245285
ACH-000304,-0.19712769681517836
ACH-000307,-0.07563885597460926
ACH-000308,-0.014453354634944245
ACH-000310,-0.17856267785265306
ACH-000311,-0.0205058556584627
ACH-000312,0.03414317159663503
ACH-000315,-0.04567297481026265
