,HJURP (55355)
ACH-000004,-0.5514342163997474
ACH-000005,-0.764301129861463
ACH-000007,-0.730540623302961
ACH-000009,-0.7100741720316391
ACH-000011,-0.6488193441294959
ACH-000012,-0.4319949022963398
ACH-000013,-0.7967186557037869
ACH-000014,-0.5488357489835591
ACH-000015,-0.6386689753188073
ACH-000017,-0.7955678388286814
ACH-000018,-0.6928384913176541
ACH-000019,-0.5261526687991335
ACH-000021,-0.5971561288783073
ACH-000022,-0.7009410833565921
ACH-000025,-0.7447263651818491
ACH-000028,-0.562345186673484
ACH-000030,-0.6381717285641944
ACH-000035,-0.8693225648192118
ACH-000036,-0.585232869539271
ACH-000037,-0.3831301735098377
ACH-000039,-0.7556965710031933
ACH-000040,-0.7876505554316076
ACH-000041,-0.9116483267060634
ACH-000042,-0.8751943594366212
ACH-000045,-0.6710686739910864
ACH-000047,-0.7993085481789906
ACH-000052,-0.5023256620393479
ACH-000053,-0.6572191471637073
ACH-000054,-0.6729454722121195
ACH-000055,-0.5746070647597155
ACH-000060,-0.8539399034718902
ACH-000067,-0.44695739555914055
ACH-000070,-0.869836352377258
ACH-000075,-0.5820877262576585
ACH-000078,-0.8518223620238188
ACH-000082,-0.3858044734658557
ACH-000085,-0.9770071288022886
ACH-000086,-0.6455736534692961
ACH-000087,-0.7554627863714849
ACH-000092,-0.7007451523847232
ACH-000095,-0.7877555872699018
ACH-000097,-0.7225010018004436
ACH-000098,-0.8360503806242134
ACH-000099,-0.6619166513058735
ACH-000108,-0.6974541409663981
ACH-000113,-0.33889212654781625
ACH-000116,-0.7915779407906871
ACH-000118,-0.630898194797555
ACH-000120,-0.6135786856068646
ACH-000123,-0.418111865443919
ACH-000127,-0.6958154876966166
ACH-000128,-0.6140372241353483
ACH-000132,-0.7927696834672222
ACH-000133,-0.8809575511206358
ACH-000137,-0.9262983219502292
ACH-000138,-0.7936854784174944
ACH-000142,-0.8017275417369872
ACH-000143,-0.8088447721837191
ACH-000146,-0.48916048132525
ACH-000148,-0.6945906216791881
ACH-000150,-0.7487847753456129
ACH-000152,-0.6196972069722875
ACH-000153,-0.7805401012702949
ACH-000159,-0.4857629871314642
ACH-000160,-0.4525733289232363
ACH-000163,-0.567835033341905
ACH-000167,-0.15799390371614752
ACH-000168,-0.6815174889036034
ACH-000169,-0.7005798870064982
ACH-000178,-0.7366264458413759
ACH-000183,-0.7586470722395788
ACH-000188,-0.7659953862327973
ACH-000189,-0.4235162978402997
ACH-000190,-0.5205770920762427
ACH-000198,-0.5184043130016036
ACH-000203,-1.1514166035502718
ACH-000204,-0.5999776452023122
ACH-000206,-0.5956030264990425
ACH-000207,-0.6112611645933498
ACH-000208,-0.7285921641471065
ACH-000210,-0.7672018591607006
ACH-000211,-0.7241142003492905
ACH-000215,-0.7463360766111498
ACH-000221,-0.7438722798525919
ACH-000222,-0.8057300639975382
ACH-000223,-0.6318779786168511
ACH-000226,-0.5869084915366309
ACH-000227,-0.3953255216281613
ACH-000228,-0.6370041108132674
ACH-000231,-0.6199892542483358
ACH-000232,-0.7448723368197522
ACH-000233,-0.6674965201796084
ACH-000234,-0.6686535099577404
ACH-000235,-0.5411992022188179
ACH-000237,-0.8982172968645266
ACH-000238,-0.6906923671096529
ACH-000242,-0.6508223677369323
ACH-000243,-0.7910336377735823
ACH-000244,-0.5837663242571886
ACH-000246,-0.8692656388599734
ACH-000248,-0.8109475378032621
ACH-000250,-0.6492167569531612
ACH-000251,-0.5098747983089597
ACH-000252,-0.7399944372144885
ACH-000253,-0.7778297358392521
ACH-000255,-0.624488315337249
ACH-000256,-0.5162021555193315
ACH-000257,-0.6980599157542454
ACH-000258,-0.7650026091294861
ACH-000259,-0.7402713541819912
ACH-000260,-0.5253592828413849
ACH-000261,-0.7823896640142526
ACH-000262,-0.7654477738515839
ACH-000263,-0.6568997942897583
ACH-000264,-0.7374279413626426
ACH-000265,-0.6360559556455466
ACH-000266,-0.624561023645776
ACH-000272,-0.4461947463139232
ACH-000274,-0.5761700924397413
ACH-000277,-0.5070918561574119
ACH-000278,-0.7128502194053515
ACH-000279,-0.7206381497249265
ACH-000280,-0.8185793013766284
ACH-000281,-0.923422530360502
ACH-000288,-0.7050508966120058
ACH-000291,-0.5100091783134963
ACH-000293,-0.5030218211569214
ACH-000294,-0.4942789288040857
ACH-000295,-0.8812568826370898
ACH-000296,-0.4675054069372365
ACH-000302,-0.6661087544738992
ACH-000304,-0.5911796397407423
ACH-000307,-0.6504836083377254
ACH-000308,-0.6846724257780663
ACH-000310,-0.6534088469255399
ACH-000311,-0.8069455575360852
ACH-000312,-0.6647631137687862
ACH-000315,-0.9084019045798912
ACH-000316,-0.7417657027175895
ACH-000317,-1.0316389195941755
ACH-000318,-0.7455206772510229
ACH-000319,-0.7842964656909422
ACH-000320,-0.9628202743719548
ACH-000322,-0.648741359572266
ACH-000323,-0.7337658082338491
ACH-000324,-0.7389829652398175
ACH-000329,-0.7776323598854552
ACH-000330,-0.4955711797956505
ACH-000331,-0.8030819870688956
ACH-000332,-0.7324941697772063
ACH-000334,-0.2016465303218818
ACH-000335,-0.6842919395271814
ACH-000336,-0.3486993994215649
ACH-000337,-0.6406749364443258
ACH-000338,-1.1906454202716454
ACH-000339,-0.7070411358389393
ACH-000341,-0.8263518732696715
ACH-000348,-0.4216088836852761
ACH-000350,-0.5794148702416021
ACH-000352,-0.6680466684011422
ACH-000356,-0.8098470105948442
