,C1QA (712)
ACH-000004,-0.033178732564055034
ACH-000005,-0.004010554892079053
ACH-000007,-0.07467033397346774
ACH-000009,-0.024943664346005586
ACH-000011,-0.07260158988476863
ACH-000012,-0.04350915446564164
ACH-000013,-0.1462997233291061
ACH-000014,-0.012680967519045828
ACH-000015,-0.04726426007708669
ACH-000017,-0.03778472012304954
ACH-000018,-0.20368275980115105
ACH-000019,-0.05218691420022474
ACH-000021,-0.0373511325266142
ACH-000022,-0.03071782321380833
ACH-000025,0.06535541132024134
ACH-000028,0.09237964345470463
ACH-000030,-0.07407090300172417
ACH-000035,-0.2930877491636059
ACH-000036,-0.07412679903133801
ACH-000037,0.015016861677045319
ACH-000039,-0.013011194499208569
ACH-000040,-0.006817369530131129
ACH-000041,-0.08755538606191646
ACH-000042,-0.07293242534179213
ACH-000045,0.11123085014944042
ACH-000047,-0.0887300014315177
ACH-000052,0.12398118007314965
ACH-000053,-0.08235671042200515
ACH-000054,-0.04942663637126353
ACH-000055,0.269232871770217
ACH-000060,-0.08132079715977084
ACH-000067,0.037720317803733416
ACH-000070,-0.16416131895968167
ACH-000075,-0.09014071827691517
ACH-000078,0.06034257652899375
ACH-000082,-0.04479664913028383
ACH-000085,-0.2905059965570164
ACH-000086,-0.09005999418436365
ACH-000087,-0.09694529568811776
ACH-000092,-0.09947884332479616
ACH-000095,-0.07774939737025563
ACH-000097,-0.017335950108252444
ACH-000098,-0.08097286808748758
ACH-000099,-0.06851647702436059
ACH-000108,-0.20126048784981485
ACH-000113,-0.13381253871130686
ACH-000116,-0.08911033869919804
ACH-000118,0.0408110794525663
ACH-000120,-0.08996193114362719
ACH-000123,0.08113153170486269
ACH-000127,-0.05510496210462059
ACH-000128,-0.28579020657378806
ACH-000132,-0.15093635917988096
ACH-000133,-0.032035878039530605
ACH-000137,-0.2890681746787665
ACH-000138,0.013183593464425807
ACH-000142,-0.16540430649961885
ACH-000143,-0.09643491515528516
ACH-000146,0.01301912711929069
ACH-000148,-0.16008326215209134
ACH-000150,-0.033690865146541765
ACH-000152,-0.20312198011835075
ACH-000153,-0.3170646085993897
ACH-000159,-0.10270386108152932
ACH-000160,0.09273509181669444
ACH-000163,-0.09508722469000308
ACH-000167,-0.14123468216877366
ACH-000168,-0.09140802388873648
ACH-000169,0.00976484380502562
ACH-000178,-0.02115240718508701
ACH-000183,-0.3024618178576897
ACH-000188,-0.27677047711240904
ACH-000189,-0.008178993400265995
ACH-000190,0.055484178997988035
ACH-000198,-0.07549604853287653
ACH-000203,-0.11425352525543303
ACH-000204,-0.16752206617831014
ACH-000206,-0.09083187401586863
ACH-000207,-0.03648919122847745
ACH-000208,0.02252794708663959
ACH-000210,0.12468459506429727
ACH-000211,0.005695199978208593
ACH-000215,-0.11956886880748765
ACH-000221,-0.1147516803395877
ACH-000222,-0.2062359923341976
ACH-000223,-0.09003144487785257
ACH-000226,-0.07694604067031381
ACH-000227,-0.003892737864688683
ACH-000228,-0.009616820680891577
ACH-000231,-0.05773970475214098
ACH-000232,-0.04600262158797282
ACH-000233,-0.0003965036601485653
ACH-000234,-0.11885754377439403
ACH-000235,-0.08983307157808534
ACH-000237,-0.08036389252267946
ACH-000238,-0.11219311316056213
ACH-000242,0.034520397309381716
ACH-000243,-0.0434546883366735
ACH-000244,-0.012086257301360294
ACH-000246,-0.05210731924848477
ACH-000248,-0.10033957589477514
ACH-000250,-0.06841812207585747
ACH-000251,-0.18297319570299905
ACH-000252,0.020692852128580585
ACH-000253,-0.058689540346240424
ACH-000255,-0.0008873018358304582
ACH-000256,0.05776945218745731
ACH-000257,-0.009934741721054156
ACH-000258,0.006044355498869499
ACH-000259,-0.12723407784952406
ACH-000260,0.008169888116619657
ACH-000261,-0.08415976745196595
ACH-000262,-0.24679541428717905
ACH-000263,-0.0944527427731116
ACH-000264,-0.05554850763366319
ACH-000265,-0.0699848980222917
ACH-000266,-0.07102775163666318
ACH-000272,-0.06459205307036152
ACH-000274,-0.10076586916567824
ACH-000277,-0.15599140744791973
ACH-000278,-0.12707817221205148
ACH-000279,-0.12418275135585488
ACH-000280,0.023460752002266484
ACH-000281,-0.14450242340178346
ACH-000288,-0.1291618278356142
ACH-000291,-0.07726340502455444
ACH-000293,-0.15163787658468944
ACH-000294,-0.015142686048386063
ACH-000295,0.10015413366310676
ACH-000296,-0.06095443648986203
ACH-000302,-0.04640348762180548
ACH-000304,0.17631410036604048
ACH-000307,-0.15202778005638276
ACH-000308,0.003983532169572804
ACH-000310,0.10420933794720337
ACH-000311,-0.2417028709989511
ACH-000312,-0.21593872764573951
ACH-000315,0.014097201278482397
ACH-000316,-0.24750173954656535
ACH-000317,-0.32708647217776504
ACH-000318,-0.16585114491035274
