,NDUFS1 (4719)
ACH-000004,-0.1771334145199908
ACH-000005,-0.3550478350801452
ACH-000007,-0.4645179059212585
ACH-000009,-0.39076853883711177
ACH-000011,-0.003517692165819881
ACH-000012,-0.4013772004673663
ACH-000013,-0.5228758464498197
ACH-000014,-0.503441927831727
ACH-000015,-0.3885264556951882
ACH-000017,-0.20826133555300266
ACH-000018,-0.2304556023655728
ACH-000019,-0.8093357793717185
ACH-000021,-0.4012784266278845
ACH-000022,-0.16576889614783932
ACH-000025,-0.340097333331797
ACH-000028,-0.6369864909470159
ACH-000030,-0.3814139528174668
ACH-000035,-0.24594361622830796
ACH-000036,0.049326859615875435
ACH-000037,-0.4325441467104688
ACH-000039,-0.3902794270222842
ACH-000040,-0.3505447349471746
ACH-000041,-0.28543381435388565
ACH-000042,-0.181789992691387
ACH-000045,-0.6807301800469311
ACH-000047,-0.6321235310695544
ACH-000052,-0.226434725876848
ACH-000053,-0.3289112262552191
ACH-000054,-0.93049571863059
ACH-000055,-0.12934304216729614
ACH-000060,-0.4508134223794247
ACH-000067,-0.13218609793750666
ACH-000070,-0.4467563815093669
ACH-000075,-0.3491830971980931
ACH-000078,-0.4703469204174461
ACH-000082,-0.2745255415278502
ACH-000085,-0.5473213227901742
ACH-000086,-0.5875708929281911
ACH-000087,-0.42792496629620425
ACH-000092,-0.3994437321493956
ACH-000095,-0.12900821482750774
ACH-000097,-0.4323662788198782
ACH-000098,-0.4112637062823311
ACH-000099,-0.5626776227869505
ACH-000108,-0.3823433904493241
ACH-000113,-0.40685621902150415
ACH-000116,-0.4925698843399252
ACH-000118,-0.7476125494259998
ACH-000120,-0.3753793836550179
ACH-000123,-0.6429306848968586
ACH-000127,-0.8296636537965438
ACH-000128,-0.4927553659537446
ACH-000132,-0.2040713381599624
ACH-000133,-0.3296762998480447
ACH-000137,-0.3447288722078611
ACH-000138,-0.5213305357200216
ACH-000142,-0.2606967933511675
ACH-000143,-0.511826539897958
ACH-000146,-0.3641124879108477
ACH-000148,-0.4111608237450656
ACH-000150,-0.5487832755566696
ACH-000152,-0.3424550170972365
ACH-000153,-0.4679722259460218
ACH-000159,-0.5112318623788343
ACH-000160,-0.5736130436400343
ACH-000163,-0.41654712314066217
ACH-000167,-0.4158771129542395
ACH-000168,0.04713623152145541
ACH-000169,-0.5340844273802805
ACH-000178,-0.10604800851970067
ACH-000183,-0.454515855625697
ACH-000188,-0.032319139450367865
ACH-000189,-0.4483351144967894
ACH-000190,-0.480945848553983
ACH-000198,-0.7041673631656866
ACH-000203,-0.014865934427405738
ACH-000204,-0.5315351026043753
ACH-000206,-0.19146049638249266
ACH-000207,-0.4350075349265372
ACH-000208,-0.3528348043809898
ACH-000210,-0.4209921597964492
ACH-000211,-0.3081701096365765
ACH-000215,-0.4410979336693834
ACH-000221,-0.5987473161969912
ACH-000222,-0.27732546460811897
ACH-000223,-0.5217804181132423
ACH-000226,-0.6179770831516076
ACH-000227,-0.5781712519485803
ACH-000228,-0.3882908865312485
ACH-000231,-0.11863415779930313
ACH-000232,-0.3066123924147585
ACH-000233,-0.4840184328762366
