,DMKN (93099)
ACH-000004,-0.5596295914318395
ACH-000005,0.035399426088595976
ACH-000007,-0.31692671951336976
ACH-000009,-0.28926445054920474
ACH-000011,-0.2856741793459597
ACH-000012,-0.31509899659601004
ACH-000013,-0.4658847843813042
ACH-000014,-0.20297768444800346
ACH-000015,-0.4145079425301173
ACH-000017,-0.35535705722688976
ACH-000018,-0.24712145411991945
ACH-000019,-0.09084969895254892
ACH-000021,-0.3127435650414422
ACH-000022,-0.1652286600195154
ACH-000025,-0.32125115876848825
ACH-000028,-0.1011797347847431
ACH-000030,-0.2648206311494816
ACH-000035,-0.2575143495992228
ACH-000036,-0.3248574016463404
ACH-000037,-0.09568151156388184
ACH-000039,-0.3271511827368467
ACH-000040,-0.2554931412723453
ACH-000041,-0.3326434100488942
ACH-000042,-0.2771285779658216
ACH-000045,-0.2338638309313082
ACH-000047,-0.3219581329946913
ACH-000052,0.0009511600075153233
ACH-000053,-0.23576785827420124
ACH-000054,-0.24943983502221864
ACH-000055,-0.1690477489493835
ACH-000060,-0.2450336554977429
ACH-000067,-0.3525011114275436
ACH-000070,-0.5707381624412246
ACH-000075,-0.18510270804025236
ACH-000078,-0.3757113613296513
ACH-000082,-0.3182646205561523
ACH-000085,-0.3785026689754632
ACH-000086,-0.4393800621693942
ACH-000087,-0.4047836049156484
ACH-000092,-0.4634173244469389
ACH-000095,-0.29063978726269074
ACH-000097,-0.3205543387011021
ACH-000098,-0.30393518950921883
ACH-000099,-0.3293554915992917
ACH-000108,-0.3799041963477787
ACH-000113,-0.23173325713986065
ACH-000116,-0.2660085364816928
ACH-000118,-0.2394260229904191
ACH-000120,-0.2642555434840647
ACH-000123,-0.3939376239229485
ACH-000127,-0.2134406093566769
ACH-000128,-0.3176443639106569
ACH-000132,-0.24287094674088044
ACH-000133,-0.4426049178088767
ACH-000137,-0.510911130889388
ACH-000138,-0.2425045836137093
ACH-000142,-0.3948920559878403
ACH-000143,-0.4256886925352553
ACH-000146,-0.20366843877502705
ACH-000148,-0.1895716631809899
ACH-000150,-0.30562027736537345
ACH-000152,-0.5110204840303624
ACH-000153,-0.32161079799215736
ACH-000159,-0.2754491382829213
ACH-000160,-0.2088652792666809
