,LRRC4C (57689)
ACH-000004,0.1322773361307914
ACH-000005,0.23650997680455774
ACH-000007,-0.03076529697624652
ACH-000009,0.031476296715014035
ACH-000011,0.08590166377993122
ACH-000012,0.1924121863669214
ACH-000013,0.12040666466066835
ACH-000014,0.02665644628783221
ACH-000015,0.10707223820805836
ACH-000017,0.14890292782052245
ACH-000018,0.06559977699084447
ACH-000019,0.05062031847269051
ACH-000021,0.066263782828422
ACH-000022,0.03440096366289013
ACH-000025,0.057568606222049214
ACH-000028,-0.039187773408761006
ACH-000030,0.010763546200908669
ACH-000035,0.04884482255975778
ACH-000036,0.061090564289760625
ACH-000037,0.2677649041675274
ACH-000039,-0.07152835907466681
ACH-000040,0.05364877257032757
ACH-000041,0.1684514268414674
ACH-000042,0.011476475212536832
ACH-000045,0.15515181261540748
ACH-000047,-0.06039780173278416
ACH-000052,0.033293225899874754
ACH-000053,0.021069587720157438
ACH-000054,0.13067948141907082
ACH-000055,0.1992761678362943
ACH-000060,0.06351240368656808
ACH-000067,0.12520905031813534
ACH-000070,0.019330304597431288
ACH-000075,-0.015572386300327385
ACH-000078,-0.018308140373704724
ACH-000082,0.14478448251885215
ACH-000085,0.05331815146842483
ACH-000086,0.09398803922853076
ACH-000087,0.14189172759454666
ACH-000092,0.2003239659754568
ACH-000095,0.04969918738927027
ACH-000097,0.09479610170192132
ACH-000098,0.07846711633389247
ACH-000099,0.03977270171333145
ACH-000108,0.2597896026600943
ACH-000113,0.15020353349913124
ACH-000116,0.09173498736517367
ACH-000118,0.09504189915602076
ACH-000120,0.1959082304010485
ACH-000123,0.07168877839700087
ACH-000127,0.08468524203800476
ACH-000128,0.10111235364550757
ACH-000132,0.15106401697196126
ACH-000133,0.07473328820574232
ACH-000137,-0.0343917755692902
ACH-000138,0.1615134956529453
ACH-000142,-0.006870225946429056
ACH-000143,0.03931752667091663
ACH-000146,0.14647106388060208
ACH-000148,0.10760983818129692
ACH-000150,0.16046140867821373
ACH-000152,0.19225759111582846
ACH-000153,0.0558556948792398
ACH-000159,0.09592545728967346
