,CEBPA (1050)
ACH-000004,-0.005953496403285308
ACH-000005,-0.3465669799534996
ACH-000007,-0.05570017089898813
ACH-000009,-0.5580071042320763
ACH-000011,-0.1035858007628181
ACH-000012,-0.1900005045920748
ACH-000013,-0.30520331978124426
ACH-000014,-0.3297888594564939
ACH-000015,-0.13843689289297964
ACH-000017,-0.3078722294912961
ACH-000018,-0.16777755161505048
ACH-000019,-0.18861031241940207
ACH-000021,-0.11210445601602737
ACH-000022,-0.2190167924752761
ACH-000025,-0.18162095667958253
ACH-000028,-0.1200212952430422
ACH-000030,-0.2783206477972354
ACH-000035,-0.259300863139584
ACH-000036,-0.2710474068956142
ACH-000037,-0.05039352897095901
ACH-000039,-0.2657637119003192
ACH-000040,-0.21772473199932915
ACH-000041,-0.2634717823297503
ACH-000042,-0.27528260137041605
ACH-000045,-0.4119596609343749
ACH-000047,-0.15065300959454936
ACH-000052,-0.3058493209378906
ACH-000053,-0.2305309186175145
ACH-000054,-0.27027808266125714
ACH-000055,-0.08530635566294666
ACH-000060,-0.2090377462282764
ACH-000067,-0.24738818403763566
ACH-000070,-0.1838583847507771
ACH-000075,-0.16764335267585073
ACH-000078,-0.3617156087220272
ACH-000082,-0.18542187658903855
ACH-000085,-0.3994727587967264
ACH-000086,-0.4217384646496001
ACH-000087,0.1174915795312544
ACH-000092,-0.41710484560346267
ACH-000095,-0.30591592755068026
ACH-000097,-0.2711586493950119
ACH-000098,-0.30254315717043906
ACH-000099,-0.2698535307868737
ACH-000108,-0.24815869102065305
ACH-000113,-0.686802903908906
ACH-000116,-0.2448150379623024
ACH-000118,-0.2515822755500893
ACH-000120,-0.18730520708433107
ACH-000123,-0.20573905510777202
ACH-000127,-0.1508674869522849
ACH-000128,-0.3058248975367132
ACH-000132,-0.3768421706171218
ACH-000133,-0.21368894365222046
ACH-000137,-0.4949743280208072
ACH-000138,-0.3349435823979364
ACH-000142,-0.13551142367884486
ACH-000143,-0.35803798763018424
ACH-000146,-0.7141414516880682
ACH-000148,-0.08524070678782142
ACH-000150,-0.19916161105768124
ACH-000152,-0.1730213955717528
ACH-000153,-0.2498967146981038
ACH-000159,-0.2845058488381965
ACH-000160,-0.2143958163637194
ACH-000163,-0.052106911918861465
ACH-000167,0.4297261215642679
ACH-000168,-0.7189944346822323
ACH-000169,-0.19736644310776047
ACH-000178,-0.2339390317514995
ACH-000183,-0.3437865884535717
ACH-000188,-0.1466865280831127
ACH-000189,-0.18516870280031453
ACH-000190,-0.22796879688343674
ACH-000198,-0.23410293823265085
ACH-000203,-0.18105509939855632
ACH-000204,-0.0973006699386716
ACH-000206,-0.2658470800584081
ACH-000207,-0.3896402722599769
ACH-000208,-0.250734679511354
ACH-000210,-0.025394302155035197
ACH-000211,-0.4152434457175083
ACH-000215,-0.17761775969282034
ACH-000221,-0.2886543013846309
ACH-000222,-0.10504463242664708
ACH-000223,-0.2636634467628715
ACH-000226,-0.32103324928477445
ACH-000227,-0.4817032164155613
ACH-000228,-0.35799084291651795
ACH-000231,-0.17661002229006093
ACH-000232,-0.1749784605002615
ACH-000233,-0.2234691817758104
ACH-000234,-0.3128646060999501
ACH-000235,-0.2298337943860727
ACH-000237,-0.2139962054639441
ACH-000238,-0.14658145972000744
ACH-000242,-0.4872571043277502
ACH-000243,-0.12730000947058234
ACH-000244,-0.3925806621845084
ACH-000246,-0.2680596763024515
ACH-000248,-0.09487296704062816
ACH-000250,-0.2603210385520047
ACH-000251,-0.1927776848149018
ACH-000252,-0.1875887762641952
ACH-000253,-0.2428087701740209
ACH-000255,-0.34419573684624993
ACH-000256,-0.2759574985318237
ACH-000257,-0.5421732247125108
ACH-000258,-0.24323176755602946
ACH-000259,-0.17889029696485195
ACH-000260,-0.160283493338961
ACH-000261,-0.21135048392139072
ACH-000262,-0.3546982654428669
ACH-000263,-0.4401831440687107
ACH-000264,-0.22690446363547265
ACH-000265,-0.31835882147832617
ACH-000266,-0.2565279084379414
ACH-000272,-0.4128642874130448
ACH-000274,-0.4536961174347426
ACH-000277,-0.2520585104352219
ACH-000278,-0.21711117908784847
ACH-000279,-0.15816394227196967
ACH-000280,-0.17886185097102736
ACH-000281,-0.1230356446752874
ACH-000288,-0.08562207545011909
ACH-000291,-0.26227389176645033
ACH-000293,-0.4184624327034438
ACH-000294,-0.7910900151328188
ACH-000295,-0.3500059013053521
ACH-000296,-0.3687289790676844
ACH-000302,-0.3598780871699833
ACH-000304,-0.15054191697009867
ACH-000307,-0.15911937439920784
ACH-000308,-0.15006233641110692
ACH-000310,-0.5039325251303046
ACH-000311,-0.13767773783790846
ACH-000312,-0.12172288720008954
ACH-000315,-0.3794645817115924
ACH-000316,-0.07912821482405864
ACH-000317,-0.1758511133319911
ACH-000318,-0.3960750288771201
ACH-000319,-0.17843656751981474
ACH-000320,-0.2574486026818157
ACH-000322,0.09231495027472524
ACH-000323,-0.33313368135281063
ACH-000324,-0.2290686769577441
ACH-000329,-0.2371843037303545
ACH-000330,-0.3584640161861827
ACH-000331,-0.1886022857533099
ACH-000332,-0.2030672907165014
ACH-000334,-0.026890375934454487
ACH-000335,-0.2590129424289591
ACH-000336,-0.3972093831945677
ACH-000337,-0.22135082675867032
ACH-000338,-0.027740519621733573
ACH-000339,-0.2840290335904447
ACH-000341,-0.4458913330248654
ACH-000348,-0.17199858057290254
ACH-000350,-0.1108332417459191
ACH-000352,-0.1139696878337384
ACH-000356,-0.2714151560903124
ACH-000361,-0.18784305410145632
ACH-000362,-0.8301297669809051
ACH-000363,-0.2517327718707412
ACH-000364,-0.15803816894395412
ACH-000365,-0.38583493525186857
