,SHMT1 (6470)
ACH-000004,-0.4668015010002314
ACH-000005,-0.13428768218714238
ACH-000007,-0.11796766473051262
ACH-000009,-0.3403426636356833
ACH-000011,-0.07638124376648912
ACH-000012,-0.23923657978344134
ACH-000013,-0.2347040488709909
ACH-000014,0.07830865205780264
ACH-000015,-0.2215407437292733
ACH-000017,-0.07995179855048272
ACH-000018,-0.22133976221216745
ACH-000019,-0.0045912223077892505
ACH-000021,-0.07321895336470831
ACH-000022,-0.3863205282368575
ACH-000025,0.043321866977748334
ACH-000028,-0.08661446040069468
ACH-000030,-0.12716682902059614
ACH-000035,-0.2429311507347223
ACH-000036,-0.11557865130721165
ACH-000037,-0.0709818670199943
ACH-000039,-0.15928702597709415
ACH-000040,-0.22165304493969534
ACH-000041,-0.23500639548057806
ACH-000042,-0.2076944359354588
ACH-000045,-0.22765479658609375
ACH-000047,0.07471114064935015
ACH-000052,-0.03419804518415193
ACH-000053,-0.1522467355684653
ACH-000054,-0.192422060714262
ACH-000055,-0.21567429129523005
ACH-000060,-0.2372993334050345
ACH-000067,-0.3278973738513309
ACH-000070,-0.07087466193026133
ACH-000075,-0.201257591482868
ACH-000078,-0.13212544197614418
ACH-000082,-0.2165418876123751
ACH-000085,-0.018423953694711937
ACH-000086,-0.051474426430976016
ACH-000087,-0.335547669393128
ACH-000092,-0.09844058377943443
ACH-000095,-0.2417335919987625
ACH-000097,-0.08988807688762525
ACH-000098,-0.12866045108009289
ACH-000099,-0.1395693509002121
ACH-000108,-0.12575223112883846
ACH-000113,-0.18080098754970705
ACH-000116,0.010825018124455174
ACH-000118,-0.022454829245536247
ACH-000120,-0.05111970573106196
ACH-000123,-0.11731871882484328
ACH-000127,-0.03298096493187838
ACH-000128,-0.249322503153176
ACH-000132,-0.11496915062448165
ACH-000133,-0.05285491616982233
ACH-000137,-0.17847981528503815
ACH-000138,-0.019413837563968164
ACH-000142,-0.23723887115090925
ACH-000143,-0.10065422088445387
ACH-000146,-0.09759043341315156
ACH-000148,-0.009025056398903455
