,PTPRG (5793)
ACH-000004,-0.22693575271255415
ACH-000005,0.11803808972479855
ACH-000007,-0.12900288293608606
ACH-000009,-0.21057068536649814
ACH-000011,-0.17641563532969365
ACH-000012,-0.10014855074158976
ACH-000013,-0.1772526452720429
ACH-000014,-0.12104434461934666
ACH-000015,-0.31331505620762523
ACH-000017,-0.2200497708356488
ACH-000018,-0.27236530036371404
ACH-000019,-0.4955087891797109
ACH-000021,-0.06911094060552454
ACH-000022,-0.06969317517857829
ACH-000025,-0.2747969004095774
ACH-000028,-0.6916537974374286
ACH-000030,-0.29783641430888713
ACH-000035,-0.035940931732790615
ACH-000036,-0.24503192807591384
ACH-000037,-0.38236879126352863
ACH-000039,-0.06012662688305236
ACH-000040,-0.20977322085386446
ACH-000041,0.2227232789469177
ACH-000042,-0.13729718473809355
ACH-000045,-0.1913329535574332
ACH-000047,-0.3823917058217667
ACH-000052,-0.1793206367526216
ACH-000053,-0.21447766710512087
ACH-000054,-0.2431905104844141
ACH-000055,-0.16742475132274268
ACH-000060,-0.3565964658261288
ACH-000067,-0.3285105832125247
ACH-000070,-0.3799011791744688
ACH-000075,-0.2198330663390637
ACH-000078,-0.15074542603932384
ACH-000082,-0.15204241297898244
ACH-000085,-0.04464899940887513
ACH-000086,-0.1885753891996952
ACH-000087,-0.12692363257814174
ACH-000092,-0.16924533971113528
ACH-000095,-0.14331611344178585
ACH-000097,-0.21286633438811506
ACH-000098,-0.14303800842428116
ACH-000099,-0.15342351586891845
ACH-000108,-0.2305360207437533
ACH-000113,-0.22848375687633746
ACH-000116,-0.22249752165310951
ACH-000118,-0.3519550508133827
ACH-000120,-0.09654074894799804
ACH-000123,-0.2684705238809063
ACH-000127,-0.15497503714564762
ACH-000128,-0.17760880126783105
ACH-000132,-0.10440622470514603
ACH-000133,-0.06423824964354535
ACH-000137,-0.09364217227548567
ACH-000138,-0.14044435523953125
ACH-000142,-0.1733007568131153
ACH-000143,-0.2084952596318708
ACH-000146,-0.22387432315293807
ACH-000148,-0.03602837308376913
ACH-000150,-0.4238519508363448
ACH-000152,-0.37142973799518186
ACH-000153,-0.19589839191076053
ACH-000159,-0.2481617780877723
ACH-000160,-0.17639503704799947
ACH-000163,-0.05463908652300052
ACH-000167,-0.2295613016626481
ACH-000168,-0.1008207521536767
ACH-000169,-0.2936708123408114
ACH-000178,-0.16865837937245892
ACH-000183,-0.197878534964802
ACH-000188,-0.30511223596159737
ACH-000189,-0.2035360979121833
ACH-000190,-0.2346181061493896
ACH-000198,-0.21675189299210967
ACH-000203,-0.4177985970004128
ACH-000204,-0.007463239034451383
ACH-000206,-0.20384211829160026
ACH-000207,-0.10022985440535706
ACH-000208,0.025495200470711767
ACH-000210,-0.5153317060283312
ACH-000211,-0.2536595598561454
ACH-000215,-0.13421705307529305
ACH-000221,-0.15726117949962964
ACH-000222,0.18833322256818544
ACH-000223,-0.2547786669867657
ACH-000226,-0.015075797235435453
ACH-000227,-0.27501378300000784
ACH-000228,-0.08968518070553284
ACH-000231,-0.21523410698838694
ACH-000232,-0.3190060725529145
ACH-000233,-0.2516931143296817
ACH-000234,-0.11342223926673126
ACH-000235,-0.14173874268979691
ACH-000237,-0.2035052367547793
ACH-000238,-0.3452788858702981
ACH-000242,0.07273036504304348
ACH-000243,-0.12824992585441844
ACH-000244,-0.03590666956365183
ACH-000246,-0.2320517413697797
ACH-000248,-0.19075434375278355
ACH-000250,-0.0838178977220686
ACH-000251,-0.4354735048234281
ACH-000252,-0.13832482200275012
ACH-000253,-0.2270591908524241
ACH-000255,-0.17516367555499301
ACH-000256,0.008361779309517477
ACH-000257,-0.3967524651732005
ACH-000258,-0.3164137498415277
ACH-000259,-0.2440414150102003
ACH-000260,-0.15900135112586652
ACH-000261,-0.121090391546156
ACH-000262,-0.25824062457709346
ACH-000263,-0.12586556428245296
ACH-000264,-0.19005278327215872
ACH-000265,-0.2777264667604335
ACH-000266,-0.1515378750591373
ACH-000272,-0.055983800780282186
ACH-000274,-0.1951772949452499
ACH-000277,-0.19114116695228084
ACH-000278,-0.1767742583817332
ACH-000279,-0.15447030095168954
ACH-000280,-0.08774023976717024
ACH-000281,-0.061233047633945985
ACH-000288,-0.22157403908800652
ACH-000291,-0.2916442152761983
ACH-000293,-0.208672684939848
ACH-000294,-0.0583752439960634
ACH-000295,-0.2063203928998567
ACH-000296,-0.28108771687357426
ACH-000302,-0.021230264114853625
ACH-000304,0.04255790309122673
ACH-000307,-0.18871286723990155
ACH-000308,-0.16568838095915386
ACH-000310,-0.3576698362619647
ACH-000311,-0.2056031610881195
ACH-000312,-0.06122034667507719
ACH-000315,-0.14807855088002927
ACH-000316,-0.08481610697597908
ACH-000317,-0.2163358069233125
ACH-000318,-0.17746840717577328
ACH-000319,-0.2023575018295949
ACH-000320,-0.4041591728281428
ACH-000322,-0.17152014997832646
ACH-000323,0.08689157637578981
ACH-000324,-0.15979926442308467
ACH-000329,-0.2184867732233579
ACH-000330,-0.17867321039235076
ACH-000331,-0.22462842847428505
ACH-000332,-0.24038538082138994
ACH-000334,0.036714791288006116
ACH-000335,-0.08384952379259641
ACH-000336,-0.27009071685372105
ACH-000337,-0.21555954576946715
ACH-000338,-0.5384764352349402
ACH-000339,-0.2476186815308692
ACH-000341,-0.1912017330407518
ACH-000348,-0.10995425693720368
ACH-000350,-0.06903877221274557
ACH-000352,-0.1478214114080942
ACH-000356,-0.1894578237744707
ACH-000361,-0.3339578746479958
ACH-000362,-0.01860380195470152
ACH-000363,-0.058095792799261185
ACH-000364,0.14482745591460242
ACH-000365,-0.1938760397366316
ACH-000366,-0.07544260449543115
