,HOMEZ (57594)
ACH-000004,0.011951249529499379
ACH-000005,-0.09985521285281558
ACH-000007,0.014240600209547337
ACH-000009,-0.23945246568218015
ACH-000011,-0.047342395091076496
ACH-000012,-0.1669110350323109
ACH-000013,-0.049232422246766716
ACH-000014,-0.04716576962795045
ACH-000015,-0.20537265491337545
ACH-000017,-0.0952368073113158
ACH-000018,-0.17588475235861675
ACH-000019,-0.15637283872696128
ACH-000021,-0.0687781516702938
ACH-000022,-0.11816445863516045
ACH-000025,-0.11823710289007106
ACH-000028,0.13508510753247988
ACH-000030,-0.2308413469452324
ACH-000035,-0.2023750387830333
ACH-000036,0.02184996214632948
ACH-000037,-0.06543865719304412
ACH-000039,-0.09542497393779756
ACH-000040,-0.031350600783363484
ACH-000041,-0.2199896453214329
ACH-000042,-0.1243352364020091
ACH-000045,-0.08009380504296848
ACH-000047,-0.11837017074876842
ACH-000052,-0.25614028676711936
ACH-000053,-0.08903822988519043
ACH-000054,-0.1946534335856672
ACH-000055,-0.13657904186852282
ACH-000060,-0.29487296320546946
ACH-000067,-0.1775703694272915
ACH-000070,-0.1841942454391817
ACH-000075,-0.1474306362865614
ACH-000078,-0.1410285558984504
ACH-000082,-0.1348401817720828
ACH-000085,-0.15761981393362315
ACH-000086,-0.0979820520226308
ACH-000087,-0.07228103172004148
ACH-000092,-0.1228942294127876
ACH-000095,-0.16300386018951624
ACH-000097,-0.23668712163647984
ACH-000098,-0.10644375618015993
ACH-000099,-0.05962737982567625
ACH-000108,-0.06490516012012669
ACH-000113,-0.1191215110710488
ACH-000116,-0.06655000991320299
ACH-000118,-0.24744654497423094
ACH-000120,-0.07731952530232351
ACH-000123,-0.18655760023832796
ACH-000127,-0.242154393132936
ACH-000128,-0.22147212989035372
ACH-000132,-0.021056402719456208
ACH-000133,-0.06877583818653092
ACH-000137,-0.1199778834068057
ACH-000138,-0.0653890781202334
ACH-000142,-0.04972308254268735
ACH-000143,-0.031212454061217386
