,ORAI3 (93129)
ACH-000004,-0.06556002882029202
ACH-000005,-0.3526733052121659
ACH-000007,-0.5804312904312023
ACH-000009,-0.105819417657358
ACH-000011,-0.2500991038578051
ACH-000012,-0.25562976946233706
ACH-000013,-0.2318677660229765
ACH-000014,-0.15400936263134532
ACH-000015,-0.22612215020087864
ACH-000017,-0.21646370514920188
ACH-000018,-0.2410776500144416
ACH-000019,-0.2168061836832192
ACH-000021,-0.25116895165209824
ACH-000022,-0.09685785713009692
ACH-000025,-0.35085147427531377
ACH-000028,-0.2999150677320364
ACH-000030,0.09328004755291376
ACH-000035,-0.12560432470982225
ACH-000036,-0.31192389677355004
ACH-000037,-0.24007816592792705
ACH-000039,-0.3229557117784309
ACH-000040,-0.14017008904259987
ACH-000041,-0.22194805726716246
ACH-000042,-0.07831277779137319
ACH-000045,-0.10614300785563092
ACH-000047,-0.2800845810977038
ACH-000052,-0.3390694715168662
ACH-000053,-0.18535916521978707
ACH-000054,-0.3142009220099038
ACH-000055,-0.04754111996660673
ACH-000060,-0.2031605489512208
ACH-000067,-0.3024198693929018
ACH-000070,0.003947093481536758
ACH-000075,-0.3647290141835071
ACH-000078,-0.1264256637203749
ACH-000082,-0.21568500719808115
ACH-000085,-0.0052851330634816965
ACH-000086,-0.1019529957713792
ACH-000087,-0.2431621328072699
ACH-000092,-0.2792206251828435
ACH-000095,-0.2401995735269304
ACH-000097,-0.4253848285685253
ACH-000098,-0.2690893077073729
ACH-000099,-0.2406963328849065
ACH-000108,-0.0999123630474593
ACH-000113,-0.11322008607773927
ACH-000116,-0.16961688432445388
ACH-000118,-0.13932007244229513
ACH-000120,-0.25444238426734683
ACH-000123,-0.2598017557581629
ACH-000127,-0.552519261026904
ACH-000128,-0.07319897365650964
ACH-000132,-0.20833568664773444
ACH-000133,-0.1005331842603555
ACH-000137,-0.10299953668069796
ACH-000138,-0.1342707153201951
ACH-000142,-0.3068551344996433
ACH-000143,-0.17819494356617666
ACH-000146,-0.18276220244689712
ACH-000148,-0.17167417094101314
ACH-000150,-0.30067296104981955
ACH-000152,-0.22774151033291776
ACH-000153,-0.11275009943669025
ACH-000159,-0.26644413147241125
ACH-000160,-0.08308026890424085
ACH-000163,-0.2561694469039329
ACH-000167,-0.3033909084667715
ACH-000168,-0.12204633048355185
ACH-000169,0.0010392007059819553
ACH-000178,-0.18754784906332744
ACH-000183,-0.3512170744730652
ACH-000188,-0.0037279428676217775
ACH-000189,-0.3722310398665229
ACH-000190,-0.16931828785091124
ACH-000198,-0.17763931170117878
ACH-000203,-0.10547871754676716
ACH-000204,-0.2329205742744551
ACH-000206,-0.16988365735403732
ACH-000207,-0.17084725361274206
ACH-000208,-0.2246558582320948
ACH-000210,-0.4622310344600076
ACH-000211,-0.22271608752990452
ACH-000215,-0.22330190241820247
ACH-000221,-0.23757645863879284
ACH-000222,-0.057434526903435035
ACH-000223,-0.19030763270240988
ACH-000226,-0.3804294102974803
ACH-000227,-0.19556451802433275
ACH-000228,-0.1882946142624323
ACH-000231,-0.3886069396414564
ACH-000232,-0.19419245374160404
ACH-000233,-0.18448115939987944
ACH-000234,-0.2167363856879359
ACH-000235,-0.18459713766778
ACH-000237,-0.2101345696915784
ACH-000238,0.03267331361419863
ACH-000242,-0.477342798661476
ACH-000243,-0.17549308506136693
ACH-000244,-0.13813136211338092
ACH-000246,-0.18043328692385174
ACH-000248,-0.2160179437622068
ACH-000250,-0.11598243585291915
ACH-000251,-0.0834948111928063
ACH-000252,-0.3191904123385453
ACH-000253,-0.14205165219081284
ACH-000255,-0.16169154358605298
ACH-000256,-0.11386651252199448
ACH-000257,-0.046229533772187054
ACH-000258,-0.09170412295779624
ACH-000259,-0.2079971928622045
ACH-000260,-0.3137314606168509
ACH-000261,-0.23320503833956546
ACH-000262,-0.31623763043420244
ACH-000263,-0.28403196954723764
ACH-000264,-0.22435478840326767
ACH-000265,-0.30935953614866385
ACH-000266,-0.18794430696772693
ACH-000272,-0.18178139487244285
ACH-000274,-0.1549110499819135
ACH-000277,-0.16889907548795588
ACH-000278,-0.18785909363314454
ACH-000279,0.04365950022773096
ACH-000280,-0.1861571408396066
ACH-000281,0.01087124897651963
ACH-000288,-0.3801180150773278
ACH-000291,-0.2870191710067163
ACH-000293,-0.19365909078621832
ACH-000294,-0.044030537888520925
ACH-000295,-0.09334714928003617
ACH-000296,-0.4972210971307976
ACH-000302,-0.1826216314560892
ACH-000304,-0.23480631652486994
ACH-000307,-0.1882487244232288
ACH-000308,-0.2001206502096344
ACH-000310,-0.1398407385045824
ACH-000311,-0.12698508278307627
ACH-000312,-0.10129319444189874
ACH-000315,-0.1455053880816261
ACH-000316,-0.3026509801228687
ACH-000317,-0.1344253765437199
ACH-000318,-0.086546044073851
ACH-000319,-0.2977535982171738
ACH-000320,-0.1447395345766707
ACH-000322,-0.2791110291685594
ACH-000323,-0.16465875552572118
ACH-000324,-0.1544474346440027
ACH-000329,-0.3041005164838175
ACH-000330,-0.2743295576561824
ACH-000331,-0.15415452058333784
ACH-000332,-0.19466567987050468
ACH-000334,-0.3307806916006369
ACH-000335,-0.07195544362311965
ACH-000336,-0.2902441743674871
ACH-000337,-0.33051274392634794
ACH-000338,0.2806563473842638
ACH-000339,-0.2388101936694045
ACH-000341,-0.15537436450978334
ACH-000348,-0.2432465040754409
ACH-000350,-0.13157516991564336
ACH-000352,-0.1802545761766606
ACH-000356,-0.052810020313704666
ACH-000361,-0.24370775834915545
ACH-000362,-0.1978165354752004
ACH-000363,-0.2399258211026993
ACH-000364,-0.10888900170093356
ACH-000365,-0.12995579164947296
ACH-000366,-0.23197118349399004
ACH-000368,-0.2858865553652064
ACH-000374,-0.2924599960500432
ACH-000375,-0.27451521644520505
ACH-000376,-0.08969078444959687
ACH-000381,-0.1075969949461637
ACH-000383,-0.1943027160901257
ACH-000387,-0.1145976207201709
ACH-000389,-0.3930058016625991
ACH-000390,-0.22598729917057125
ACH-000393,-0.16770724028958434
ACH-000395,-0.2924402305315201
ACH-000396,-0.14535135243344016
ACH-000397,-0.17682570327248753
ACH-000401,-0.23223192685325414
ACH-000402,-0.34432697928541905
ACH-000403,-0.20146037103387404
ACH-000404,-0.4324358205620886
ACH-000406,-0.2832566454362184
ACH-000407,-0.09179518019656023
ACH-000408,-0.11230097175636286
ACH-000410,-0.09152697783025283
ACH-000411,-0.2304864116778738
ACH-000414,-0.1562211258784481
ACH-000415,-0.2287429114825672
ACH-000416,-0.2391168415651331
ACH-000420,-0.3480668262615328
ACH-000421,-0.20982254312149795
ACH-000424,-0.14878855627467116
ACH-000425,-0.22660285145401965
ACH-000426,-0.029861595590421824
ACH-000427,-0.2984477084566766
ACH-000433,-0.4679028491141576
ACH-000435,-0.5913453451978798
ACH-000436,-0.21668156449417286
ACH-000444,-0.12311509269912825
ACH-000445,-0.32807980375594603
ACH-000448,-0.10544529919497383
ACH-000450,-0.18849362965751348
ACH-000452,-0.2772073271921925
ACH-000454,-0.1105795145982549
ACH-000458,-0.1898359214422768
ACH-000459,-0.1621150887360517
ACH-000460,-0.19883339578580628
ACH-000461,-0.17654696127317274
ACH-000463,-0.18998050072580394
