,PPM1D (8493)
ACH-000004,-0.11146218904892792
ACH-000005,-0.13892953288391405
ACH-000007,-0.40111544267228416
ACH-000009,0.011486628984220544
ACH-000011,-0.5132221092478547
ACH-000012,0.0330134403707126
ACH-000013,0.0700274059675299
ACH-000014,-0.3222050960876496
ACH-000015,-0.028965884967036656
ACH-000017,0.004406083431007586
ACH-000018,-0.04700330225019867
ACH-000019,-0.3078645148532698
ACH-000021,0.03758347002041918
ACH-000022,0.05225832382400805
ACH-000025,0.18096691551329466
ACH-000028,-0.3497218802047368
ACH-000030,-0.058793762728624174
ACH-000035,0.08968496879400926
ACH-000036,-0.4027939763567712
ACH-000037,-0.26456909100194753
ACH-000039,0.0009550142558962694
ACH-000040,-0.2348233222263396
ACH-000041,0.011730037670480118
ACH-000042,0.09233287276458338
ACH-000045,-0.5238673968163059
ACH-000047,0.017403068993536566
ACH-000052,0.058106100621091276
ACH-000053,-0.017600304812894468
ACH-000054,-0.4603744554899937
ACH-000055,-0.2056191671264836
ACH-000060,-0.0057826092044254
ACH-000067,-0.07665913050204448
ACH-000070,-0.4546818298264748
ACH-000075,-0.21671316420896092
ACH-000078,-0.3857870220469831
ACH-000082,-0.12493735085082305
ACH-000085,-0.09192282675062556
ACH-000086,-0.08863329823362727
ACH-000087,0.001493660125174373
ACH-000092,-0.2280047509497417
ACH-000095,-0.3611393079920408
ACH-000097,-0.3758920337278188
ACH-000098,-0.0593748001777963
ACH-000099,-0.5102492206059684
ACH-000108,-0.06735698315734345
ACH-000113,-0.29402021108219456
ACH-000116,0.05438276916949564
ACH-000118,-0.08312431661380552
ACH-000120,-0.5843801601463817
ACH-000123,-0.2693586560470685
ACH-000127,0.07306195351387883
ACH-000128,0.06052690547740226
ACH-000132,-0.11802248778562666
ACH-000133,0.0795336587597162
ACH-000137,-0.05697383522572225
ACH-000138,-0.15967362268017588
ACH-000142,0.0611412579635043
ACH-000143,0.1610501108645816
ACH-000146,-0.10396130169947188
ACH-000148,-0.24032242483450464
ACH-000150,0.08881136198989399
ACH-000152,-0.11083527553252366
ACH-000153,-0.2499507035063588
ACH-000159,-0.3298400306940054
ACH-000160,0.004797601625093866
ACH-000163,-0.1300951932486207
ACH-000167,-0.4231485948455852
ACH-000168,-0.05326267154042423
ACH-000169,-0.038977971490437587
ACH-000178,0.05452223810456019
ACH-000183,0.054333330293890335
ACH-000188,-0.08095953072977477
ACH-000189,-0.2503606355453639
ACH-000190,0.08772959742806434
ACH-000198,-0.5332246946281233
ACH-000203,-0.6638168564662378
ACH-000204,0.047455620588399264
ACH-000206,-0.2061053624774116
ACH-000207,0.023654464655734384
ACH-000208,-0.057192809632665875
ACH-000210,0.061182584763154
ACH-000211,-0.25556497457623945
ACH-000215,-0.14532079729346553
ACH-000221,0.1218807474838648
ACH-000222,-0.03567682614418614
ACH-000223,-0.0489060973599747
ACH-000226,-0.3111338867913041
ACH-000227,-0.19240056700140487
ACH-000228,-0.03852430986058043
ACH-000231,-0.04340631900109524
ACH-000232,0.1769186889817299
ACH-000233,0.2107143552756058
ACH-000234,-0.3207044105042411
ACH-000235,-0.034326078574259906
ACH-000237,-0.08330323808295666
ACH-000238,-0.13905765717737367
ACH-000242,0.24379371385305054
ACH-000243,-0.13983649854366725
ACH-000244,-0.24110222472604714
ACH-000246,-0.4941775437847538
ACH-000248,-0.036778480142816684
ACH-000250,-0.002324640447064011
ACH-000251,-0.10242896242918766
ACH-000252,0.27906502333912986
