,NSFL1C (55968)
ACH-000004,-0.33553265014695205
ACH-000005,-0.4267665089440877
ACH-000007,-0.361569850716881
ACH-000009,-0.0058269921991867275
ACH-000011,-0.21716306594799234
ACH-000012,-0.1689250889062064
ACH-000013,-0.2747890905628517
ACH-000014,-0.1144581471765076
ACH-000015,-0.2033683587808556
ACH-000017,-0.3065125039784401
ACH-000018,-0.17298426130428216
ACH-000019,-0.11983663341906745
ACH-000021,0.011354106532682446
ACH-000022,-0.25124291087978273
ACH-000025,-0.2648642831168685
ACH-000028,-0.18688870304183985
ACH-000030,-0.126006368747525
ACH-000035,-0.2219883994539316
ACH-000036,-0.3847390458626244
ACH-000037,-0.16476422452341688
ACH-000039,-0.04284647618914176
ACH-000040,-0.29394764460731954
ACH-000041,0.03699185657195725
ACH-000042,-0.18507213831529265
ACH-000045,-0.16539264073955712
ACH-000047,-0.1981053105335407
ACH-000052,-0.06479983643016066
ACH-000053,-0.2460207841372672
ACH-000054,-0.12039182715052585
ACH-000055,-0.4226846151395393
ACH-000060,-0.1591051478864952
ACH-000067,-0.20507017437510625
ACH-000070,-0.26912790124591657
ACH-000075,-0.18434537678173168
ACH-000078,-0.18983836145314234
ACH-000082,-0.2366895649729477
ACH-000085,-0.28441069989472545
ACH-000086,-0.26960713852684964
ACH-000087,-0.09792695815484967
ACH-000092,-0.2578461993833581
ACH-000095,-0.1863807691088931
ACH-000097,-0.1523280335536763
ACH-000098,-0.26494881632692263
ACH-000099,-0.19563496958398865
ACH-000108,-0.16971301871925998
ACH-000113,-0.2055898341217929
ACH-000116,-0.18611363089323585
ACH-000118,-0.4660635270182346
ACH-000120,-0.104381554318589
ACH-000123,-0.316131883577186
ACH-000127,-0.3125882694461273
ACH-000128,-0.3832101337300285
ACH-000132,-0.3544675112601691
ACH-000133,-0.26499673715079824
ACH-000137,-0.26102676893824955
ACH-000138,-0.11878032953608535
ACH-000142,-0.11514378489319793
ACH-000143,-0.0944787734077066
ACH-000146,-0.17244579367667318
ACH-000148,-0.2693679445681852
ACH-000150,-0.2659579593489086
ACH-000152,-0.31133770633447744
ACH-000153,-0.08009436291229004
ACH-000159,-0.1185979555589384
ACH-000160,-0.17343770749431672
ACH-000163,-0.13051597592600964
ACH-000167,-0.4903599488705345
ACH-000168,-0.24693234498857036
ACH-000169,-0.16420298687749307
ACH-000178,-0.31573870891010325
ACH-000183,-0.11949528358624922
ACH-000188,-0.1600364632149172
ACH-000189,0.022797004880079373
ACH-000190,-0.2563258370547306
ACH-000198,-0.2905673929101991
ACH-000203,0.3739074566541166
ACH-000204,0.1953815795394331
ACH-000206,-0.2385352917199514
ACH-000207,-0.17468043775675388
ACH-000208,-0.5059764609192474
ACH-000210,0.07098011860001853
ACH-000211,-0.35497344613442805
ACH-000215,-0.2550260441406149
ACH-000221,-0.06943073725966277
ACH-000222,-0.0840173626079526
ACH-000223,-0.22121628054989015
ACH-000226,-0.09346136318025697
ACH-000227,-0.09580472087928987
ACH-000228,-0.20844610164232846
ACH-000231,-0.29017330854781576
ACH-000232,-0.10371132724211736
ACH-000233,-0.1909124520796707
ACH-000234,-0.29777290498122666
ACH-000235,-0.2012606619592907
ACH-000237,-0.2474135210680183
ACH-000238,-0.18972614878655286
ACH-000242,-0.16268845899422754
ACH-000243,-0.3080750117332858
ACH-000244,-0.14267831830222352
ACH-000246,-0.27361103466756875
ACH-000248,-0.3090512085615359
ACH-000250,-0.2531061096422331
ACH-000251,-0.3025222158071733
ACH-000252,-0.4350236159343833
ACH-000253,-0.2357757632448849
ACH-000255,-0.04999108046461147
ACH-000256,-0.1900374843493025
ACH-000257,-0.25045179479598195
ACH-000258,-0.3008871385805728
ACH-000259,-0.1423656337243163
ACH-000260,-0.22964121658799855
ACH-000261,-0.1208477738227174
ACH-000262,-0.2370798792555253
ACH-000263,-0.2866319801649224
ACH-000264,-0.17151448195598198
ACH-000265,-0.07308866165238458
ACH-000266,-0.21898198508387245
ACH-000272,-0.25329079053510745
ACH-000274,-0.23512972968923096
ACH-000277,-0.19628926720247128
ACH-000278,-0.2685172798182241
ACH-000279,-0.09003770580433898
ACH-000280,-0.2359304478026335
ACH-000281,-0.3303689201435837
ACH-000288,-0.2279898759541587
ACH-000291,-0.15600323966001048
ACH-000293,-0.2349750235952481
ACH-000294,-0.483512955716401
ACH-000295,-0.10901892847024293
ACH-000296,-0.09371450590766536
ACH-000302,-0.18388394539784506
ACH-000304,-0.4757972481762042
ACH-000307,-0.15895705224180734
ACH-000308,-0.32481862556433544
ACH-000310,-0.1326863315267525
ACH-000311,-0.07268321239738378
ACH-000312,0.09721941623488596
ACH-000315,-0.3023913098537177
ACH-000316,-0.01776764378107186
ACH-000317,0.009660753354740514
ACH-000318,-0.07437714925383031
ACH-000319,-0.1368182583682991
ACH-000320,-0.2628092203199507
ACH-000322,-0.07390473427814967
ACH-000323,-0.2165565172766097
ACH-000324,-0.13110587283692976
ACH-000329,-0.2722358884665389
ACH-000330,-0.16376637600898825
ACH-000331,-0.3536957753146053
ACH-000332,-0.3124714612863538
ACH-000334,-0.09466133466520296
ACH-000335,-0.42142865325964496
ACH-000336,-0.17888442600867913
ACH-000337,-0.257094246178177
ACH-000338,-0.22126705101168476
ACH-000339,-0.15869516416564006
ACH-000341,-0.22328048757097452
ACH-000348,-0.16024652558633415
ACH-000350,-0.1120291994675475
ACH-000352,-0.18301856268432584
ACH-000356,-0.23595557726196065
ACH-000361,-0.3649307961381861
ACH-000362,-0.2485010943003174
ACH-000363,-0.3315217647558649
ACH-000364,-0.14245119606175655
ACH-000365,-0.021854926193381512
ACH-000366,-0.2653089324164513
ACH-000368,-0.2553499601730897
